frame_number, orig_local_time, orig_local_time2, local_time, game_elapsed_time, time_diff, inter_data_frame_number,emotion-1,emotion-2,emotion-3,emotion-4,emotion-5,emotion-6,emotion-7,emotion-8,emotion-9,expression-1,expression-2,expression-3,expression-4,expression-5,expression-6,expression-7,expression-8,expression-9,expression-10,expression-11,expression-12,expression-13,expression-14,expression-15,expression-16,expression-17,expression-18,expression-19,expression-20,expression-21,measurement-1,measurement-2,measurement-3,measurement-4
1,,,2018-02-24-11:37:17,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,,,2018-02-24-11:37:18,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,,,2018-02-24-11:37:18,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,,,2018-02-24-11:37:18,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,,,2018-02-24-11:37:18,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,,,2018-02-24-11:37:18,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,,,2018-02-24-11:37:18,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,,,2018-02-24-11:37:18,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,,,2018-02-24-11:37:19,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,,,2018-02-24-11:37:19,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,,,2018-02-24-11:37:19,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,,,2018-02-24-11:37:19,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,,,2018-02-24-11:37:19,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,,,2018-02-24-11:37:19,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,,,2018-02-24-11:37:20,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,,,2018-02-24-11:37:20,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,,,2018-02-24-11:37:20,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,,,2018-02-24-11:37:20,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,,,2018-02-24-11:37:20,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,,,2018-02-24-11:37:20,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,,,2018-02-24-11:37:21,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,,,2018-02-24-11:37:21,,0,0,0.0018214579904451966,0.004511208739131689,0.42589646577835083,0.19295580685138702,0.11490941792726517,0.0045584021136164665,0.023956144228577614,0.19409769773483276,-0.000518798828125,97.72856903076172,1.3414178567927593e-07,0.11490941792726517,1.3510783674064442e-06,0.019411355257034302,6.73811518936418e-05,9.481324241278344e-07,8.115094374261389e-08,56.747459411621094,2.7873510791143197e-12,0.007789896335452795,5.747709224124264e-07,7.781682877282606e-14,0.013809742406010628,0.000998466508463025,73.94660186767578,1.0698101249317915e-07,1.5314251413656166e-06,4.366524208876399e-08,0.00021816247317474335,0.0020103352144360542,46.76627731323242,-3.191068172454834,-6.777914047241211,-1.851666808128357
23,,,2018-02-24-11:37:21,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,,,2018-02-24-11:37:21,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,,,2018-02-24-11:37:21,,0,0,0.0017061561811715364,0.004087239503860474,0.4258880019187927,0.19271482527256012,1.9132858514785767,0.004839596804231405,0.022904982790350914,0.2171233743429184,-0.00074005126953125,92.02654266357422,9.925530397580928e-10,1.9132858514785767,4.3058604205725715e-05,0.0019121950026601553,7.600435310450848e-06,1.6789733763289405e-06,3.4970437923220743e-07,3.068995714187622,1.881574229756211e-09,0.005329478997737169,4.686522061092546e-06,8.670760290319102e-12,0.0020226272754371166,0.001439890475012362,1.3186094760894775,2.4387414754301062e-08,1.9002013686986174e-06,6.075131864236027e-08,0.006439244840294123,0.00039576939889229834,46.02521514892578,-9.770206451416016,-4.8415913581848145,-4.926056861877441
26,,,2018-02-24-11:37:21,,0,0,0.0016871028346940875,0.004017602186650038,0.42586374282836914,0.1926845759153366,2.222125768661499,0.004894624929875135,0.02270585298538208,0.22151342034339905,-2.288818359375e-05,91.65940856933594,3.1366901964702265e-08,2.222125768661499,7.915323863016965e-08,0.08257865905761719,8.883873192644387e-07,3.80251066189885e-08,1.94619474314095e-06,0.028701001778244972,7.377284116927285e-09,0.035699427127838135,3.4697593946475536e-05,6.163677901405151e-10,0.0005450173048302531,1.7269061572733335e-05,0.35421937704086304,1.306519870070133e-08,6.157879539614441e-08,3.557696982170455e-05,0.000518258020747453,4.076345430803485e-05,45.6674690246582,-10.01527214050293,-1.1931415796279907,-8.373862266540527
27,,,2018-02-24-11:37:22,,0,0,0.0018029282800853252,0.00444807531312108,0.42586857080459595,0.19267502427101135,0.39612069725990295,0.004600285552442074,0.023793591186404228,0.19749882817268372,0.04193730652332306,82.32169342041016,2.2885802763994434e-07,0.39612069725990295,1.2073433936166111e-05,0.16831308603286743,4.099492230125179e-07,3.127584413675777e-09,2.345380198676139e-05,0.0012134606949985027,1.4716246710122505e-07,0.0010527132544666529,7.408428064081818e-05,1.1203293848183193e-09,7.440006447723135e-05,7.651734108549135e-07,0.08327358216047287,2.5983163709497603e-07,9.605047125660349e-06,0.10496406257152557,0.04131559282541275,3.157390528940596e-05,45.13064956665039,-14.308516502380371,6.56060791015625,-11.692005157470703
28,,,2018-02-24-11:37:22,,0,0,0.0013657681411132216,0.01052943430840969,0.4259956181049347,0.19276545941829681,8.032851219177246,0.005936781410127878,0.019649174064397812,0.318046510219574,0.01976531185209751,75.30911254882812,7.56427709802665e-07,8.032851219177246,6.011083542034612e-07,0.008968318812549114,1.9816525309579447e-06,4.990233264834387e-06,2.6585644263832364e-07,0.0011061897967010736,1.4427528505223108e-08,0.016179507598280907,0.00023682844766881317,7.68438201959043e-10,0.004499196540564299,6.693442992400378e-05,4.730981349945068,2.112463626247063e-08,5.033681190980133e-06,0.049804430454969406,38.49494934082031,6.0639427829300985e-05,42.67180633544922,-16.424165725708008,9.781498908996582,-7.285309314727783
29,,,2018-02-24-11:37:22,,0,0,0.001827905187383294,0.004535498563200235,0.4301981031894684,0.19270528852939606,0.01773936301469803,0.004543104209005833,0.024017229676246643,0.1929066926240921,0.0006844645831733942,72.14598083496094,6.964422482269583e-06,0.01773936301469803,7.604405141137249e-07,0.00018342050316277891,2.0549014152493328e-06,9.19729146175996e-08,2.406853809588938e-06,0.03700726479291916,3.181320664680243e-07,0.004146473482251167,0.00012115676508983597,1.4412291804433153e-08,0.0015550331445410848,4.6093146011116914e-07,0.9126500487327576,2.710074511469429e-07,8.233215339714661e-05,0.0018726870184764266,0.0009404506417922676,5.788489943370223e-05,42.79843521118164,-17.24142837524414,3.2215607166290283,-8.891337394714355
30,,,2018-02-24-11:37:22,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,,,2018-02-24-11:37:22,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,,,2018-02-24-11:37:22,,0,0,0.0018287352286279202,0.004538475535809994,0.425861120223999,0.1926877647638321,0.005277593620121479,0.004541484173387289,0.024023229256272316,0.19276537001132965,-3.0517578125e-05,92.4550552368164,1.334945096687079e-07,0.005277593620121479,8.59533429320436e-07,0.0016639261739328504,2.1973544335196493e-06,2.223337514095647e-09,7.2937247750815e-05,3.7975451946258545,1.6082834918051958e-05,0.005922531243413687,1.1705310498655308e-05,1.3931115816490092e-08,0.0006982723716646433,2.1444301978590374e-07,0.04323422908782959,2.874944584618788e-07,2.4202868189604487e-06,4.363306288723834e-06,1.277878436667379e-05,0.00011549333430593833,44.65616989135742,-9.470778465270996,-3.8047304153442383,-7.2118048667907715
33,,,2018-02-24-11:37:23,,0,0,0.00182618189137429,0.004529780242592096,0.42586129903793335,0.19287879765033722,0.043699976056814194,0.0045464071445167065,0.024004707112908363,0.1931995302438736,-0.0001983642578125,97.48440551757812,1.232447743859666e-08,0.043699976056814194,6.4492496676393785e-06,0.0001746604248182848,1.3735585525864735e-05,1.0076913747880667e-09,0.0006419650744646788,0.0033259522169828415,7.272454922713223e-07,3.8418650660787534e-07,1.2869060128650744e-06,4.0036432502610353e-10,0.01004289835691452,1.4703783079994537e-08,0.018563151359558105,1.670746314630378e-05,0.03161627799272537,1.9292269826109987e-06,0.005602397955954075,0.0006687064305879176,45.13246536254883,-3.7140815258026123,-4.665533542633057,-5.968404769897461
34,,,2018-02-24-11:37:23,,0,0,0.0018233559094369411,0.0045196013525128365,0.4258607029914856,0.1927226334810257,0.08627438545227051,0.004552958067506552,0.023980434983968735,0.1937178671360016,-0.00222015380859375,98.40107727050781,1.571749130846456e-08,0.08627438545227051,0.0067558735609054565,1.774002271304198e-06,0.0006386681343428791,5.038562900239185e-09,3.5201196624257136e-06,0.006159841548651457,5.437197359015045e-10,2.6742604859464336e-06,1.0928346227956354e-07,1.7639429847338128e-11,0.0024064460303634405,2.5240635181944526e-07,0.3194423019886017,9.129303180088755e-08,0.00011582246952457353,2.2343505179378553e-07,0.002022690838202834,0.00211445614695549,45.28532409667969,1.4013978242874146,2.2762489318847656,-1.8694953918457031
35,,,2018-02-24-11:37:23,,0,0,0.0017553140642121434,0.004266435280442238,0.4258608818054199,0.19302545487880707,1.1321431398391724,0.004716190975159407,0.02337871864438057,0.2068609893321991,-0.006805419921875,98.68934631347656,3.0015143148709456e-10,1.1321431398391724,0.011189556680619717,2.256786274301703e-06,0.01155878882855177,5.039742518420098e-06,3.8741341086279135e-06,0.1868804544210434,1.3225796635651932e-07,6.996773436185322e-07,5.778088052466046e-08,5.944052541839717e-12,0.017210964113473892,9.146161801254493e-07,0.6833996772766113,3.058215156670485e-07,0.0002548733609728515,5.952505307504907e-05,0.007048961706459522,0.006101252045482397,46.1846923828125,-0.39274102449417114,9.787089347839355,1.4531258344650269
36,,,2018-02-24-11:37:23,,0,0,0.0018283950630575418,0.0045485105365514755,0.4258607029914856,0.1927672028541565,0.010379956103861332,0.004541449714452028,0.02402593195438385,0.19280269742012024,-0.015228271484375,98.77062225341797,2.7191497053991043e-08,0.010379956103861332,0.05012677237391472,5.565266292251181e-06,0.0006137053715065122,1.2094083956526447e-07,4.789212198375026e-06,0.00658605620265007,2.829256573022576e-06,2.1510530245905102e-08,4.1748236867533706e-08,9.888781416986236e-13,0.0045877909287810326,1.6997263685425423e-07,0.2959887683391571,1.9821325167868054e-06,0.00011531492054928094,2.7547018817131175e-06,0.020331140607595444,0.08659636974334717,46.858436584472656,-0.06853476166725159,8.258313179016113,-0.3880274295806885
37,,,2018-02-24-11:37:23,,0,0,0.001825865008868277,0.004579691216349602,0.42586052417755127,0.1928316205739975,0.04847627133131027,0.0045471396297216415,0.024002211168408394,0.1932576447725296,-0.0045928955078125,98.1334228515625,1.3247578145580974e-08,0.04847627133131027,0.016036374494433403,9.95756417978555e-05,8.686293585924432e-05,2.4582154978247672e-08,9.799143299460411e-06,0.013206640258431435,6.231625320651801e-06,2.5332697717317387e-08,5.058363328203086e-08,3.3015300562877492e-12,0.007739073596894741,1.1820799983297547e-07,0.2805250585079193,1.4925041114111082e-06,0.0005265488871373236,0.0006291306344792247,0.32501521706581116,0.02303076721727848,47.21302795410156,-2.188875436782837,10.292098999023438,-0.2714367210865021
38,,,2018-02-24-11:37:24,,0,0,0.001828921609558165,0.004547451622784138,0.42586028575897217,0.19279372692108154,0.002467466751113534,0.004540206864476204,0.0240301713347435,0.19270528852939606,-0.00025177001953125,98.35250091552734,1.2268172611129557e-07,0.002467466751113534,0.0005246952059678733,2.7509011488291435e-05,0.00030536524718627334,2.924284148164702e-09,3.534948973538121e-06,0.00023605141905136406,1.1962569260504097e-05,2.7590688844725264e-08,1.1808919175848587e-08,5.138607855198485e-12,0.005885137245059013,2.450945046916786e-08,0.0820457711815834,2.371712781723545e-07,0.00032506510615348816,2.3951029106683563e-06,0.054495397955179214,0.011837096884846687,46.6306037902832,-1.5534892082214355,10.270200729370117,-0.31612855195999146
39,,,2018-02-24-11:37:24,,0,0,0.0018273665336892009,0.004541891627013683,0.42586028575897217,0.19276830554008484,0.025862904265522957,0.004543754272162914,0.02401617541909218,0.19298695027828217,-0.00168609619140625,97.98944854736328,1.1142777367467716e-08,0.025862904265522957,0.005299001466482878,0.11296442151069641,0.00033177214208990335,2.994473788930918e-07,2.7760268039855873e-06,0.007934728637337685,1.5723826436442323e-05,1.5337123571157463e-08,3.721673280665527e-08,5.3161517072145e-13,0.004638991318643093,6.919847095332443e-08,0.006869392469525337,4.01201396016404e-06,0.002902057720348239,1.446325200049614e-06,0.05115501582622528,0.011868132278323174,47.81488800048828,-2.5677661895751953,8.661397933959961,-0.4634189307689667
