frame_number, orig_local_time, orig_local_time2, local_time, game_elapsed_time, time_diff, inter_data_frame_number,emotion-1,emotion-2,emotion-3,emotion-4,emotion-5,emotion-6,emotion-7,emotion-8,emotion-9,expression-1,expression-2,expression-3,expression-4,expression-5,expression-6,expression-7,expression-8,expression-9,expression-10,expression-11,expression-12,expression-13,expression-14,expression-15,expression-16,expression-17,expression-18,expression-19,expression-20,expression-21,measurement-1,measurement-2,measurement-3,measurement-4
1,,,2018-02-21-16:08:09,,0,0,0.05734018236398697,0.001252133515663445,0.11289793998003006,0.048835914582014084,18.951583862304688,0.0013080420903861523,0.007052168715745211,0.19684095680713654,19.012128829956055,95.28070831298828,1.5147008647353744e-10,5.43869064131286e-05,0.0007923411321826279,0.028025131672620773,0.5716082453727722,1.2285545381018892e-07,1.926767254190054e-06,0.0003415194805711508,0.05103878304362297,8.792348671704531e-05,0.056587595492601395,18.951583862304688,0.4460965394973755,0.0026173340156674385,0.00011578845442272723,1.262646219402086e-05,1.4748372905160068e-06,0.6929489970207214,0.0004503394302446395,1.9169727563858032,39.7711181640625,-6.974161148071289,-3.7231786251068115,-9.755964279174805
2,,,2018-02-21-16:08:09,,0,0,0.0018294798210263252,0.004461065400391817,0.4700027406215668,0.2037447690963745,0.0021351976320147514,0.004643116146326065,0.024456022307276726,0.19694404304027557,4.1720991134643555,95.05638122558594,1.0317115911595565e-10,7.466064744221512e-06,1.2162256098235957e-05,0.019435562193393707,0.4020713269710541,1.6659988943956705e-07,5.0189941248390824e-05,3.6975989132770337e-06,0.0008058391977101564,0.275491327047348,0.04446954280138016,0.0011866065906360745,0.527726948261261,0.0021351976320147514,0.06591096520423889,8.403701912129691e-08,9.759059116376534e-10,10.787742614746094,0.0001581921533215791,0.7407487034797668,40.29416275024414,-7.218132019042969,-0.8084290027618408,-16.635772705078125
3,,,2018-02-21-16:08:10,,0,0,0.0033036661334335804,0.0001707620540400967,1.146311640739441,0.15104618668556213,3.2525041103363037,0.043072085827589035,2.203918933868408,2.941593647003174,-17.18743896484375,92.55120849609375,3.089409261747278e-08,0.003665075870230794,1.6988087736535817e-05,0.0038126371800899506,72.24722290039062,6.141083019883808e-08,1.6872147170943208e-05,4.5020617108093575e-05,0.0011598380515351892,1.7655335664749146,3.5381693840026855,3.2525041103363037,0.0010323233436793089,0.004510434344410896,0.05590666085481644,4.552333848550916e-06,6.704000021784395e-09,7.5148162841796875,4.792409981746459e-06,2.3661694526672363,44.652339935302734,-9.40145206451416,-0.9852156043052673,-11.901015281677246
4,,,2018-02-21-16:08:10,,0,0,0.001811175956390798,0.0041956291534006596,0.6360255479812622,0.19265596568584442,0.2767118215560913,0.005708036944270134,0.020099785178899765,0.23248232901096344,-1.5878143310546875,91.14939880371094,3.850933012472524e-07,0.2767118215560913,0.00016229947505053133,1.3792471885681152,0.4818902313709259,2.844567810467158e-11,2.053995160622435e-07,9.073532419279218e-05,0.00046930709504522383,6.11403751373291,2.9007210731506348,0.001221723505295813,5.223404514254071e-06,0.0028922082856297493,98.35281372070312,4.666457087409981e-08,1.962844553560217e-09,0.01881151832640171,0.0013190959580242634,0.030984094366431236,51.75370407104492,-10.339923858642578,-4.110836982727051,-24.105022430419922
5,,,2018-02-21-16:08:10,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,,,2018-02-21-16:08:11,,0,0,0.0017241319874301553,0.004262734204530716,0.00029750794055871665,0.1926172822713852,1.6448229551315308,0.004830859135836363,0.004416593816131353,0.21531516313552856,-30.099388122558594,96.9521713256836,1.1216920725587443e-08,1.6448229551315308,0.02367447130382061,1.540496826171875,0.22750228643417358,2.971513701766071e-09,0.07973391562700272,3.39816885741584e-08,99.99800109863281,3.2594294907539734e-07,0.015528133139014244,0.003950153477489948,3.601641219574958e-05,8.971893521447782e-07,1.9345479011535645,9.138577297562733e-05,0.0032452549785375595,0.007752554025501013,1.0581541061401367,0.0227003525942564,57.800411224365234,-4.701066493988037,-8.04969596862793,-22.37285614013672
7,,,2018-02-21-16:08:11,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,,,2018-02-21-16:08:11,,0,0,0.005025445483624935,0.0018596244044601917,8.289422988891602,0.12676706910133362,5.591721057891846,0.003253317903727293,0.010549393482506275,0.20128369331359863,-19.295928955078125,88.70561218261719,0.002241790061816573,0.1590442806482315,0.001525055500678718,6.097638130187988,0.6758599281311035,1.7168811511369952e-11,0.0005756094469688833,5.433239191887651e-09,28.81760597229004,0.34751084446907043,32.20817184448242,5.591721057891846,0.0002957532415166497,1.7211779777426273e-05,6.761863708496094,9.338751624454744e-06,2.392280293861404e-07,0.16446366906166077,3.6553858080878854e-05,0.7727541923522949,53.743812561035156,-11.69491195678711,-9.553276062011719,-21.9244384765625
9,,,2018-02-21-16:08:11,,0,0,2.0639076232910156,0.00016063581279013306,0.10921812057495117,0.010543952696025372,38.773963928222656,0.00034706108272075653,0.0003764617722481489,0.19571110606193542,-7.516960144042969,84.56321716308594,4.851649282500148e-05,0.011857408098876476,0.0053079333156347275,2.387563467025757,0.39348670840263367,3.004244769622133e-11,0.01863017864525318,6.429495824633591e-11,95.8191146850586,0.007191668730229139,49.338077545166016,38.773963928222656,0.007334154099225998,9.410120327402183e-08,0.5104070901870728,2.5331562483188463e-06,6.0179347201483324e-05,18.122726440429688,1.6097911839096923e-06,0.664948582649231,52.389068603515625,-13.496268272399902,-11.589719772338867,-21.440635681152344
10,,,2018-02-21-16:08:11,,0,0,0.06471049785614014,0.00043303356505930424,38.13175582885742,0.044323403388261795,19.624454498291016,0.0013877785531803966,0.003519628895446658,0.22139014303684235,-4.411720275878906,80.5594253540039,0.0001065885808202438,0.036809489130973816,0.000310319330310449,14.07634162902832,3.642608880996704,1.657399911758617e-11,0.013150106184184551,7.923574296686553e-11,51.250701904296875,0.013070635497570038,59.20029830932617,19.624454498291016,0.008123724721372128,8.642902393773966e-09,0.7207532525062561,1.791389792060727e-07,9.237696758646052e-07,55.09009552001953,7.744651156826876e-06,0.7660725712776184,52.017818450927734,-14.891836166381836,-12.270585060119629,-19.050025939941406
