header seq inter ros topic,header secs inter ros topic,header nsecs inter ros topic,elapsedTimeFromGameStart,currentLocalTime,orig_local_time2,gameTask,vocab,taskStartTime,taskEndTime,taskDuration,taskTurnIndex,whoseTurn,robotRole,turnStartTime,turnEndTime,turnDuration,numCollectedObjectsForTask,numChildCollectedObjectsForTask,numTotalAttemptsForTask,numChildTotalAttemptsForTask,numChildClickCancelForTurn,numHintButtonPressedForTask,numQsAskeddForTask,numPositiveAnswerForTask,numNegativeAnswerForTask,numOtherAnswerForTask,numNoAnswerAttempt1ForTask,gameStateTrigger,currentInteractionState,currentGameState,robotPhysicalBehavior,robotVirtualBehavior,robotClickedObj,clickedRightObject,clickedObjName,numTouchAbsenceAlertPerTask,objectWordPronounced,isDraggin,pointerClick,onPinch,isScalingUp,isScalingDown,maxElapsedTimeReached
1,1521465298,777091026,,2018-05-24 22:13:14.260946,,0,,None,None,,0,childTURN,novice,None,None,,0,0,0,0,0,0,0,0,0,0,0,CONNECT_BUTTON_PRESSED,childTURN,gameSTART,,,,,,0,False,,,,,,
2,1521465299,987047195,,2018-05-24 22:13:15.471649,,0,,None,None,,0,childTURN,novice,None,None,,0,0,0,0,0,0,0,0,0,0,0,START_BUTTON_PRESSED,childTURN,gameSTART,,,,,,0,False,,,,,,
3,1521465319,59284687,0:00:01.002102,2018-05-24 22:13:34.541533,2018-03-19 09:15:19.059824,1,gigantic,2018-03-19 09:15:18.057513,None,,0,childTURN,novice,2018-03-19 09:15:18.057459,None,,0,0,0,0,0,0,0,0,0,0,0,START_BUTTON_PRESSED,childTURN,explorationMODE,ROBOT_EXCITED,,,,,0,False,,,,,,
4,1521465326,105405807,0:00:08.057665,2018-05-24 22:13:41.597313,2018-03-19 09:15:26.115608,1,gigantic,2018-03-19 09:15:18.057513,None,,0,childTURN,novice,2018-03-19 09:15:18.057459,None,,0,0,0,0,0,0,0,0,0,0,0,SCREEN_MOVED,childTURN,missionMODE,Q_ROBOT_INDUCE_SPEECH,,,,,0,False,,,,,,
5,1521465326,148524999,0:00:08.096432,2018-05-24 22:13:41.637763,2018-03-19 09:15:26.156047,1,gigantic,2018-03-19 09:15:18.057513,None,,0,childTURN_listenChildSpeechResponse,novice,2018-03-19 09:15:18.057459,None,,0,0,0,0,0,1,0,0,0,0,0,SCREEN_MOVED,childTURN_listenChildSpeechResponse,missionMODE,,,,,,0,False,,,,,,
6,1521465326,274214506,0:00:08.223823,2018-05-24 22:13:41.763547,2018-03-19 09:15:26.281839,1,gigantic,2018-03-19 09:15:18.057513,None,,0,childTURN_listenChildSpeechResponse,novice,2018-03-19 09:15:18.057459,None,,0,0,0,0,0,1,0,0,0,0,0,SCREEN_MOVED,childTURN_listenChildSpeechResponse,missionMODE,,,,,,0,False,True,False,False,False,False,
7,1521465330,138967275,0:00:12.081521,2018-05-24 22:13:45.620839,2018-03-19 09:15:30.139146,1,gigantic,2018-03-19 09:15:18.057513,None,,0,childTURN_listenChildSpeechResponse,novice,2018-03-19 09:15:18.057459,None,,0,0,0,0,0,1,0,0,0,0,0,SCREEN_MOVED,childTURN_listenChildSpeechResponse,missionMODE,,,,,,0,False,,,,,,
8,1521465331,227546691,0:00:13.171099,2018-05-24 22:13:46.711372,2018-03-19 09:15:31.229662,1,gigantic,2018-03-19 09:15:18.057513,None,,0,childTURN_listenChildSpeechResponse,novice,2018-03-19 09:15:18.057459,None,,0,0,0,0,0,1,0,0,0,0,0,SCREEN_MOVED,childTURN_listenChildSpeechResponse,missionMODE,,,,,,0,False,False,True,False,False,False,
9,1521465332,713136434,0:00:14.655930,2018-05-24 22:13:48.197056,2018-03-19 09:15:32.715333,1,gigantic,2018-03-19 09:15:18.057513,None,,0,childTURN_listenChildSpeechResponse,novice,2018-03-19 09:15:18.057459,None,,0,0,0,0,0,1,0,0,0,0,0,SCREEN_MOVED,childTURN_listenChildSpeechResponse,missionMODE,,,,,,0,False,True,False,False,False,False,
10,1521465332,951063156,0:00:14.898891,2018-05-24 22:13:48.438223,2018-03-19 09:15:32.956529,1,gigantic,2018-03-19 09:15:18.057513,None,,0,childTURN_parseChildSpeechResponse,novice,2018-03-19 09:15:18.057459,None,,0,0,0,0,0,1,0,0,0,0,0,SCREEN_MOVED,childTURN_parseChildSpeechResponse,missionMODE,,,,,,0,False,,,,,,
