header seq inter ros topic,header secs inter ros topic,header nsecs inter ros topic,elapsedTimeFromGameStart,currentLocalTime,orig_local_time2,gameTask,vocab,taskStartTime,taskEndTime,taskDuration,taskTurnIndex,whoseTurn,robotRole,turnStartTime,turnEndTime,turnDuration,numCollectedObjectsForTask,numChildCollectedObjectsForTask,numTotalAttemptsForTask,numChildTotalAttemptsForTask,numChildClickCancelForTurn,numHintButtonPressedForTask,numQsAskeddForTask,numPositiveAnswerForTask,numNegativeAnswerForTask,numOtherAnswerForTask,numNoAnswerAttempt1ForTask,gameStateTrigger,currentInteractionState,currentGameState,robotPhysicalBehavior,robotVirtualBehavior,robotClickedObj,clickedRightObject,clickedObjName,numTouchAbsenceAlertPerTask,objectWordPronounced,isDraggin,pointerClick,onPinch,isScalingUp,isScalingDown,maxElapsedTimeReached
1,1522686363,270714521,,2018-05-25 12:34:19.952211,,0,,None,None,,0,childTURN,novice,None,None,,0,0,0,0,0,0,0,0,0,0,0,CONNECT_BUTTON_PRESSED,childTURN,gameSTART,,,,,,0,False,,,,,,
2,1522686364,480465888,,2018-05-25 12:34:21.161250,,0,,None,None,,0,childTURN,novice,None,None,,0,0,0,0,0,0,0,0,0,0,0,START_BUTTON_PRESSED,childTURN,gameSTART,,,,,,0,False,,,,,,
3,1522686383,378634691,0:00:01.006674,2018-05-25 12:34:40.058768,2018-04-02 12:26:23.379011,1,vehicle,2018-04-02 12:26:22.372714,None,,0,childTURN,novice,2018-04-02 12:26:22.372628,None,,0,0,0,0,0,0,0,0,0,0,0,START_BUTTON_PRESSED,childTURN,explorationMODE,ROBOT_EXCITED,,,,,0,False,,,,,,
4,1522686387,437017202,0:00:05.066582,2018-05-25 12:34:44.118694,2018-04-02 12:26:27.438936,1,vehicle,2018-04-02 12:26:22.372714,None,,0,childTURN,novice,2018-04-02 12:26:22.372628,None,,0,0,0,0,0,0,0,0,0,0,0,SCREEN_MOVED,childTURN,missionMODE,,,,,,0,False,True,False,False,False,False,
5,1522686387,755981683,0:00:05.384090,2018-05-25 12:34:44.436207,2018-04-02 12:26:27.756440,1,vehicle,2018-04-02 12:26:22.372714,None,,0,childTURN,novice,2018-04-02 12:26:22.372628,None,,0,0,0,0,0,0,0,0,0,0,0,SCREEN_MOVED,childTURN,missionMODE,,,,,,0,False,True,False,False,False,False,
6,1522686387,786259174,0:00:05.414672,2018-05-25 12:34:44.467196,2018-04-02 12:26:27.787417,1,vehicle,2018-04-02 12:26:22.372714,None,,0,childTURN,novice,2018-04-02 12:26:22.372628,None,,0,0,0,0,0,0,0,0,0,0,0,SCREEN_MOVED,childTURN,missionMODE,ROBOT_ENCOURAGING,,,,,0,False,,,,,,
7,1522686387,787030220,0:00:05.416004,2018-05-25 12:34:44.468102,2018-04-02 12:26:27.788345,1,vehicle,2018-04-02 12:26:22.372714,None,,0,childTURN,novice,2018-04-02 12:26:22.372628,None,,0,0,0,0,0,0,0,0,0,0,0,SCREEN_MOVED,childTURN,missionMODE,Q_ROBOT_INDUCE_SPEECH,,,,,0,False,,,,,,
8,1522686387,799843788,0:00:05.427535,2018-05-25 12:34:44.480759,2018-04-02 12:26:27.800991,1,vehicle,2018-04-02 12:26:22.372714,None,,0,childTURN_listenChildSpeechResponse,novice,2018-04-02 12:26:22.372628,None,,0,0,0,0,0,1,0,0,0,0,0,SCREEN_MOVED,childTURN_listenChildSpeechResponse,missionMODE,,,,,,0,False,,,,,,
9,1522686387,862006425,0:00:05.489729,2018-05-25 12:34:44.541812,2018-04-02 12:26:27.862059,1,vehicle,2018-04-02 12:26:22.372714,None,,0,childTURN_listenChildSpeechResponse,novice,2018-04-02 12:26:22.372628,None,,0,0,0,0,0,1,0,0,0,0,0,SCREEN_MOVED,childTURN_listenChildSpeechResponse,missionMODE,,,,,,0,False,False,False,True,False,False,
10,1522686392,27653932,0:00:09.671679,2018-05-25 12:34:48.723805,2018-04-02 12:26:32.044045,1,vehicle,2018-04-02 12:26:22.372714,None,,0,childTURN_listenChildSpeechResponse,novice,2018-04-02 12:26:22.372628,None,,0,0,0,0,0,1,0,0,0,0,0,SCREEN_MOVED,childTURN_listenChildSpeechResponse,missionMODE,,,,,,0,False,,,,,,
11,1522686394,483092069,0:00:12.111063,2018-05-25 12:34:51.163408,2018-04-02 12:26:34.483642,1,vehicle,2018-04-02 12:26:22.372714,None,,0,childTURN_parseChildSpeechResponse,novice,2018-04-02 12:26:22.372628,None,,0,0,0,0,0,1,0,0,0,0,0,SCREEN_MOVED,childTURN_parseChildSpeechResponse,missionMODE,,,,,,0,False,,,,,,
12,1522686395,91281175,0:00:12.719213,2018-05-25 12:34:51.771328,2018-04-02 12:26:35.091569,1,vehicle,2018-04-02 12:26:22.372714,None,,0,childTURN,novice,2018-04-02 12:26:22.372628,None,,0,0,0,0,0,1,1,0,0,0,0,SCREEN_MOVED,childTURN,missionMODE,,,,,,0,False,,,,,,
14,1522686395,593361854,0:00:13.221864,2018-05-25 12:34:52.273954,2018-04-02 12:26:35.594197,1,vehicle,2018-04-02 12:26:22.372714,None,,0,childTURN,novice,2018-04-02 12:26:22.372628,None,,0,0,0,0,0,1,1,0,0,0,0,SCREEN_MOVED,childTURN,missionMODE,Q_ROBOT_INDUCE_SPEECH,,,,,0,True,,,,,,
15,1522686395,598238706,0:00:13.226400,2018-05-25 12:34:52.278510,2018-04-02 12:26:35.598751,1,vehicle,2018-04-02 12:26:22.372714,None,,0,childTURN_listenChildSpeechResponse,novice,2018-04-02 12:26:22.372628,None,,0,0,0,0,0,2,1,0,0,0,0,SCREEN_MOVED,childTURN_listenChildSpeechResponse,missionMODE,,,,,,0,True,,,,,,
16,1522686396,702228784,0:00:14.330060,2018-05-25 12:34:53.382148,2018-04-02 12:26:36.702394,1,vehicle,2018-04-02 12:26:22.372714,None,,0,childTURN_listenChildSpeechResponse,novice,2018-04-02 12:26:22.372628,None,,0,0,0,0,0,2,1,0,0,0,0,SCREEN_MOVED,childTURN_listenChildSpeechResponse,missionMODE,,,,,,0,True,True,False,False,False,False,
17,1522686396,807799816,0:00:14.438044,2018-05-25 12:34:53.490204,2018-04-02 12:26:36.810437,1,vehicle,2018-04-02 12:26:22.372714,None,,0,childTURN_listenChildSpeechResponse,novice,2018-04-02 12:26:22.372628,None,,0,0,0,0,0,2,1,0,0,0,0,SCREEN_MOVED,childTURN_listenChildSpeechResponse,missionMODE,,,,,,0,True,False,True,False,False,False,
18,1522686396,913474321,0:00:14.541365,2018-05-25 12:34:53.593543,2018-04-02 12:26:36.913772,1,vehicle,2018-04-02 12:26:22.372714,None,,0,childTURN_listenChildSpeechResponse,novice,2018-04-02 12:26:22.372628,None,,0,0,0,0,0,2,1,0,0,0,0,SCREEN_MOVED,childTURN_listenChildSpeechResponse,missionMODE,,,,,,0,True,False,False,False,False,False,
19,1522686398,560174942,0:00:16.188320,2018-05-25 12:34:55.240422,2018-04-02 12:26:38.560663,1,vehicle,2018-04-02 12:26:22.372714,None,,0,childTURN_parseChildSpeechResponse,novice,2018-04-02 12:26:22.372628,None,,0,0,0,0,0,2,1,0,0,0,0,SCREEN_MOVED,childTURN_parseChildSpeechResponse,missionMODE,,,,,,0,True,,,,,,
20,1522686399,551362037,0:00:17.179752,2018-05-25 12:34:56.231838,2018-04-02 12:26:39.552084,1,vehicle,2018-04-02 12:26:22.372714,None,,0,childTURN_parseChildSpeechResponse,novice,2018-04-02 12:26:22.372628,None,,0,0,0,0,0,2,1,0,0,1,0,SCREEN_MOVED,childTURN_parseChildSpeechResponse,missionMODE,,,,,,0,True,,,,,,
21,1522686399,551861047,0:00:17.183014,2018-05-25 12:34:56.235104,2018-04-02 12:26:39.555347,1,vehicle,2018-04-02 12:26:22.372714,None,,0,childTURN_parseChildSpeechResponse,novice,2018-04-02 12:26:22.372628,None,,0,0,0,0,0,2,1,0,0,1,0,OBJECT_CLICKED,childTURN_parseChildSpeechResponse,missionMODE,,,,True,car,0,True,,,,,,
22,1522686399,553668498,0:00:17.183115,2018-05-25 12:34:56.235182,2018-04-02 12:26:39.555413,1,vehicle,2018-04-02 12:26:22.372714,None,,0,childTURN_parseChildSpeechResponse,novice,2018-04-02 12:26:22.372628,None,,0,0,0,0,0,2,1,0,0,1,0,OBJECT_CLICKED,childTURN_parseChildSpeechResponse,missionMODE,,,,True,,0,True,,,,,,
23,1522686400,558043241,0:00:18.185844,2018-05-25 12:34:57.237934,2018-04-02 12:26:40.558178,1,vehicle,2018-04-02 12:26:22.372714,None,,0,childTURN,novice,2018-04-02 12:26:22.372628,None,,0,0,0,0,0,2,1,0,0,1,0,OBJECT_CLICKED,childTURN,pronunciationPANEL,,,,True,,0,True,,,,,,
24,1522686404,848659515,0:00:22.480797,2018-05-25 12:35:01.532951,2018-04-02 12:26:44.853174,1,vehicle,2018-04-02 12:26:22.372714,None,,0,childTURN,novice,2018-04-02 12:26:22.372628,None,,0,0,0,0,0,2,1,0,0,1,0,SAY_BUTTON_PRESSED,childTURN,pronunciationPANEL,,,,True,car,0,True,,,,,,
26,1522686405,350631952,0:00:22.980135,2018-05-25 12:35:02.032218,2018-04-02 12:26:45.352465,1,vehicle,2018-04-02 12:26:22.372714,None,,0,childTURN,novice,2018-04-02 12:26:22.372628,None,,0,0,0,0,0,2,1,0,0,1,0,SAY_BUTTON_PRESSED,childTURN,pronunciationPANEL,,,,True,,0,True,,,,,,
27,1522686410,518301010,0:00:28.146359,2018-05-25 12:35:07.198632,2018-04-02 12:26:50.518864,1,vehicle,2018-04-02 12:26:22.372714,None,,0,childTURN,novice,2018-04-02 12:26:22.372628,None,,0,0,0,0,0,2,1,0,0,1,0,SAY_BUTTON_PRESSED,childTURN,pronunciationRESULT,,,,True,,0,True,False,False,False,False,False,
28,1522686410,719534635,0:00:28.348200,2018-05-25 12:35:07.400316,2018-04-02 12:26:50.720551,1,vehicle,2018-04-02 12:26:22.372714,None,,0,childTURN,novice,2018-04-02 12:26:22.372628,None,,1,0,0,0,0,2,1,0,0,1,0,SAY_BUTTON_PRESSED,childTURN,pronunciationRESULT,,,,True,,0,True,False,False,False,False,False,
