header seq inter ros topic,header secs inter ros topic,header nsecs inter ros topic,elapsedTimeFromGameStart,currentLocalTime,orig_local_time2,gameTask,vocab,taskStartTime,taskEndTime,taskDuration,taskTurnIndex,whoseTurn,robotRole,turnStartTime,turnEndTime,turnDuration,numCollectedObjectsForTask,numChildCollectedObjectsForTask,numTotalAttemptsForTask,numChildTotalAttemptsForTask,numChildClickCancelForTurn,numHintButtonPressedForTask,numQsAskeddForTask,numPositiveAnswerForTask,numNegativeAnswerForTask,numOtherAnswerForTask,numNoAnswerAttempt1ForTask,gameStateTrigger,currentInteractionState,currentGameState,robotPhysicalBehavior,robotVirtualBehavior,robotClickedObj,clickedRightObject,clickedObjName,numTouchAbsenceAlertPerTask,objectWordPronounced,isDraggin,pointerClick,onPinch,isScalingUp,isScalingDown,maxElapsedTimeReached
1,1522070027,369875669,,2018-05-19 21:25:36.171772,,0,,None,None,,0,childTURN,novice,None,None,,0,0,0,0,0,0,0,0,0,0,0,CONNECT_BUTTON_PRESSED,childTURN,gameSTART,,,,,,0,False,,,,,,
2,1522070028,578308343,,2018-05-19 21:25:37.377068,,0,,None,None,,0,childTURN,novice,None,None,,0,0,0,0,0,0,0,0,0,0,0,START_BUTTON_PRESSED,childTURN,gameSTART,,,,,,0,False,,,,,,
3,1522070039,399925231,0:00:05.196757,2018-05-19 21:25:48.198887,2018-03-26 09:13:59.400186,1,vehicle,2018-03-26 09:13:54.203829,None,,0,childTURN,novice,2018-03-26 09:13:54.203763,None,,0,0,0,0,0,0,0,0,0,0,0,SCREEN_MOVED,childTURN,missionMODE,,,,,,0,False,True,False,False,False,False,
4,1522070039,753119707,0:00:05.575811,2018-05-19 21:25:48.578114,2018-03-26 09:13:59.779374,1,vehicle,2018-03-26 09:13:54.203829,None,,0,childTURN,novice,2018-03-26 09:13:54.203763,None,,0,0,0,0,0,0,0,0,0,0,0,SCREEN_MOVED,childTURN,missionMODE,ROBOT_ENCOURAGING,,,,,0,False,,,,,,
5,1522070039,753878593,0:00:05.576142,2018-05-19 21:25:48.578216,2018-03-26 09:13:59.779524,1,vehicle,2018-03-26 09:13:54.203829,None,,0,childTURN,novice,2018-03-26 09:13:54.203763,None,,0,0,0,0,0,0,0,0,0,0,0,SCREEN_MOVED,childTURN,missionMODE,Q_ROBOT_INDUCE_SPEECH,,,,,0,False,,,,,,
6,1522070039,785049676,0:00:05.584135,2018-05-19 21:25:48.586392,2018-03-26 09:13:59.787683,1,vehicle,2018-03-26 09:13:54.203829,None,,0,childTURN_listenChildSpeechResponse,novice,2018-03-26 09:13:54.203763,None,,0,0,0,0,0,1,0,0,0,0,0,SCREEN_MOVED,childTURN_listenChildSpeechResponse,missionMODE,,,,,,0,False,,,,,,
7,1522070042,112273216,0:00:07.908255,2018-05-19 21:25:50.910393,2018-03-26 09:14:02.111691,1,vehicle,2018-03-26 09:13:54.203829,None,,0,childTURN_listenChildSpeechResponse,novice,2018-03-26 09:13:54.203763,None,,0,0,0,0,0,1,0,0,0,0,0,SCREEN_MOVED,childTURN_listenChildSpeechResponse,missionMODE,,,,,,0,False,False,True,False,False,False,
8,1522070042,669014692,0:00:08.465351,2018-05-19 21:25:51.467619,2018-03-26 09:14:02.668907,1,vehicle,2018-03-26 09:13:54.203829,None,,0,childTURN_listenChildSpeechResponse,novice,2018-03-26 09:13:54.203763,None,,0,0,0,0,0,1,0,0,0,0,0,SCREEN_MOVED,childTURN_listenChildSpeechResponse,missionMODE,,,,,,0,False,,,,,,
9,1522070042,739843606,0:00:08.548551,2018-05-19 21:25:51.550699,2018-03-26 09:14:02.751994,1,vehicle,2018-03-26 09:13:54.203829,None,,0,childTURN_listenChildSpeechResponse,novice,2018-03-26 09:13:54.203763,None,,0,0,0,0,0,1,0,0,0,0,0,HINT_BUTTON_PRESSED,childTURN_listenChildSpeechResponse,missionMODE,,,,,,0,False,,,,,,
10,1522070046,735687732,0:00:12.533558,2018-05-19 21:25:55.535706,2018-03-26 09:14:06.736997,1,vehicle,2018-03-26 09:13:54.203829,None,,0,childTURN_parseChildSpeechResponse,novice,2018-03-26 09:13:54.203763,None,,0,0,0,0,0,1,0,0,0,0,0,HINT_BUTTON_PRESSED,childTURN_parseChildSpeechResponse,missionMODE,,,,,,0,False,,,,,,
