header seq inter ros topic,header secs inter ros topic,header nsecs inter ros topic,elapsedTimeFromGameStart,currentLocalTime,orig_local_time2,gameTask,vocab,taskStartTime,taskEndTime,taskDuration,taskTurnIndex,whoseTurn,robotRole,turnStartTime,turnEndTime,turnDuration,numCollectedObjectsForTask,numChildCollectedObjectsForTask,numTotalAttemptsForTask,numChildTotalAttemptsForTask,numChildClickCancelForTurn,numHintButtonPressedForTask,numQsAskeddForTask,numPositiveAnswerForTask,numNegativeAnswerForTask,numOtherAnswerForTask,numNoAnswerAttempt1ForTask,gameStateTrigger,currentInteractionState,currentGameState,robotPhysicalBehavior,robotVirtualBehavior,robotClickedObj,clickedRightObject,clickedObjName,numTouchAbsenceAlertPerTask,objectWordPronounced,isDraggin,pointerClick,onPinch,isScalingUp,isScalingDown,maxElapsedTimeReached
1,1521475396,666557312,,2018-05-26 23:26:17.767268,,0,,None,None,,0,childTURN,novice,None,None,,0,0,0,0,0,0,0,0,0,0,0,CONNECT_BUTTON_PRESSED,childTURN,gameSTART,,,,,,0,False,,,,,,
2,1521475399,102377176,,2018-05-26 23:26:20.205199,,0,,None,None,,0,childTURN,novice,None,None,,0,0,0,0,0,0,0,0,0,0,0,START_BUTTON_PRESSED,childTURN,gameSTART,,,,,,0,False,,,,,,
3,1521475421,620758533,0:00:01.001649,2018-05-26 23:26:42.721631,2018-03-19 12:03:41.621080,1,vehicle,2018-03-19 12:03:40.619315,None,,0,childTURN,novice,2018-03-19 12:03:40.619270,None,,0,0,0,0,0,0,0,0,0,0,0,START_BUTTON_PRESSED,childTURN,explorationMODE,ROBOT_EXCITED,,,,,0,False,,,,,,
4,1521475425,857844352,0:00:05.245388,2018-05-26 23:26:46.965384,2018-03-19 12:03:45.864832,1,vehicle,2018-03-19 12:03:40.619315,None,,0,childTURN,novice,2018-03-19 12:03:40.619270,None,,0,0,0,0,0,0,0,0,0,0,0,OBJECT_CLICKED,childTURN,missionMODE,,,,,,0,False,,,,,,
5,1521475425,911233425,0:00:05.300989,2018-05-26 23:26:47.021087,2018-03-19 12:03:45.920523,1,vehicle,2018-03-19 12:03:40.619315,None,,0,childTURN,novice,2018-03-19 12:03:40.619270,None,,0,0,0,0,0,0,0,0,0,0,0,OBJECT_CLICKED,childTURN,pronunciationPANEL,,,,,,0,False,False,True,False,False,False,
6,1521475426,18463373,0:00:05.403121,2018-05-26 23:26:47.123144,2018-03-19 12:03:46.022585,1,vehicle,2018-03-19 12:03:40.619315,None,,0,childTURN,novice,2018-03-19 12:03:40.619270,None,,0,0,0,0,0,0,0,0,0,0,0,OBJECT_CLICKED,childTURN,pronunciationPANEL,,,,,,0,False,False,False,False,False,False,
7,1521475429,612637042,0:00:08.994936,2018-05-26 23:26:50.715114,2018-03-19 12:03:49.614559,1,vehicle,2018-03-19 12:03:40.619315,None,,0,childTURN,novice,2018-03-19 12:03:40.619270,None,,0,0,0,0,0,0,0,0,0,0,0,SAY_BUTTON_PRESSED,childTURN,pronunciationPANEL,,,,True,car,0,False,,,,,,
9,1521475430,124843120,0:00:09.505777,2018-05-26 23:26:51.225772,2018-03-19 12:03:50.125214,1,vehicle,2018-03-19 12:03:40.619315,None,,0,childTURN,novice,2018-03-19 12:03:40.619270,None,,0,0,0,0,0,0,0,0,0,0,0,SAY_BUTTON_PRESSED,childTURN,pronunciationPANEL,,,,True,,0,False,,,,,,
10,1521475435,278735160,0:00:14.665971,2018-05-26 23:26:56.386097,2018-03-19 12:03:55.285539,1,vehicle,2018-03-19 12:03:40.619315,None,,0,childTURN,novice,2018-03-19 12:03:40.619270,None,,0,0,0,0,0,0,0,0,0,0,0,SAY_BUTTON_PRESSED,childTURN,pronunciationRESULT,,,,True,,0,False,False,False,False,False,False,
11,1521475435,492408037,0:00:14.876812,2018-05-26 23:26:56.596832,2018-03-19 12:03:55.496273,1,vehicle,2018-03-19 12:03:40.619315,None,,0,childTURN,novice,2018-03-19 12:03:40.619270,None,,1,0,0,0,0,0,0,0,0,0,0,SAY_BUTTON_PRESSED,childTURN,pronunciationRESULT,,,,True,,0,False,False,False,False,False,False,
