header seq inter ros topic,header secs inter ros topic,header nsecs inter ros topic,elapsedTimeFromGameStart,currentLocalTime,gameTask,vocab,taskStartTime,taskEndTime,taskDuration,taskTurnIndex,whoseTurn,robotRole,turnStartTime,turnEndTime,turnDuration,numCollectedObjectsForTask,numChildCollectedObjectsForTask,numTotalAttemptsForTask,numChildTotalAttemptsForTask,numChildClickCancelForTurn,numHintButtonPressedForTask,numQsAskeddForTask,numPositiveAnswerForTask,numNegativeAnswerForTask,numOtherAnswerForTask,numNoAnswerAttempt1ForTask,gameStateTrigger,currentInteractionState,currentGameState,robotPhysicalBehavior,robotVirtualBehavior,robotClickedObj,clickedRightObject,clickedObjName,numTouchAbsenceAlertPerTask,objectWordPronounced,isDraggin,pointerClick,onPinch,isScalingUp,isScalingDown,maxElapsedTimeReached
18,1522163929,332482814,0:00:22.698749,2018-05-17 19:58:06.449550,1,gigantic,2018-03-27 11:18:26.633365,None,,0,childTURN,novice,2018-03-27 11:18:26.633301,None,,0,0,0,0,0,1,0,0,1,0,0,SCREEN_MOVED,childTURN,missionMODE,,,,,,0,False,False,True,False,False,False,
19,1522163931,489650726,0:00:24.857841,2018-05-17 19:58:08.608653,1,gigantic,2018-03-27 11:18:26.633365,None,,0,childTURN,novice,2018-03-27 11:18:26.633301,None,,0,0,0,0,0,1,0,0,1,0,0,OBJECT_CLICKED,childTURN,missionMODE,,,,,,0,False,,,,,,
20,1522163931,543232679,0:00:24.909544,2018-05-17 19:58:08.660387,1,gigantic,2018-03-27 11:18:26.633365,None,,0,childTURN,novice,2018-03-27 11:18:26.633301,None,,0,0,0,0,0,1,0,0,1,0,0,OBJECT_CLICKED,childTURN,pronunciationPANEL,,,,,,0,False,False,True,False,False,False,
21,1522163931,644744634,0:00:25.010979,2018-05-17 19:58:08.761773,1,gigantic,2018-03-27 11:18:26.633365,None,,0,childTURN,novice,2018-03-27 11:18:26.633301,None,,0,0,0,0,0,1,0,0,1,0,0,OBJECT_CLICKED,childTURN,pronunciationPANEL,,,,,,0,False,False,False,False,False,False,
22,1522163932,953485727,0:00:26.320039,2018-05-17 19:58:10.070826,1,gigantic,2018-03-27 11:18:26.633365,None,,0,childTURN,novice,2018-03-27 11:18:26.633301,None,,0,0,0,0,0,1,0,0,1,0,0,SAY_BUTTON_PRESSED,childTURN,pronunciationPANEL,,,,True,couch,0,False,,,,,,
24,1522163933,455762147,0:00:26.822772,2018-05-17 19:58:10.573582,1,gigantic,2018-03-27 11:18:26.633365,None,,0,childTURN,novice,2018-03-27 11:18:26.633301,None,,0,0,0,0,0,1,0,0,1,0,0,SAY_BUTTON_PRESSED,childTURN,pronunciationPANEL,,,,True,,0,False,,,,,,
25,1522163938,608730792,0:00:31.976445,2018-05-17 19:58:15.727358,1,gigantic,2018-03-27 11:18:26.633365,None,,0,childTURN,novice,2018-03-27 11:18:26.633301,None,,0,0,0,0,0,1,0,0,1,0,0,SAY_BUTTON_PRESSED,childTURN,pronunciationRESULT,,,,True,,0,False,False,False,False,False,False,
26,1522163938,810528993,0:00:32.178181,2018-05-17 19:58:15.928957,1,gigantic,2018-03-27 11:18:26.633365,None,,0,childTURN,novice,2018-03-27 11:18:26.633301,None,,1,0,0,0,0,1,0,0,1,0,0,SAY_BUTTON_PRESSED,childTURN,pronunciationRESULT,,,,True,,0,False,False,False,False,False,False,
27,1522163939,525793552,0:00:32.892779,2018-05-17 19:58:16.643539,1,gigantic,2018-03-27 11:18:26.633365,None,,0,childTURN,novice,2018-03-27 11:18:26.633301,None,,1,0,0,0,0,1,0,0,1,0,0,TARGET_OBJECT_COLLECTED,childTURN,pronunciationRESULT,ROBOT_SILENT_HAPPY_DANCE,,,,,0,False,,,,,,
28,1522163940,27833938,0:00:33.394177,2018-05-17 19:58:17.144949,1,gigantic,2018-03-27 11:18:26.633365,None,,0,childTURN,novice,2018-03-27 11:18:26.633301,None,,1,0,0,0,0,1,0,0,1,0,0,TARGET_OBJECT_COLLECTED,childTURN,pronunciationRESULT,ROBOT_CUSTOM_SPEECH,,,,,0,False,,,,,,
