header seq inter ros topic,header secs inter ros topic,header nsecs inter ros topic,elapsedTimeFromGameStart,currentLocalTime,orig_local_time2,gameTask,vocab,taskStartTime,taskEndTime,taskDuration,taskTurnIndex,whoseTurn,robotRole,turnStartTime,turnEndTime,turnDuration,numCollectedObjectsForTask,numChildCollectedObjectsForTask,numTotalAttemptsForTask,numChildTotalAttemptsForTask,numChildClickCancelForTurn,numHintButtonPressedForTask,numQsAskeddForTask,numPositiveAnswerForTask,numNegativeAnswerForTask,numOtherAnswerForTask,numNoAnswerAttempt1ForTask,gameStateTrigger,currentInteractionState,currentGameState,robotPhysicalBehavior,robotVirtualBehavior,robotClickedObj,clickedRightObject,clickedObjName,numTouchAbsenceAlertPerTask,objectWordPronounced,isDraggin,pointerClick,onPinch,isScalingUp,isScalingDown,maxElapsedTimeReached
1,1521471042,902900218,,2018-05-25 16:56:55.083604,,0,,None,None,,0,childTURN,novice,None,None,,0,0,0,0,0,0,0,0,0,0,0,CONNECT_BUTTON_PRESSED,childTURN,gameSTART,,,,,,0,False,,,,,,
2,1521471044,114207029,,2018-05-25 16:56:56.294442,,0,,None,None,,0,childTURN,novice,None,None,,0,0,0,0,0,0,0,0,0,0,0,START_BUTTON_PRESSED,childTURN,gameSTART,,,,,,0,False,,,,,,
3,1521471088,675477266,0:00:08.140594,2018-05-25 16:57:40.854427,2018-03-19 10:51:28.672647,1,gigantic,2018-03-19 10:51:20.533132,None,,0,childTURN,novice,2018-03-19 10:51:20.533062,None,,0,0,0,0,0,0,0,0,0,0,0,OBJECT_CLICKED,childTURN,missionMODE,,,,,,0,False,,,,,,
4,1521471088,745658636,0:00:08.274666,2018-05-25 16:57:40.989273,2018-03-19 10:51:28.807485,1,gigantic,2018-03-19 10:51:20.533132,None,,0,childTURN,novice,2018-03-19 10:51:20.533062,None,,0,0,0,0,0,0,0,0,0,0,0,OBJECT_CLICKED,childTURN,pronunciationPANEL,,,,,,0,False,False,True,False,False,False,
5,1521471088,851948976,0:00:08.327023,2018-05-25 16:57:41.040873,2018-03-19 10:51:28.859093,1,gigantic,2018-03-19 10:51:20.533132,None,,0,childTURN,novice,2018-03-19 10:51:20.533062,None,,0,0,0,0,0,0,0,0,0,0,0,OBJECT_CLICKED,childTURN,pronunciationPANEL,,,,,,0,False,False,False,False,False,False,
6,1521471128,271058082,0:00:47.736839,2018-05-25 16:58:20.450693,2018-03-19 10:52:08.268909,1,gigantic,2018-03-19 10:51:20.533132,None,,0,childTURN,novice,2018-03-19 10:51:20.533062,None,,0,0,0,0,0,0,0,0,0,0,0,SAY_BUTTON_PRESSED,childTURN,pronunciationPANEL,,,,False,bathtub,0,False,,,,,,
8,1521471128,772556543,0:00:48.238326,2018-05-25 16:58:20.952393,2018-03-19 10:52:08.770405,1,gigantic,2018-03-19 10:51:20.533132,None,,0,childTURN,novice,2018-03-19 10:51:20.533062,None,,0,0,0,0,0,0,0,0,0,0,0,SAY_BUTTON_PRESSED,childTURN,pronunciationPANEL,,,,False,,0,False,,,,,,
9,1521471133,941618919,0:00:53.406831,2018-05-25 16:58:26.121221,2018-03-19 10:52:13.939357,1,gigantic,2018-03-19 10:51:20.533132,None,,0,childTURN,novice,2018-03-19 10:51:20.533062,None,,0,0,0,0,0,0,0,0,0,0,0,SAY_BUTTON_PRESSED,childTURN,pronunciationRESULT,,,,False,,0,False,False,False,False,False,False,
10,1521471134,143631219,0:00:53.611914,2018-05-25 16:58:26.325787,2018-03-19 10:52:14.144004,1,gigantic,2018-03-19 10:51:20.533132,None,,0,childTURN,novice,2018-03-19 10:51:20.533062,None,,0,0,0,0,0,0,0,0,0,0,0,SAY_BUTTON_PRESSED,childTURN,pronunciationRESULT,,,,False,,0,False,False,False,False,False,False,
11,1521471136,153442621,0:00:55.622000,2018-05-25 16:58:28.336265,2018-03-19 10:52:16.154371,1,gigantic,2018-03-19 10:51:20.533132,None,,0,childTURN,novice,2018-03-19 10:51:20.533062,None,,0,0,0,0,0,0,0,0,0,0,0,NONTARGET_OBJECT_COLLECTED,childTURN,pronunciationRESULT,,,,False,bathtub,0,False,,,,,,
12,1521471136,655030488,0:00:56.127835,2018-05-25 16:58:28.842993,2018-03-19 10:52:16.661184,1,gigantic,2018-03-19 10:51:20.533132,None,,0,childTURN,novice,2018-03-19 10:51:20.533062,None,,0,0,0,0,0,0,0,0,0,0,0,NONTARGET_OBJECT_COLLECTED,childTURN,pronunciationRESULT,ROBOT_CUSTOM_SPEECH,,,False,,0,False,,,,,,
15,1521471141,757374048,0:01:01.224102,2018-05-25 16:58:33.938802,2018-03-19 10:52:21.757001,1,gigantic,2018-03-19 10:51:20.533132,None,,0,childTURN,novice,2018-03-19 10:51:20.533062,2018-03-19 10:52:21.757349,0:01:01.224287,0,0,1,1,0,0,0,0,0,0,0,NONTARGET_OBJECT_COLLECTED,childTURN,pronunciationRESULT,,,,False,,0,False,,,,,,
16,1521471141,758216857,0:01:01.225175,2018-05-25 16:58:33.939241,2018-03-19 10:52:21.757457,1,gigantic,2018-03-19 10:51:20.533132,None,,1,robotTURN,novice,2018-03-19 10:52:21.758183,None,,0,0,1,1,0,0,0,0,0,0,0,NONTARGET_OBJECT_COLLECTED,robotTURN,pronunciationRESULT,,,,False,,0,False,,,,,,
17,1521471142,361483335,0:01:01.829679,2018-05-25 16:58:34.543987,2018-03-19 10:52:22.362197,1,gigantic,2018-03-19 10:51:20.533132,None,,1,robotTURN,NOVICE,2018-03-19 10:52:21.758183,None,,0,0,1,1,0,0,0,0,0,0,0,NONTARGET_OBJECT_COLLECTED,robotTURN,pronunciationRESULT,ROBOT_SILENT_EXCITED,,,False,,0,False,,,,,,
18,1521471145,362615823,0:01:04.835256,2018-05-25 16:58:37.549112,2018-03-19 10:52:25.367329,1,gigantic,2018-03-19 10:51:20.533132,None,,1,robotTURN,NOVICE,2018-03-19 10:52:21.758183,None,,0,0,1,1,0,0,0,0,0,0,0,NONTARGET_OBJECT_COLLECTED,robotTURN,pronunciationRESULT,,VIRTUALLY_EXPLORE,,False,,0,False,,,,,,
19,1521471149,864764928,0:01:09.330998,2018-05-25 16:58:42.045181,2018-03-19 10:52:29.863391,1,gigantic,2018-03-19 10:51:20.533132,None,,1,robotTURN,NOVICE,2018-03-19 10:52:21.758183,None,,0,0,1,1,0,0,0,0,0,0,0,SCREEN_MOVED,robotTURN,missionMODE,,VIRTUALLY_CLICK_WRONG_OBJ,,False,bathtub,0,False,,,,,,
20,1521471150,366507768,0:01:09.834372,2018-05-25 16:58:42.548640,2018-03-19 10:52:30.366844,1,gigantic,2018-03-19 10:51:20.533132,None,,1,robotTURN,NOVICE,2018-03-19 10:52:21.758183,None,,0,0,1,1,0,0,0,0,0,0,0,SCREEN_MOVED,robotTURN,missionMODE,LOOK_AT_TABLET,VIRTUALLY_CLICK_WRONG_OBJ,,False,,0,False,,,,,,
21,1521471150,870126008,0:01:10.340660,2018-05-25 16:58:43.054519,2018-03-19 10:52:30.872735,1,gigantic,2018-03-19 10:51:20.533132,None,,1,robotTURN,NOVICE,2018-03-19 10:52:21.758183,None,,0,0,1,1,0,0,0,0,0,0,0,SCREEN_MOVED,robotTURN,missionMODE,ROBOT_SILENT_INTERESTED,VIRTUALLY_CLICK_WRONG_OBJ,,False,,0,False,,,,,,
22,1521471150,870929241,0:01:10.341758,2018-05-25 16:58:43.055592,2018-03-19 10:52:30.873811,1,gigantic,2018-03-19 10:51:20.533132,None,,1,robotTURN,NOVICE,2018-03-19 10:52:21.758183,None,,0,0,1,1,0,0,0,0,0,0,0,SCREEN_MOVED,robotTURN,missionMODE,,VIRTUALLY_CLICK_WRONG_OBJ,,False,,0,False,,,,,,
23,1521471150,875701427,0:01:10.342785,2018-05-25 16:58:43.057332,2018-03-19 10:52:30.875537,1,gigantic,2018-03-19 10:51:20.533132,None,,1,robotTURN,NOVICE,2018-03-19 10:52:21.758183,None,,0,0,1,1,0,0,0,0,0,0,0,SCREEN_MOVED,robotTURN,missionMODE,,VIRTUALLY_CLICK_WRONG_OBJ,monkey,False,,0,False,,,,,,
24,1521471154,850559473,0:01:14.316261,2018-05-25 16:58:47.030108,2018-03-19 10:52:34.848326,1,gigantic,2018-03-19 10:51:20.533132,None,,1,robotTURN,NOVICE,2018-03-19 10:52:21.758183,None,,0,0,1,1,0,0,0,0,0,0,0,OBJECT_CLICKED,robotTURN,missionMODE,,VIRTUALLY_CLICK_WRONG_OBJ,monkey,False,bathtub,0,False,,,,,,
25,1521471154,901175022,0:01:14.366907,2018-05-25 16:58:47.080898,2018-03-19 10:52:34.899110,1,gigantic,2018-03-19 10:51:20.533132,None,,1,robotTURN,NOVICE,2018-03-19 10:52:21.758183,None,,0,0,1,1,0,0,0,0,0,0,0,OBJECT_CLICKED,robotTURN,missionMODE,,VIRTUALLY_CLICK_WRONG_OBJ,monkey,False,,0,False,False,False,False,False,False,
26,1521471155,2073287,0:01:14.467487,2018-05-25 16:58:47.181334,2018-03-19 10:52:34.999552,1,gigantic,2018-03-19 10:51:20.533132,None,,1,robotTURN,NOVICE,2018-03-19 10:52:21.758183,None,,0,0,1,1,0,0,0,0,0,0,0,OBJECT_CLICKED,robotTURN,missionMODE,,VIRTUALLY_CLICK_WRONG_OBJ,monkey,False,,0,False,False,False,False,False,False,
27,1521471155,103036642,0:01:14.571072,2018-05-25 16:58:47.284989,2018-03-19 10:52:35.103127,1,gigantic,2018-03-19 10:51:20.533132,None,,1,robotTURN,NOVICE,2018-03-19 10:52:21.758183,None,,0,0,1,1,0,0,0,0,0,0,0,OBJECT_CLICKED,robotTURN,missionMODE,,VIRTUALLY_CLICK_WRONG_OBJ,monkey,False,,0,False,False,False,False,False,False,
28,1521471155,204092502,0:01:14.669322,2018-05-25 16:58:47.383338,2018-03-19 10:52:35.201545,1,gigantic,2018-03-19 10:51:20.533132,None,,1,robotTURN,NOVICE,2018-03-19 10:52:21.758183,None,,0,0,1,1,0,0,0,0,0,0,0,OBJECT_CLICKED,robotTURN,missionMODE,,VIRTUALLY_CLICK_WRONG_OBJ,monkey,False,,0,False,False,False,False,False,False,
29,1521471155,322950124,0:01:14.797493,2018-05-25 16:58:47.511346,2018-03-19 10:52:35.329562,1,gigantic,2018-03-19 10:51:20.533132,None,,1,robotTURN,NOVICE,2018-03-19 10:52:21.758183,None,,0,0,1,1,0,0,0,0,0,0,0,OBJECT_CLICKED,robotTURN,missionMODE,,VIRTUALLY_CLICK_WRONG_OBJ,monkey,False,,0,False,False,False,False,False,False,
32,1521471155,352754592,0:01:14.819023,2018-05-25 16:58:47.532951,2018-03-19 10:52:35.351166,1,gigantic,2018-03-19 10:51:20.533132,None,,1,robotTURN,NOVICE,2018-03-19 10:52:21.758183,None,,0,0,1,1,0,0,0,0,0,0,0,OBJECT_CLICKED,robotTURN,missionMODE,,VIRTUALLY_CLICK_WRONG_OBJ,monkey,False,,0,False,,,,,,
33,1521471155,426110744,0:01:14.891734,2018-05-25 16:58:47.605571,2018-03-19 10:52:35.423789,1,gigantic,2018-03-19 10:51:20.533132,None,,1,robotTURN,NOVICE,2018-03-19 10:52:21.758183,None,,0,0,1,1,0,0,0,0,0,0,0,OBJECT_CLICKED,robotTURN,pronunciationPANEL,,VIRTUALLY_CLICK_WRONG_OBJ,monkey,False,,0,False,False,False,False,False,False,
34,1521471155,531677722,0:01:14.996937,2018-05-25 16:58:47.710899,2018-03-19 10:52:35.529095,1,gigantic,2018-03-19 10:51:20.533132,None,,1,robotTURN,NOVICE,2018-03-19 10:52:21.758183,None,,0,0,1,1,0,0,0,0,0,0,0,OBJECT_CLICKED,robotTURN,pronunciationPANEL,,VIRTUALLY_CLICK_WRONG_OBJ,monkey,False,,0,False,False,False,False,False,False,
35,1521471155,633172512,0:01:15.100057,2018-05-25 16:58:47.814310,2018-03-19 10:52:35.632486,1,gigantic,2018-03-19 10:51:20.533132,None,,1,robotTURN,NOVICE,2018-03-19 10:52:21.758183,None,,0,0,1,1,0,0,0,0,0,0,0,OBJECT_CLICKED,robotTURN,pronunciationPANEL,,VIRTUALLY_CLICK_WRONG_OBJ,monkey,False,,0,False,False,False,False,False,False,
36,1521471155,735197544,0:01:15.211910,2018-05-25 16:58:47.927541,2018-03-19 10:52:35.745741,1,gigantic,2018-03-19 10:51:20.533132,None,,1,robotTURN,NOVICE,2018-03-19 10:52:21.758183,None,,0,0,1,1,0,0,0,0,0,0,0,OBJECT_CLICKED,robotTURN,pronunciationPANEL,,VIRTUALLY_CLICK_WRONG_OBJ,monkey,False,,0,False,False,False,False,False,False,
37,1521471155,837934017,0:01:15.314539,2018-05-25 16:58:48.032805,2018-03-19 10:52:35.850958,1,gigantic,2018-03-19 10:51:20.533132,None,,1,robotTURN,NOVICE,2018-03-19 10:52:21.758183,None,,0,0,1,1,0,0,0,0,0,0,0,OBJECT_CLICKED,robotTURN,pronunciationPANEL,,VIRTUALLY_CLICK_WRONG_OBJ,monkey,False,,0,False,False,False,False,False,False,
38,1521471155,939572095,0:01:15.409236,2018-05-25 16:58:48.123087,2018-03-19 10:52:35.941304,1,gigantic,2018-03-19 10:51:20.533132,None,,1,robotTURN,NOVICE,2018-03-19 10:52:21.758183,None,,0,0,1,1,0,0,0,0,0,0,0,OBJECT_CLICKED,robotTURN,pronunciationPANEL,,VIRTUALLY_CLICK_WRONG_OBJ,monkey,False,,0,False,False,False,False,False,False,
39,1521471156,45562982,0:01:15.512839,2018-05-25 16:58:48.226754,2018-03-19 10:52:36.044966,1,gigantic,2018-03-19 10:51:20.533132,None,,1,robotTURN,NOVICE,2018-03-19 10:52:21.758183,None,,0,0,1,1,0,0,0,0,0,0,0,OBJECT_CLICKED,robotTURN,pronunciationPANEL,,VIRTUALLY_CLICK_WRONG_OBJ,monkey,False,,0,False,False,False,False,False,False,
