header seq inter ros topic,header secs inter ros topic,header nsecs inter ros topic,elapsedTimeFromGameStart,currentLocalTime,orig_local_time2,gameTask,vocab,taskStartTime,taskEndTime,taskDuration,taskTurnIndex,whoseTurn,robotRole,turnStartTime,turnEndTime,turnDuration,numCollectedObjectsForTask,numChildCollectedObjectsForTask,numTotalAttemptsForTask,numChildTotalAttemptsForTask,numChildClickCancelForTurn,numHintButtonPressedForTask,numQsAskeddForTask,numPositiveAnswerForTask,numNegativeAnswerForTask,numOtherAnswerForTask,numNoAnswerAttempt1ForTask,gameStateTrigger,currentInteractionState,currentGameState,robotPhysicalBehavior,robotVirtualBehavior,robotClickedObj,clickedRightObject,clickedObjName,numTouchAbsenceAlertPerTask,objectWordPronounced,isDraggin,pointerClick,onPinch,isScalingUp,isScalingDown,maxElapsedTimeReached
1,1521639963,914189100,,2018-05-23 00:27:18.089913,,0,,None,None,,0,childTURN,novice,None,None,,0,0,0,0,0,0,0,0,0,0,0,CONNECT_BUTTON_PRESSED,childTURN,gameSTART,,,,,,0,False,,,,,,
2,1521639965,125139713,,2018-05-23 00:27:19.300987,,0,,None,None,,0,childTURN,novice,None,None,,0,0,0,0,0,0,0,0,0,0,0,START_BUTTON_PRESSED,childTURN,gameSTART,,,,,,0,False,,,,,,
3,1521639973,182803869,0:00:01.001585,2018-05-23 00:27:27.359354,2018-03-21 09:46:13.183021,1,gigantic,2018-03-21 09:46:12.181176,None,,0,childTURN,novice,2018-03-21 09:46:12.181113,None,,0,0,0,0,0,0,0,0,0,0,0,START_BUTTON_PRESSED,childTURN,explorationMODE,ROBOT_EXCITED,,,,,0,False,,,,,,
4,1521639981,255761861,0:00:09.083075,2018-05-23 00:27:35.440842,2018-03-21 09:46:21.264512,1,gigantic,2018-03-21 09:46:12.181176,None,,0,childTURN,novice,2018-03-21 09:46:12.181113,None,,0,0,0,0,0,0,0,0,0,0,0,SCREEN_MOVED,childTURN,missionMODE,,,,,,0,False,True,False,False,False,False,
5,1521639981,361480236,0:00:09.185151,2018-05-23 00:27:35.542913,2018-03-21 09:46:21.366584,1,gigantic,2018-03-21 09:46:12.181176,None,,0,childTURN,novice,2018-03-21 09:46:12.181113,None,,0,0,0,0,0,0,0,0,0,0,0,SCREEN_MOVED,childTURN,missionMODE,,,,,,0,False,False,True,False,False,False,
6,1521639981,467626810,0:00:09.286601,2018-05-23 00:27:35.644680,2018-03-21 09:46:21.468335,1,gigantic,2018-03-21 09:46:12.181176,None,,0,childTURN,novice,2018-03-21 09:46:12.181113,None,,0,0,0,0,0,0,0,0,0,0,0,SCREEN_MOVED,childTURN,missionMODE,,,,,,0,False,True,False,False,False,False,
7,1521639981,543646335,0:00:09.367228,2018-05-23 00:27:35.725251,2018-03-21 09:46:21.548910,1,gigantic,2018-03-21 09:46:12.181176,None,,0,childTURN,novice,2018-03-21 09:46:12.181113,None,,0,0,0,0,0,0,0,0,0,0,0,SCREEN_MOVED,childTURN,missionMODE,ROBOT_ENCOURAGING,,,,,0,False,,,,,,
8,1521639981,544185638,0:00:09.367589,2018-05-23 00:27:35.730163,2018-03-21 09:46:21.553822,1,gigantic,2018-03-21 09:46:12.181176,None,,0,childTURN,novice,2018-03-21 09:46:12.181113,None,,0,0,0,0,0,0,0,0,0,0,0,SCREEN_MOVED,childTURN,missionMODE,Q_ROBOT_INDUCE_SPEECH,,,,,0,False,,,,,,
9,1521639981,572220325,0:00:09.391359,2018-05-23 00:27:35.749171,2018-03-21 09:46:21.572820,1,gigantic,2018-03-21 09:46:12.181176,None,,0,childTURN,novice,2018-03-21 09:46:12.181113,None,,0,0,0,0,0,0,0,0,0,0,0,SCREEN_MOVED,childTURN,missionMODE,,,,,,0,False,False,False,True,False,False,
10,1521639981,582573890,0:00:09.400397,2018-05-23 00:27:35.758210,2018-03-21 09:46:21.581870,1,gigantic,2018-03-21 09:46:12.181176,None,,0,childTURN_listenChildSpeechResponse,novice,2018-03-21 09:46:12.181113,None,,0,0,0,0,0,1,0,0,0,0,0,SCREEN_MOVED,childTURN_listenChildSpeechResponse,missionMODE,,,,,,0,False,,,,,,
