header seq inter ros topic,header secs inter ros topic,header nsecs inter ros topic,elapsedTimeFromGameStart,currentLocalTime,orig_local_time2,gameTask,vocab,taskStartTime,taskEndTime,taskDuration,taskTurnIndex,whoseTurn,robotRole,turnStartTime,turnEndTime,turnDuration,numCollectedObjectsForTask,numChildCollectedObjectsForTask,numTotalAttemptsForTask,numChildTotalAttemptsForTask,numChildClickCancelForTurn,numHintButtonPressedForTask,numQsAskeddForTask,numPositiveAnswerForTask,numNegativeAnswerForTask,numOtherAnswerForTask,numNoAnswerAttempt1ForTask,gameStateTrigger,currentInteractionState,currentGameState,robotPhysicalBehavior,robotVirtualBehavior,robotClickedObj,clickedRightObject,clickedObjName,numTouchAbsenceAlertPerTask,objectWordPronounced,isDraggin,pointerClick,onPinch,isScalingUp,isScalingDown,maxElapsedTimeReached
1,1521648085,814336061,,2018-05-22 20:59:29.516185,,0,,None,None,,0,childTURN,novice,None,None,,0,0,0,0,0,0,0,0,0,0,0,CONNECT_BUTTON_PRESSED,childTURN,gameSTART,,,,,,0,False,,,,,,
2,1521648088,497551202,,2018-05-22 20:59:32.200714,,0,,None,None,,0,childTURN,novice,None,None,,0,0,0,0,0,0,0,0,0,0,0,START_BUTTON_PRESSED,childTURN,gameSTART,,,,,,0,False,,,,,,
3,1521648107,350807666,0:00:01.003331,2018-05-22 20:59:51.052463,2018-03-21 12:01:47.351331,1,vehicle,2018-03-21 12:01:46.348608,None,,0,childTURN,novice,2018-03-21 12:01:46.348540,None,,0,0,0,0,0,0,0,0,0,0,0,START_BUTTON_PRESSED,childTURN,explorationMODE,ROBOT_EXCITED,,,,,0,False,,,,,,
4,1521648114,375309705,0:00:08.029016,2018-05-22 20:59:58.078150,2018-03-21 12:01:54.377014,1,vehicle,2018-03-21 12:01:46.348608,None,,0,childTURN,novice,2018-03-21 12:01:46.348540,None,,0,0,0,0,0,0,0,0,0,0,0,SCREEN_MOVED,childTURN,missionMODE,,,,,,0,False,True,False,False,False,False,
5,1521648114,479302644,0:00:08.132108,2018-05-22 20:59:58.181246,2018-03-21 12:01:54.480108,1,vehicle,2018-03-21 12:01:46.348608,None,,0,childTURN,novice,2018-03-21 12:01:46.348540,None,,0,0,0,0,0,0,0,0,0,0,0,SCREEN_MOVED,childTURN,missionMODE,,,,,,0,False,False,True,False,False,False,
6,1521648114,585631608,0:00:08.237826,2018-05-22 20:59:58.286955,2018-03-21 12:01:54.585823,1,vehicle,2018-03-21 12:01:46.348608,None,,0,childTURN,novice,2018-03-21 12:01:46.348540,None,,0,0,0,0,0,0,0,0,0,0,0,SCREEN_MOVED,childTURN,missionMODE,,,,,,0,False,True,False,False,False,False,
7,1521648114,692323923,0:00:08.344741,2018-05-22 20:59:58.393887,2018-03-21 12:01:54.692752,1,vehicle,2018-03-21 12:01:46.348608,None,,0,childTURN,novice,2018-03-21 12:01:46.348540,None,,0,0,0,0,0,0,0,0,0,0,0,SCREEN_MOVED,childTURN,missionMODE,,,,,,0,False,False,True,False,False,False,
8,1521648114,704135179,0:00:08.357434,2018-05-22 20:59:58.406563,2018-03-21 12:01:54.705431,1,vehicle,2018-03-21 12:01:46.348608,None,,0,childTURN,novice,2018-03-21 12:01:46.348540,None,,0,0,0,0,0,0,0,0,0,0,0,SCREEN_MOVED,childTURN,missionMODE,LOOK_CENTER,,,,,0,False,,,,,,
9,1521648114,798335075,0:00:08.452682,2018-05-22 20:59:58.501816,2018-03-21 12:01:54.800683,1,vehicle,2018-03-21 12:01:46.348608,None,,0,childTURN,novice,2018-03-21 12:01:46.348540,None,,0,0,0,0,0,0,0,0,0,0,0,SCREEN_MOVED,childTURN,missionMODE,,,,,,0,False,True,False,False,False,False,
10,1521648114,905796051,0:00:08.557974,2018-05-22 20:59:58.607106,2018-03-21 12:01:54.905973,1,vehicle,2018-03-21 12:01:46.348608,None,,0,childTURN,novice,2018-03-21 12:01:46.348540,None,,0,0,0,0,0,0,0,0,0,0,0,SCREEN_MOVED,childTURN,missionMODE,,,,,,0,False,False,True,False,False,False,
11,1521648115,11614322,0:00:08.668740,2018-05-22 20:59:58.717875,2018-03-21 12:01:55.016739,1,vehicle,2018-03-21 12:01:46.348608,None,,0,childTURN,novice,2018-03-21 12:01:46.348540,None,,0,0,0,0,0,0,0,0,0,0,0,SCREEN_MOVED,childTURN,missionMODE,,,,,,0,False,True,False,False,False,False,
12,1521648115,128010272,0:00:08.780006,2018-05-22 20:59:58.829143,2018-03-21 12:01:55.128010,1,vehicle,2018-03-21 12:01:46.348608,None,,0,childTURN,novice,2018-03-21 12:01:46.348540,None,,0,0,0,0,0,0,0,0,0,0,0,SCREEN_MOVED,childTURN,missionMODE,,,,,,0,False,False,True,False,False,False,
14,1521648115,210508584,0:00:08.865343,2018-05-22 20:59:58.914494,2018-03-21 12:01:55.213355,1,vehicle,2018-03-21 12:01:46.348608,None,,0,childTURN,novice,2018-03-21 12:01:46.348540,None,,0,0,0,0,0,0,0,0,0,0,0,SCREEN_MOVED,childTURN,missionMODE,,,,,,0,False,,,,,,
15,1521648115,228679418,0:00:08.880759,2018-05-22 20:59:58.929944,2018-03-21 12:01:55.228788,1,vehicle,2018-03-21 12:01:46.348608,None,,0,childTURN,novice,2018-03-21 12:01:46.348540,None,,0,0,0,0,0,0,0,0,0,0,0,SCREEN_MOVED,childTURN,missionMODE,,,,,,0,False,False,True,False,False,False,
16,1521648115,329391002,0:00:08.981777,2018-05-22 20:59:59.031011,2018-03-21 12:01:55.329862,1,vehicle,2018-03-21 12:01:46.348608,None,,0,childTURN,novice,2018-03-21 12:01:46.348540,None,,0,0,0,0,0,0,0,0,0,0,0,SCREEN_MOVED,childTURN,missionMODE,,,,,,0,False,True,False,False,False,False,
17,1521648115,430402278,0:00:09.083358,2018-05-22 20:59:59.132490,2018-03-21 12:01:55.431358,1,vehicle,2018-03-21 12:01:46.348608,None,,0,childTURN,novice,2018-03-21 12:01:46.348540,None,,0,0,0,0,0,0,0,0,0,0,0,SCREEN_MOVED,childTURN,missionMODE,,,,,,0,False,False,True,False,False,False,
18,1521648115,531352281,0:00:09.183774,2018-05-22 20:59:59.232926,2018-03-21 12:01:55.531787,1,vehicle,2018-03-21 12:01:46.348608,None,,0,childTURN,novice,2018-03-21 12:01:46.348540,None,,0,0,0,0,0,0,0,0,0,0,0,SCREEN_MOVED,childTURN,missionMODE,,,,,,0,False,True,False,False,False,False,
19,1521648115,632070779,0:00:09.285067,2018-05-22 20:59:59.334197,2018-03-21 12:01:55.633064,1,vehicle,2018-03-21 12:01:46.348608,None,,0,childTURN,novice,2018-03-21 12:01:46.348540,None,,0,0,0,0,0,0,0,0,0,0,0,SCREEN_MOVED,childTURN,missionMODE,,,,,,0,False,False,True,False,False,False,
