header seq inter ros topic,header secs inter ros topic,header nsecs inter ros topic,elapsedTimeFromGameStart,currentLocalTime,orig_local_time2,gameTask,vocab,taskStartTime,taskEndTime,taskDuration,taskTurnIndex,whoseTurn,robotRole,turnStartTime,turnEndTime,turnDuration,numCollectedObjectsForTask,numChildCollectedObjectsForTask,numTotalAttemptsForTask,numChildTotalAttemptsForTask,numChildClickCancelForTurn,numHintButtonPressedForTask,numQsAskeddForTask,numPositiveAnswerForTask,numNegativeAnswerForTask,numOtherAnswerForTask,numNoAnswerAttempt1ForTask,gameStateTrigger,currentInteractionState,currentGameState,robotPhysicalBehavior,robotVirtualBehavior,robotClickedObj,clickedRightObject,clickedObjName,numTouchAbsenceAlertPerTask,objectWordPronounced,isDraggin,pointerClick,onPinch,isScalingUp,isScalingDown,maxElapsedTimeReached
1,1521655565,936726570,,2018-05-26 20:11:38.771156,,0,,None,None,,0,childTURN,novice,None,None,,0,0,0,0,0,0,0,0,0,0,0,CONNECT_BUTTON_PRESSED,childTURN,gameSTART,,,,,,0,False,,,,,,
2,1521655567,144168615,,2018-05-26 20:11:39.969729,,0,,None,None,,0,childTURN,novice,None,None,,0,0,0,0,0,0,0,0,0,0,0,START_BUTTON_PRESSED,childTURN,gameSTART,,,,,,0,False,,,,,,
3,1521655569,977481126,0:00:01.002751,2018-05-26 20:11:42.802737,2018-03-21 14:06:09.977902,1,gigantic,2018-03-21 14:06:08.975480,None,,0,childTURN,novice,2018-03-21 14:06:08.975422,None,,0,0,0,0,0,0,0,0,0,0,0,START_BUTTON_PRESSED,childTURN,explorationMODE,ROBOT_EXCITED,,,,,0,False,,,,,,
4,1521655580,432502269,0:00:11.459661,2018-05-26 20:11:53.259641,2018-03-21 14:06:20.434805,1,gigantic,2018-03-21 14:06:08.975480,None,,0,childTURN,novice,2018-03-21 14:06:08.975422,None,,0,0,0,0,0,0,0,0,0,0,0,SCREEN_MOVED,childTURN,missionMODE,,,,,,0,False,True,False,False,False,False,
5,1521655580,538327932,0:00:11.614355,2018-05-26 20:11:53.414345,2018-03-21 14:06:20.589509,1,gigantic,2018-03-21 14:06:08.975480,None,,0,childTURN,novice,2018-03-21 14:06:08.975422,None,,0,0,0,0,0,0,0,0,0,0,0,SCREEN_MOVED,childTURN,missionMODE,,,,,,0,False,False,True,False,False,False,
6,1521655580,786529302,0:00:11.811595,2018-05-26 20:11:53.611582,2018-03-21 14:06:20.786743,1,gigantic,2018-03-21 14:06:08.975480,None,,0,childTURN,novice,2018-03-21 14:06:08.975422,None,,0,0,0,0,0,0,0,0,0,0,0,SCREEN_MOVED,childTURN,missionMODE,ROBOT_ENCOURAGING,,,,,0,False,,,,,,
7,1521655580,820173025,0:00:11.857524,2018-05-26 20:11:53.657549,2018-03-21 14:06:20.832706,1,gigantic,2018-03-21 14:06:08.975480,None,,0,childTURN,novice,2018-03-21 14:06:08.975422,None,,0,0,0,0,0,0,0,0,0,0,0,SCREEN_MOVED,childTURN,missionMODE,,,,,,0,False,False,False,False,False,False,
11,1521655581,338114023,0:00:12.366619,2018-05-26 20:11:54.166564,2018-03-21 14:06:21.341736,1,gigantic,2018-03-21 14:06:08.975480,None,,0,childTURN,novice,2018-03-21 14:06:08.975422,None,,0,0,0,0,0,0,0,0,0,0,0,OBJECT_CLICKED,childTURN,missionMODE,,,,False,,0,False,,,,,,
12,1521655583,961379051,0:00:14.987192,2018-05-26 20:11:56.787182,2018-03-21 14:06:23.962346,1,gigantic,2018-03-21 14:06:08.975480,None,,0,childTURN,novice,2018-03-21 14:06:08.975422,None,,0,0,0,0,0,0,0,0,0,0,0,SAY_BUTTON_PRESSED,childTURN,pronunciationPANEL,,,,False,bathtub,0,False,,,,,,
14,1521655584,464363574,0:00:15.491036,2018-05-26 20:11:57.291434,2018-03-21 14:06:24.466548,1,gigantic,2018-03-21 14:06:08.975480,None,,0,childTURN,novice,2018-03-21 14:06:08.975422,None,,0,0,0,0,0,0,0,0,0,0,0,SAY_BUTTON_PRESSED,childTURN,pronunciationPANEL,,,,False,,0,False,,,,,,
15,1521655589,617623805,0:00:20.643098,2018-05-26 20:12:02.443071,2018-03-21 14:06:29.618235,1,gigantic,2018-03-21 14:06:08.975480,None,,0,childTURN,novice,2018-03-21 14:06:08.975422,None,,0,0,0,0,0,0,0,0,0,0,0,SAY_BUTTON_PRESSED,childTURN,pronunciationRESULT,,,,False,,0,False,False,False,False,False,False,
16,1521655589,819589614,0:00:20.845343,2018-05-26 20:12:02.645326,2018-03-21 14:06:29.820487,1,gigantic,2018-03-21 14:06:08.975480,None,,0,childTURN,novice,2018-03-21 14:06:08.975422,None,,0,0,0,0,0,0,0,0,0,0,0,SAY_BUTTON_PRESSED,childTURN,pronunciationRESULT,,,,False,,0,False,False,False,False,False,False,
17,1521655589,892446994,0:00:20.917527,2018-05-26 20:12:02.717473,2018-03-21 14:06:29.892648,1,gigantic,2018-03-21 14:06:08.975480,None,,0,childTURN,novice,2018-03-21 14:06:08.975422,None,,0,0,0,0,0,0,0,0,0,0,0,NONTARGET_OBJECT_COLLECTED,childTURN,pronunciationRESULT,,,,False,bathtub,0,False,,,,,,
18,1521655590,393690347,0:00:21.418900,2018-05-26 20:12:03.218856,2018-03-21 14:06:30.394025,1,gigantic,2018-03-21 14:06:08.975480,None,,0,childTURN,novice,2018-03-21 14:06:08.975422,None,,0,0,0,0,0,0,0,0,0,0,0,NONTARGET_OBJECT_COLLECTED,childTURN,pronunciationRESULT,ROBOT_SAD,,,False,,0,False,,,,,,
22,1521655590,897240877,0:00:21.931376,2018-05-26 20:12:03.731364,2018-03-21 14:06:30.906528,1,gigantic,2018-03-21 14:06:08.975480,None,,1,robotTURN,novice,2018-03-21 14:06:30.897202,None,,0,0,1,1,0,0,0,0,0,0,0,NONTARGET_OBJECT_COLLECTED,robotTURN,pronunciationRESULT,,,,False,,0,False,,,,,,
23,1521655592,482414245,0:00:23.516155,2018-05-26 20:12:05.316113,2018-03-21 14:06:32.491280,1,gigantic,2018-03-21 14:06:08.975480,None,,1,robotTURN,EXPERT,2018-03-21 14:06:30.897202,None,,0,0,1,1,0,0,0,0,0,0,0,NONTARGET_OBJECT_COLLECTED,robotTURN,pronunciationRESULT,ROBOT_SILENT_INTERESTED,,,False,,0,False,,,,,,
24,1521655592,988939762,0:00:24.015441,2018-05-26 20:12:05.815658,2018-03-21 14:06:32.990812,1,gigantic,2018-03-21 14:06:08.975480,None,,1,robotTURN,EXPERT,2018-03-21 14:06:30.897202,None,,0,0,1,1,0,0,0,0,0,0,0,NONTARGET_OBJECT_COLLECTED,robotTURN,pronunciationRESULT,ROBOT_CUSTOM_SPEECH,,,False,,0,False,,,,,,
25,1521655595,989945173,0:00:27.016011,2018-05-26 20:12:08.815979,2018-03-21 14:06:35.991145,1,gigantic,2018-03-21 14:06:08.975480,None,,1,robotTURN,EXPERT,2018-03-21 14:06:30.897202,None,,0,0,1,1,0,0,0,0,0,0,0,NONTARGET_OBJECT_COLLECTED,robotTURN,pronunciationRESULT,,VIRTUALLY_EXPLORE,,False,,0,False,,,,,,
26,1521655600,366601228,0:00:31.393113,2018-05-26 20:12:13.193095,2018-03-21 14:06:40.368258,1,gigantic,2018-03-21 14:06:08.975480,None,,1,robotTURN,EXPERT,2018-03-21 14:06:30.897202,None,,0,0,1,1,0,0,0,0,0,0,0,SCREEN_MOVED,robotTURN,missionMODE,,VIRTUALLY_CLICK_CORRECT_OBJ,,False,bathtub,0,False,,,,,,
27,1521655600,869232416,0:00:31.899591,2018-05-26 20:12:13.699573,2018-03-21 14:06:40.874738,1,gigantic,2018-03-21 14:06:08.975480,None,,1,robotTURN,EXPERT,2018-03-21 14:06:30.897202,None,,0,0,1,1,0,0,0,0,0,0,0,SCREEN_MOVED,robotTURN,missionMODE,KEYWORD_DEFINITION_SPEECH,VIRTUALLY_CLICK_CORRECT_OBJ,,False,,0,False,,,,,,
28,1521655604,86003541,0:00:35.114128,2018-05-26 20:12:16.914146,2018-03-21 14:06:44.089268,1,gigantic,2018-03-21 14:06:08.975480,None,,1,robotTURN,EXPERT,2018-03-21 14:06:30.897202,None,,0,0,1,1,0,0,0,0,0,0,0,SCREEN_MOVED,robotTURN,missionMODE,LOOK_AT_TABLET,VIRTUALLY_CLICK_CORRECT_OBJ,,False,,0,False,,,,,,
30,1521655604,87684869,0:00:35.115291,2018-05-26 20:12:16.915255,2018-03-21 14:06:44.090420,1,gigantic,2018-03-21 14:06:08.975480,None,,1,robotTURN,EXPERT,2018-03-21 14:06:30.897202,None,,0,0,1,1,0,0,0,0,0,0,0,SCREEN_MOVED,robotTURN,missionMODE,,VIRTUALLY_CLICK_CORRECT_OBJ,,False,,0,False,,,,,,
31,1521655612,106162786,0:00:43.146472,2018-05-26 20:12:24.946773,2018-03-21 14:06:52.121925,1,gigantic,2018-03-21 14:06:08.975480,None,,1,robotTURN,EXPERT,2018-03-21 14:06:30.897202,None,,0,0,1,1,0,0,0,0,0,0,0,OBJECT_CLICKED,robotTURN,missionMODE,,VIRTUALLY_CLICK_CORRECT_OBJ,sun,False,bathtub,0,False,,,,,,
