header seq inter ros topic,header secs inter ros topic,header nsecs inter ros topic,elapsedTimeFromGameStart,currentLocalTime,orig_local_time2,gameTask,vocab,taskStartTime,taskEndTime,taskDuration,taskTurnIndex,whoseTurn,robotRole,turnStartTime,turnEndTime,turnDuration,numCollectedObjectsForTask,numChildCollectedObjectsForTask,numTotalAttemptsForTask,numChildTotalAttemptsForTask,numChildClickCancelForTurn,numHintButtonPressedForTask,numQsAskeddForTask,numPositiveAnswerForTask,numNegativeAnswerForTask,numOtherAnswerForTask,numNoAnswerAttempt1ForTask,gameStateTrigger,currentInteractionState,currentGameState,robotPhysicalBehavior,robotVirtualBehavior,robotClickedObj,clickedRightObject,clickedObjName,numTouchAbsenceAlertPerTask,objectWordPronounced,isDraggin,pointerClick,onPinch,isScalingUp,isScalingDown,maxElapsedTimeReached
1,1522775775,183476924,,2018-05-19 19:37:22.866587,,0,,None,None,,0,childTURN,novice,None,None,,0,0,0,0,0,0,0,0,0,0,0,CONNECT_BUTTON_PRESSED,childTURN,gameSTART,,,,,,0,False,,,,,,
2,1522775777,48336029,,2018-05-19 19:37:24.732658,2018-04-03 13:16:16.445628,0,,None,None,,0,childTURN,novice,None,None,,0,0,0,0,0,0,0,0,0,0,0,START_BUTTON_PRESSED,childTURN,gameSTART,,,,,,0,False,,,,,,
3,1522775785,575548171,0:00:01.009047,2018-05-19 19:37:33.261152,2018-04-03 13:16:24.974211,1,vehicle,2018-04-03 13:16:24.569096,None,,0,childTURN,novice,2018-04-03 13:16:24.569049,None,,0,0,0,0,0,0,0,0,0,0,0,START_BUTTON_PRESSED,childTURN,explorationMODE,ROBOT_EXCITED,,,,,0,False,,,,,,
4,1522775792,760079860,0:00:08.191344,2018-05-19 19:37:40.443534,2018-04-03 13:16:32.156578,1,vehicle,2018-04-03 13:16:24.569096,None,,0,childTURN,novice,2018-04-03 13:16:24.569049,None,,0,0,0,0,0,0,0,0,0,0,0,SCREEN_MOVED,childTURN,missionMODE,Q_ROBOT_INDUCE_SPEECH,,,,,0,False,,,,,,
5,1522775792,776475429,0:00:08.207209,2018-05-19 19:37:40.459343,2018-04-03 13:16:32.172399,1,vehicle,2018-04-03 13:16:24.569096,None,,0,childTURN_listenChildSpeechResponse,novice,2018-04-03 13:16:24.569049,None,,0,0,0,0,0,1,0,0,0,0,0,SCREEN_MOVED,childTURN_listenChildSpeechResponse,missionMODE,,,,,,0,False,,,,,,
6,1522775792,918550491,0:00:08.349608,2018-05-19 19:37:40.601766,2018-04-03 13:16:32.314818,1,vehicle,2018-04-03 13:16:24.569096,None,,0,childTURN_listenChildSpeechResponse,novice,2018-04-03 13:16:24.569049,None,,0,0,0,0,0,1,0,0,0,0,0,SCREEN_MOVED,childTURN_listenChildSpeechResponse,missionMODE,,,,,,0,False,True,False,False,False,False,
7,1522775794,184966325,0:00:09.636464,2018-05-19 19:37:41.888611,2018-04-03 13:16:33.601661,1,vehicle,2018-04-03 13:16:24.569096,None,,0,childTURN_listenChildSpeechResponse,novice,2018-04-03 13:16:24.569049,None,,0,0,0,0,0,1,0,0,0,0,0,SCREEN_MOVED,childTURN_listenChildSpeechResponse,missionMODE,,,,,,0,False,False,True,False,False,False,
8,1522775795,650229215,0:00:11.084481,2018-05-19 19:37:43.336627,2018-04-03 13:16:35.049681,1,vehicle,2018-04-03 13:16:24.569096,None,,0,childTURN_listenChildSpeechResponse,novice,2018-04-03 13:16:24.569049,None,,0,0,0,0,0,1,0,0,0,0,0,SCREEN_MOVED,childTURN_listenChildSpeechResponse,missionMODE,,,,,,0,False,,,,,,
9,1522775798,962142229,0:00:14.393128,2018-05-19 19:37:46.645283,2018-04-03 13:16:38.358314,1,vehicle,2018-04-03 13:16:24.569096,None,,0,childTURN_parseChildSpeechResponse,novice,2018-04-03 13:16:24.569049,None,,0,0,0,0,0,1,0,0,0,0,0,SCREEN_MOVED,childTURN_parseChildSpeechResponse,missionMODE,,,,,,0,False,,,,,,
10,1522775799,383924245,0:00:14.815183,2018-05-19 19:37:47.067297,2018-04-03 13:16:38.780357,1,vehicle,2018-04-03 13:16:24.569096,None,,0,childTURN_parseChildSpeechResponse,novice,2018-04-03 13:16:24.569049,None,,0,0,0,0,0,1,1,0,0,0,0,SCREEN_MOVED,childTURN_parseChildSpeechResponse,missionMODE,,,,,,0,False,True,False,False,False,False,
