header seq inter ros topic,header secs inter ros topic,header nsecs inter ros topic,elapsedTimeFromGameStart,currentLocalTime,orig_local_time2,gameTask,vocab,taskStartTime,taskEndTime,taskDuration,taskTurnIndex,whoseTurn,robotRole,turnStartTime,turnEndTime,turnDuration,numCollectedObjectsForTask,numChildCollectedObjectsForTask,numTotalAttemptsForTask,numChildTotalAttemptsForTask,numChildClickCancelForTurn,numHintButtonPressedForTask,numQsAskeddForTask,numPositiveAnswerForTask,numNegativeAnswerForTask,numOtherAnswerForTask,numNoAnswerAttempt1ForTask,gameStateTrigger,currentInteractionState,currentGameState,robotPhysicalBehavior,robotVirtualBehavior,robotClickedObj,clickedRightObject,clickedObjName,numTouchAbsenceAlertPerTask,objectWordPronounced,isDraggin,pointerClick,onPinch,isScalingUp,isScalingDown,maxElapsedTimeReached
1,1522327024,92999696,,2018-05-26 18:16:40.960423,,0,,None,None,,0,childTURN,novice,None,None,,0,0,0,0,0,0,0,0,0,0,0,CONNECT_BUTTON_PRESSED,childTURN,gameSTART,,,,,,0,False,,,,,,
2,1522327025,301717281,,2018-05-26 18:16:42.170640,,0,,None,None,,0,childTURN,novice,None,None,,0,0,0,0,0,0,0,0,0,0,0,START_BUTTON_PRESSED,childTURN,gameSTART,,,,,,0,False,,,,,,
3,1522327048,684329032,0:00:07.638483,2018-05-26 18:17:05.550613,2018-03-29 08:37:28.683440,1,vehicle,2018-03-29 08:37:21.046554,None,,0,childTURN,novice,2018-03-29 08:37:21.046501,None,,0,0,0,0,0,0,0,0,0,0,0,SCREEN_MOVED,childTURN,missionMODE,Q_ROBOT_INDUCE_SPEECH,,,,,0,False,,,,,,
4,1522327048,698615312,0:00:07.652157,2018-05-26 18:17:05.564204,2018-03-29 08:37:28.697046,1,vehicle,2018-03-29 08:37:21.046554,None,,0,childTURN_listenChildSpeechResponse,novice,2018-03-29 08:37:21.046501,None,,0,0,0,0,0,1,0,0,0,0,0,SCREEN_MOVED,childTURN_listenChildSpeechResponse,missionMODE,,,,,,0,False,,,,,,
5,1522327048,843045949,0:00:07.798459,2018-05-26 18:17:05.710514,2018-03-29 08:37:28.843355,1,vehicle,2018-03-29 08:37:21.046554,None,,0,childTURN_listenChildSpeechResponse,novice,2018-03-29 08:37:21.046501,None,,0,0,0,0,0,1,0,0,0,0,0,SCREEN_MOVED,childTURN_listenChildSpeechResponse,missionMODE,,,,,,0,False,True,False,False,False,False,
6,1522327049,95608234,0:00:08.050163,2018-05-26 18:17:05.962268,2018-03-29 08:37:29.095091,1,vehicle,2018-03-29 08:37:21.046554,None,,0,childTURN_listenChildSpeechResponse,novice,2018-03-29 08:37:21.046501,None,,0,0,0,0,0,1,0,0,0,0,0,SCREEN_MOVED,childTURN_listenChildSpeechResponse,missionMODE,,,,,,0,False,False,True,False,False,False,
7,1522327049,579138517,0:00:08.537228,2018-05-26 18:17:06.449286,2018-03-29 08:37:29.582128,1,vehicle,2018-03-29 08:37:21.046554,None,,0,childTURN_listenChildSpeechResponse,novice,2018-03-29 08:37:21.046501,None,,0,0,0,0,0,1,0,0,0,0,0,SCREEN_MOVED,childTURN_listenChildSpeechResponse,missionMODE,,,,,,0,False,True,False,False,False,False,
8,1522327050,850628376,0:00:09.803912,2018-05-26 18:17:07.716023,2018-03-29 08:37:30.848850,1,vehicle,2018-03-29 08:37:21.046554,None,,0,childTURN_listenChildSpeechResponse,novice,2018-03-29 08:37:21.046501,None,,0,0,0,0,0,1,0,0,0,0,0,SCREEN_MOVED,childTURN_listenChildSpeechResponse,missionMODE,,,,,,0,False,False,True,False,False,False,
9,1522327051,621165990,0:00:10.581497,2018-05-26 18:17:08.493547,2018-03-29 08:37:31.626390,1,vehicle,2018-03-29 08:37:21.046554,None,,0,childTURN_listenChildSpeechResponse,novice,2018-03-29 08:37:21.046501,None,,0,0,0,0,0,1,0,0,0,0,0,SCREEN_MOVED,childTURN_listenChildSpeechResponse,missionMODE,,,,,,0,False,,,,,,
10,1522327051,784805774,0:00:10.737802,2018-05-26 18:17:08.650080,2018-03-29 08:37:31.782762,1,vehicle,2018-03-29 08:37:21.046554,None,,0,childTURN_listenChildSpeechResponse,novice,2018-03-29 08:37:21.046501,None,,0,0,0,0,0,1,0,0,0,0,0,SCREEN_MOVED,childTURN_listenChildSpeechResponse,missionMODE,,,,,,0,False,False,True,False,False,False,
11,1522327051,786827087,0:00:10.740887,2018-05-26 18:17:08.652948,2018-03-29 08:37:31.785786,1,vehicle,2018-03-29 08:37:21.046554,None,,0,childTURN_listenChildSpeechResponse,novice,2018-03-29 08:37:21.046501,None,,0,0,0,0,0,1,0,0,0,0,0,OBJECT_CLICKED,childTURN_listenChildSpeechResponse,missionMODE,,,,,,0,False,,,,,,
12,1522327051,941233396,0:00:10.894518,2018-05-26 18:17:08.806593,2018-03-29 08:37:31.939421,1,vehicle,2018-03-29 08:37:21.046554,None,,0,childTURN_listenChildSpeechResponse,novice,2018-03-29 08:37:21.046501,None,,0,0,0,0,0,1,0,0,0,0,0,OBJECT_CLICKED,childTURN_listenChildSpeechResponse,pronunciationPANEL,,,,,,0,False,False,False,False,False,False,
