header seq inter ros topic,header secs inter ros topic,header nsecs inter ros topic,elapsedTimeFromGameStart,currentLocalTime,orig_local_time2,gameTask,vocab,taskStartTime,taskEndTime,taskDuration,taskTurnIndex,whoseTurn,robotRole,turnStartTime,turnEndTime,turnDuration,numCollectedObjectsForTask,numChildCollectedObjectsForTask,numTotalAttemptsForTask,numChildTotalAttemptsForTask,numChildClickCancelForTurn,numHintButtonPressedForTask,numQsAskeddForTask,numPositiveAnswerForTask,numNegativeAnswerForTask,numOtherAnswerForTask,numNoAnswerAttempt1ForTask,gameStateTrigger,currentInteractionState,currentGameState,robotPhysicalBehavior,robotVirtualBehavior,robotClickedObj,clickedRightObject,clickedObjName,numTouchAbsenceAlertPerTask,objectWordPronounced,isDraggin,pointerClick,onPinch,isScalingUp,isScalingDown,maxElapsedTimeReached
1,1521464585,676133155,,2018-05-22 20:49:09.974644,,0,,None,None,,0,childTURN,novice,None,None,,0,0,0,0,0,0,0,0,0,0,0,CONNECT_BUTTON_PRESSED,childTURN,gameSTART,,,,,,0,False,,,,,,
2,1521464587,385929822,,2018-05-22 20:49:11.682844,2018-03-19 09:03:06.780320,0,,None,None,,0,childTURN,novice,None,None,,0,0,0,0,0,0,0,0,0,0,0,START_BUTTON_PRESSED,childTURN,gameSTART,,,,,,0,False,,,,,,
3,1521464590,352294921,0:00:01.003195,2018-05-22 20:49:14.650545,2018-03-19 09:03:09.748042,1,minuscule,2018-03-19 09:03:09.350217,None,,0,childTURN,novice,2018-03-19 09:03:09.350164,None,,0,0,0,0,0,0,0,0,0,0,0,START_BUTTON_PRESSED,childTURN,explorationMODE,ROBOT_EXCITED,,,,,0,False,,,,,,
4,1521464600,714771986,0:00:11.364134,2018-05-22 20:49:25.011503,2018-03-19 09:03:20.109001,1,minuscule,2018-03-19 09:03:09.350217,None,,0,childTURN,novice,2018-03-19 09:03:09.350164,None,,0,0,0,0,0,0,0,0,0,0,0,SCREEN_MOVED,childTURN,missionMODE,,,,,,0,False,True,False,False,False,False,
5,1521464601,59530258,0:00:11.721372,2018-05-22 20:49:25.368939,2018-03-19 09:03:20.466411,1,minuscule,2018-03-19 09:03:09.350217,None,,0,childTURN,novice,2018-03-19 09:03:09.350164,None,,0,0,0,0,0,0,0,0,0,0,0,SCREEN_MOVED,childTURN,missionMODE,ROBOT_ENCOURAGING,,,,,0,False,,,,,,
6,1521464601,62221050,0:00:11.721938,2018-05-22 20:49:25.388422,2018-03-19 09:03:20.485701,1,minuscule,2018-03-19 09:03:09.350217,None,,0,childTURN,novice,2018-03-19 09:03:09.350164,None,,0,0,0,0,0,0,0,0,0,0,0,SCREEN_MOVED,childTURN,missionMODE,Q_ROBOT_INDUCE_SPEECH,,,,,0,False,,,,,,
7,1521464601,83710432,0:00:11.741545,2018-05-22 20:49:25.388681,2018-03-19 09:03:20.486184,1,minuscule,2018-03-19 09:03:09.350217,None,,0,childTURN_listenChildSpeechResponse,novice,2018-03-19 09:03:09.350164,None,,0,0,0,0,0,1,0,0,0,0,0,SCREEN_MOVED,childTURN_listenChildSpeechResponse,missionMODE,,,,,,0,False,,,,,,
8,1521464603,55977821,0:00:13.707650,2018-05-22 20:49:27.354991,2018-03-19 09:03:22.452489,1,minuscule,2018-03-19 09:03:09.350217,None,,0,childTURN_listenChildSpeechResponse,novice,2018-03-19 09:03:09.350164,None,,0,0,0,0,0,1,0,0,0,0,0,SCREEN_MOVED,childTURN_listenChildSpeechResponse,missionMODE,,,,,,0,False,False,True,False,False,False,
9,1521464605,302962303,0:00:15.953619,2018-05-22 20:49:29.601027,2018-03-19 09:03:24.698521,1,minuscule,2018-03-19 09:03:09.350217,None,,0,childTURN_listenChildSpeechResponse,novice,2018-03-19 09:03:09.350164,None,,0,0,0,0,0,1,0,0,0,0,0,SCREEN_MOVED,childTURN_listenChildSpeechResponse,missionMODE,,,,,,0,False,,,,,,
10,1521464606,932267427,0:00:17.583585,2018-05-22 20:49:31.232045,2018-03-19 09:03:26.329529,1,minuscule,2018-03-19 09:03:09.350217,None,,0,childTURN_listenChildSpeechResponse,novice,2018-03-19 09:03:09.350164,None,,0,0,0,0,0,1,0,0,0,0,0,SCREEN_MOVED,childTURN_listenChildSpeechResponse,missionMODE,,,,,,0,False,True,False,False,False,False,
11,1521464607,169934988,0:00:17.821031,2018-05-22 20:49:31.468422,2018-03-19 09:03:26.565916,1,minuscule,2018-03-19 09:03:09.350217,None,,0,childTURN_listenChildSpeechResponse,novice,2018-03-19 09:03:09.350164,None,,0,0,0,0,0,1,0,0,0,0,0,SCREEN_MOVED,childTURN_listenChildSpeechResponse,missionMODE,,,,,,0,False,False,True,False,False,False,
12,1521464608,317685842,0:00:18.969430,2018-05-22 20:49:32.616765,2018-03-19 09:03:27.714263,1,minuscule,2018-03-19 09:03:09.350217,None,,0,childTURN_parseChildSpeechResponse,novice,2018-03-19 09:03:09.350164,None,,0,0,0,0,0,1,0,0,0,0,0,SCREEN_MOVED,childTURN_parseChildSpeechResponse,missionMODE,,,,,,0,False,,,,,,
13,1521464608,963570117,0:00:19.614374,2018-05-22 20:49:33.261785,2018-03-19 09:03:28.359280,1,minuscule,2018-03-19 09:03:09.350217,None,,0,childTURN_parseChildSpeechResponse,novice,2018-03-19 09:03:09.350164,None,,0,0,0,0,0,1,0,0,1,0,0,SCREEN_MOVED,childTURN_parseChildSpeechResponse,missionMODE,,,,,,0,False,True,False,False,False,False,
14,1521464609,640353918,0:00:20.293155,2018-05-22 20:49:33.940295,2018-03-19 09:03:29.037794,1,minuscule,2018-03-19 09:03:09.350217,None,,0,childTURN_parseChildSpeechResponse,novice,2018-03-19 09:03:09.350164,None,,0,0,0,0,0,1,0,0,1,0,0,SCREEN_MOVED,childTURN_parseChildSpeechResponse,missionMODE,,,,,,0,False,False,True,False,False,False,
15,1521464610,232318878,0:00:20.882011,2018-05-22 20:49:34.529453,2018-03-19 09:03:29.626949,1,minuscule,2018-03-19 09:03:09.350217,None,,0,childTURN,novice,2018-03-19 09:03:09.350164,None,,0,0,0,0,0,1,0,0,1,0,0,SCREEN_MOVED,childTURN,missionMODE,,,,,,0,False,True,False,False,False,False,
16,1521464610,472498893,0:00:21.122236,2018-05-22 20:49:34.769633,2018-03-19 09:03:29.867126,1,minuscule,2018-03-19 09:03:09.350217,None,,0,childTURN,novice,2018-03-19 09:03:09.350164,None,,0,0,0,0,0,1,0,0,1,0,0,SCREEN_MOVED,childTURN,missionMODE,,,,,,0,False,False,True,False,False,False,
17,1521464610,914276838,0:00:21.564017,2018-05-22 20:49:35.212005,2018-03-19 09:03:30.309057,1,minuscule,2018-03-19 09:03:09.350217,None,,0,childTURN,novice,2018-03-19 09:03:09.350164,None,,0,0,0,0,0,1,0,0,1,0,0,SCREEN_MOVED,childTURN,missionMODE,,,,,,0,False,,,,,,
18,1521464610,991054296,0:00:21.642362,2018-05-22 20:49:35.289497,2018-03-19 09:03:30.386999,1,minuscule,2018-03-19 09:03:09.350217,None,,0,childTURN,novice,2018-03-19 09:03:09.350164,None,,0,0,0,0,0,1,0,0,1,0,0,SCREEN_MOVED,childTURN,missionMODE,,,,,,0,True,True,False,False,False,False,
19,1521464611,223612546,0:00:21.873780,2018-05-22 20:49:35.520918,2018-03-19 09:03:30.618420,1,minuscule,2018-03-19 09:03:09.350217,None,,0,childTURN,novice,2018-03-19 09:03:09.350164,None,,0,0,0,0,0,1,0,0,1,0,0,SCREEN_MOVED,childTURN,missionMODE,,,,,,0,True,False,True,False,False,False,
20,1521464611,737515687,0:00:22.387819,2018-05-22 20:49:36.034956,2018-03-19 09:03:31.132458,1,minuscule,2018-03-19 09:03:09.350217,None,,0,childTURN,novice,2018-03-19 09:03:09.350164,None,,0,0,0,0,0,1,0,0,1,0,0,SCREEN_MOVED,childTURN,missionMODE,,,,,,0,True,True,False,False,False,False,
21,1521464615,22670984,0:00:25.672178,2018-05-22 20:49:39.319314,2018-03-19 09:03:34.416818,1,minuscule,2018-03-19 09:03:09.350217,None,,0,childTURN,novice,2018-03-19 09:03:09.350164,None,,0,0,0,0,0,1,0,0,1,0,0,SCREEN_MOVED,childTURN,missionMODE,,,,,,0,True,False,True,False,False,False,
22,1521464615,358355998,0:00:26.007950,2018-05-22 20:49:39.655115,2018-03-19 09:03:34.752608,1,minuscule,2018-03-19 09:03:09.350217,None,,0,childTURN,novice,2018-03-19 09:03:09.350164,None,,0,0,0,0,0,1,0,0,1,0,0,SCREEN_MOVED,childTURN,missionMODE,,,,,,0,True,True,False,False,False,False,
23,1521464616,67191839,0:00:26.717163,2018-05-22 20:49:40.364312,2018-03-19 09:03:35.461810,1,minuscule,2018-03-19 09:03:09.350217,None,,0,childTURN,novice,2018-03-19 09:03:09.350164,None,,0,0,0,0,0,1,0,0,1,0,0,OBJECT_CLICKED,childTURN,missionMODE,,,,,,0,True,,,,,,
24,1521464616,118479967,0:00:26.768314,2018-05-22 20:49:40.415471,2018-03-19 09:03:35.512967,1,minuscule,2018-03-19 09:03:09.350217,None,,0,childTURN,novice,2018-03-19 09:03:09.350164,None,,0,0,0,0,0,1,0,0,1,0,0,OBJECT_CLICKED,childTURN,pronunciationPANEL,,,,,,0,True,False,True,False,False,False,
25,1521464616,219711542,0:00:26.869286,2018-05-22 20:49:40.516449,2018-03-19 09:03:35.613941,1,minuscule,2018-03-19 09:03:09.350217,None,,0,childTURN,novice,2018-03-19 09:03:09.350164,None,,0,0,0,0,0,1,0,0,1,0,0,OBJECT_CLICKED,childTURN,pronunciationPANEL,,,,,,0,True,False,False,False,False,False,
27,1521464617,541252851,0:00:28.191532,2018-05-22 20:49:41.839110,2018-03-19 09:03:36.936594,1,minuscule,2018-03-19 09:03:09.350217,None,,0,childTURN,novice,2018-03-19 09:03:09.350164,None,,0,0,0,0,1,1,0,0,1,0,0,PRONUNCIATION_PANEL_CLOSED,childTURN,pronunciationPANEL,,,,False,,0,True,,,,,,
28,1521464618,383865118,0:00:29.035145,2018-05-22 20:49:42.682548,2018-03-19 09:03:37.780042,1,minuscule,2018-03-19 09:03:09.350217,None,,0,childTURN,novice,2018-03-19 09:03:09.350164,None,,0,0,0,0,1,1,0,0,1,0,0,PRONUNCIATION_PANEL_CLOSED,childTURN,missionMODE,,,,False,,0,True,True,False,False,False,False,
