header seq inter ros topic,header secs inter ros topic,header nsecs inter ros topic,elapsedTimeFromGameStart,currentLocalTime,orig_local_time2,gameTask,vocab,taskStartTime,taskEndTime,taskDuration,taskTurnIndex,whoseTurn,robotRole,turnStartTime,turnEndTime,turnDuration,numCollectedObjectsForTask,numChildCollectedObjectsForTask,numTotalAttemptsForTask,numChildTotalAttemptsForTask,numChildClickCancelForTurn,numHintButtonPressedForTask,numQsAskeddForTask,numPositiveAnswerForTask,numNegativeAnswerForTask,numOtherAnswerForTask,numNoAnswerAttempt1ForTask,gameStateTrigger,currentInteractionState,currentGameState,robotPhysicalBehavior,robotVirtualBehavior,robotClickedObj,clickedRightObject,clickedObjName,numTouchAbsenceAlertPerTask,objectWordPronounced,isDraggin,pointerClick,onPinch,isScalingUp,isScalingDown,maxElapsedTimeReached
1,1522773390,958390474,,2018-05-19 22:27:09.784009,,0,,None,None,,0,childTURN,novice,None,None,,0,0,0,0,0,0,0,0,0,0,0,CONNECT_BUTTON_PRESSED,childTURN,gameSTART,,,,,,0,False,,,,,,
2,1522773392,166225194,,2018-05-19 22:27:10.989698,,0,,None,None,,0,childTURN,novice,None,None,,0,0,0,0,0,0,0,0,0,0,0,START_BUTTON_PRESSED,childTURN,gameSTART,,,,,,0,False,,,,,,
3,1522773404,155968427,0:00:08.084906,2018-05-19 22:27:22.979531,2018-04-03 12:36:44.155164,1,vehicle,2018-04-03 12:36:36.070213,None,,0,childTURN,novice,2018-04-03 12:36:36.070170,None,,0,0,0,0,0,0,0,0,0,0,0,SCREEN_MOVED,childTURN,missionMODE,,,,,,0,False,True,False,False,False,False,
4,1522773404,504718303,0:00:08.434046,2018-05-19 22:27:23.328379,2018-04-03 12:36:44.504273,1,vehicle,2018-04-03 12:36:36.070213,None,,0,childTURN,novice,2018-04-03 12:36:36.070170,None,,0,0,0,0,0,0,0,0,0,0,0,SCREEN_MOVED,childTURN,missionMODE,ROBOT_ENCOURAGING,,,,,0,False,,,,,,
5,1522773404,516091108,0:00:08.464225,2018-05-19 22:27:23.358779,2018-04-03 12:36:44.534666,1,vehicle,2018-04-03 12:36:36.070213,None,,0,childTURN,novice,2018-04-03 12:36:36.070170,None,,0,0,0,0,0,0,0,0,0,0,0,SCREEN_MOVED,childTURN,missionMODE,Q_ROBOT_INDUCE_SPEECH,,,,,0,False,,,,,,
6,1522773404,538062334,0:00:08.468116,2018-05-19 22:27:23.362629,2018-04-03 12:36:44.538520,1,vehicle,2018-04-03 12:36:36.070213,None,,0,childTURN_listenChildSpeechResponse,novice,2018-04-03 12:36:36.070170,None,,0,0,0,0,0,1,0,0,0,0,0,SCREEN_MOVED,childTURN_listenChildSpeechResponse,missionMODE,,,,,,0,False,,,,,,
7,1522773406,261916875,0:00:10.191223,2018-05-19 22:27:25.085566,2018-04-03 12:36:46.261452,1,vehicle,2018-04-03 12:36:36.070213,None,,0,childTURN_listenChildSpeechResponse,novice,2018-04-03 12:36:36.070170,None,,0,0,0,0,0,1,0,0,0,0,0,SCREEN_MOVED,childTURN_listenChildSpeechResponse,missionMODE,,,,,,0,False,False,True,False,False,False,
8,1522773408,471467256,0:00:12.418215,2018-05-19 22:27:27.312721,2018-04-03 12:36:48.488603,1,vehicle,2018-04-03 12:36:36.070213,None,,0,childTURN_listenChildSpeechResponse,novice,2018-04-03 12:36:36.070170,None,,0,0,0,0,0,1,0,0,0,0,0,SCREEN_MOVED,childTURN_listenChildSpeechResponse,missionMODE,,,,,,0,False,,,,,,
9,1522773410,798366546,0:00:14.727469,2018-05-19 22:27:29.622176,2018-04-03 12:36:50.798060,1,vehicle,2018-04-03 12:36:36.070213,None,,0,childTURN_parseChildSpeechResponse,novice,2018-04-03 12:36:36.070170,None,,0,0,0,0,0,1,0,0,0,0,0,SCREEN_MOVED,childTURN_parseChildSpeechResponse,missionMODE,,,,,,0,False,,,,,,
10,1522773411,400138139,0:00:15.329780,2018-05-19 22:27:30.224417,2018-04-03 12:36:51.400298,1,vehicle,2018-04-03 12:36:36.070213,None,,0,childTURN,novice,2018-04-03 12:36:36.070170,None,,0,0,0,0,0,1,1,0,0,0,0,SCREEN_MOVED,childTURN,missionMODE,,,,,,0,False,,,,,,
12,1522773414,536618471,0:00:18.465877,2018-05-19 22:27:33.360364,2018-04-03 12:36:54.536117,1,vehicle,2018-04-03 12:36:36.070213,None,,0,childTURN,novice,2018-04-03 12:36:36.070170,None,,0,0,0,0,0,1,1,0,0,0,0,OBJECT_CLICKED,childTURN,pronunciationPANEL,,,,,,0,True,True,False,False,False,False,
13,1522773414,644965887,0:00:18.584879,2018-05-19 22:27:33.479227,2018-04-03 12:36:54.655113,1,vehicle,2018-04-03 12:36:36.070213,None,,0,childTURN,novice,2018-04-03 12:36:36.070170,None,,0,0,0,0,0,1,1,0,0,0,0,OBJECT_CLICKED,childTURN,pronunciationPANEL,,,,,,0,True,False,True,False,False,False,
14,1522773414,746678829,0:00:18.676608,2018-05-19 22:27:33.570970,2018-04-03 12:36:54.746851,1,vehicle,2018-04-03 12:36:36.070213,None,,0,childTURN,novice,2018-04-03 12:36:36.070170,None,,0,0,0,0,0,1,1,0,0,0,0,OBJECT_CLICKED,childTURN,pronunciationPANEL,,,,,,0,True,False,False,False,False,False,
15,1522773416,12360572,0:00:19.942315,2018-05-19 22:27:34.836661,2018-04-03 12:36:56.012547,1,vehicle,2018-04-03 12:36:36.070213,None,,0,childTURN,novice,2018-04-03 12:36:36.070170,None,,0,0,0,0,0,1,1,0,0,0,0,SAY_BUTTON_PRESSED,childTURN,pronunciationPANEL,,,,True,car,0,True,,,,,,
17,1522773416,514550685,0:00:20.446068,2018-05-19 22:27:35.340643,2018-04-03 12:36:56.516518,1,vehicle,2018-04-03 12:36:36.070213,None,,0,childTURN,novice,2018-04-03 12:36:36.070170,None,,0,0,0,0,0,1,1,0,0,0,0,SAY_BUTTON_PRESSED,childTURN,pronunciationPANEL,,,,True,,0,True,,,,,,
18,1522773421,669350624,0:00:25.598324,2018-05-19 22:27:40.492629,2018-04-03 12:37:01.668527,1,vehicle,2018-04-03 12:36:36.070213,None,,0,childTURN,novice,2018-04-03 12:36:36.070170,None,,0,0,0,0,0,1,1,0,0,0,0,SAY_BUTTON_PRESSED,childTURN,pronunciationRESULT,,,,True,,0,True,False,False,False,False,False,
