header seq inter ros topic,header secs inter ros topic,header nsecs inter ros topic,elapsedTimeFromGameStart,currentLocalTime,orig_local_time2,gameTask,vocab,taskStartTime,taskEndTime,taskDuration,taskTurnIndex,whoseTurn,robotRole,turnStartTime,turnEndTime,turnDuration,numCollectedObjectsForTask,numChildCollectedObjectsForTask,numTotalAttemptsForTask,numChildTotalAttemptsForTask,numChildClickCancelForTurn,numHintButtonPressedForTask,numQsAskeddForTask,numPositiveAnswerForTask,numNegativeAnswerForTask,numOtherAnswerForTask,numNoAnswerAttempt1ForTask,gameStateTrigger,currentInteractionState,currentGameState,robotPhysicalBehavior,robotVirtualBehavior,robotClickedObj,clickedRightObject,clickedObjName,numTouchAbsenceAlertPerTask,objectWordPronounced,isDraggin,pointerClick,onPinch,isScalingUp,isScalingDown,maxElapsedTimeReached
1,1521463458,957806825,,2018-05-22 20:31:07.327991,,0,,None,None,,0,childTURN,novice,None,None,,0,0,0,0,0,0,0,0,0,0,0,CONNECT_BUTTON_PRESSED,childTURN,gameSTART,,,,,,0,False,,,,,,
2,1521463460,166795969,,2018-05-22 20:31:08.540468,,0,,None,None,,0,childTURN,novice,None,None,,0,0,0,0,0,0,0,0,0,0,0,START_BUTTON_PRESSED,childTURN,gameSTART,,,,,,0,False,,,,,,
3,1521463477,597632884,0:00:01.004606,2018-05-22 20:31:25.967772,2018-03-19 08:44:37.596198,1,gigantic,2018-03-19 08:44:36.595038,None,,0,childTURN,novice,2018-03-19 08:44:36.594945,None,,0,0,0,0,0,0,0,0,0,0,0,START_BUTTON_PRESSED,childTURN,explorationMODE,ROBOT_EXCITED,,,,,0,False,,,,,,
5,1521463485,265578508,0:00:08.680555,2018-05-22 20:31:33.643409,2018-03-19 08:44:45.271842,1,gigantic,2018-03-19 08:44:36.595038,None,,0,childTURN,novice,2018-03-19 08:44:36.594945,None,,0,0,0,0,0,0,0,0,0,0,0,SCREEN_MOVED,childTURN,missionMODE,ROBOT_ENCOURAGING,,,,,0,False,,,,,,
6,1521463485,287864685,0:00:08.695381,2018-05-22 20:31:33.658228,2018-03-19 08:44:45.286665,1,gigantic,2018-03-19 08:44:36.595038,None,,0,childTURN,novice,2018-03-19 08:44:36.594945,None,,0,0,0,0,0,0,0,0,0,0,0,SCREEN_MOVED,childTURN,missionMODE,Q_ROBOT_INDUCE_SPEECH,,,,,0,False,,,,,,
7,1521463485,288953304,0:00:08.695481,2018-05-22 20:31:33.658266,2018-03-19 08:44:45.286712,1,gigantic,2018-03-19 08:44:36.595038,None,,0,childTURN,novice,2018-03-19 08:44:36.594945,None,,0,0,0,0,0,0,0,0,0,0,0,SCREEN_MOVED,childTURN,missionMODE,,,,,,0,False,False,True,False,False,False,
8,1521463485,320454597,0:00:08.789421,2018-05-22 20:31:33.752485,2018-03-19 08:44:45.380919,1,gigantic,2018-03-19 08:44:36.595038,None,,0,childTURN_listenChildSpeechResponse,novice,2018-03-19 08:44:36.594945,None,,0,0,0,0,0,1,0,0,0,0,0,SCREEN_MOVED,childTURN_listenChildSpeechResponse,missionMODE,,,,,,0,False,,,,,,
9,1521463485,395052909,0:00:08.801522,2018-05-22 20:31:33.764355,2018-03-19 08:44:45.392792,1,gigantic,2018-03-19 08:44:36.595038,None,,0,childTURN_listenChildSpeechResponse,novice,2018-03-19 08:44:36.594945,None,,0,0,0,0,0,1,0,0,0,0,0,SCREEN_MOVED,childTURN_listenChildSpeechResponse,missionMODE,,,,,,0,False,False,False,False,False,False,
12,1521463489,553930521,0:00:12.961987,2018-05-22 20:31:37.925926,2018-03-19 08:44:49.553620,1,gigantic,2018-03-19 08:44:36.595038,None,,0,childTURN_listenChildSpeechResponse,novice,2018-03-19 08:44:36.594945,None,,0,0,0,0,0,1,0,0,0,0,0,OBJECT_CLICKED,childTURN_listenChildSpeechResponse,missionMODE,,,,False,,0,False,,,,,,
13,1521463494,202748298,0:00:17.611004,2018-05-22 20:31:42.574092,2018-03-19 08:44:54.202524,1,gigantic,2018-03-19 08:44:36.595038,None,,0,childTURN_parseChildSpeechResponse,novice,2018-03-19 08:44:36.594945,None,,0,0,0,0,0,1,0,0,0,0,0,OBJECT_CLICKED,childTURN_parseChildSpeechResponse,pronunciationPANEL,,,,False,,0,False,,,,,,
14,1521463496,754779815,0:00:20.160855,2018-05-22 20:31:45.123903,2018-03-19 08:44:56.752334,1,gigantic,2018-03-19 08:44:36.595038,None,,0,childTURN,novice,2018-03-19 08:44:36.594945,None,,0,0,0,0,0,1,0,0,1,0,0,OBJECT_CLICKED,childTURN,pronunciationPANEL,,,,False,,0,False,,,,,,
15,1521463507,628899574,0:00:31.038146,2018-05-22 20:31:56.001010,2018-03-19 08:45:07.629444,1,gigantic,2018-03-19 08:44:36.595038,None,,0,childTURN,novice,2018-03-19 08:44:36.594945,None,,0,0,0,0,0,1,0,0,1,0,0,SAY_BUTTON_PRESSED,childTURN,pronunciationPANEL,,,,False,bathtub,0,False,,,,,,
17,1521463508,131203413,0:00:31.538418,2018-05-22 20:31:56.501343,2018-03-19 08:45:08.129780,1,gigantic,2018-03-19 08:44:36.595038,None,,0,childTURN,novice,2018-03-19 08:44:36.594945,None,,0,0,0,0,0,1,0,0,1,0,0,SAY_BUTTON_PRESSED,childTURN,pronunciationPANEL,,,,False,,0,False,,,,,,
18,1521463513,285749912,0:00:36.693909,2018-05-22 20:32:01.656833,2018-03-19 08:45:13.285261,1,gigantic,2018-03-19 08:44:36.595038,None,,0,childTURN,novice,2018-03-19 08:44:36.594945,None,,0,0,0,0,0,1,0,0,1,0,0,SAY_BUTTON_PRESSED,childTURN,pronunciationRESULT,,,,False,,0,False,False,False,False,False,False,
19,1521463513,487283468,0:00:36.893637,2018-05-22 20:32:01.856463,2018-03-19 08:45:13.484902,1,gigantic,2018-03-19 08:44:36.595038,None,,0,childTURN,novice,2018-03-19 08:44:36.594945,None,,0,0,0,0,0,1,0,0,1,0,0,SAY_BUTTON_PRESSED,childTURN,pronunciationRESULT,,,,False,,0,False,False,False,False,False,False,
20,1521463513,645214557,0:00:37.051887,2018-05-22 20:32:02.014749,2018-03-19 08:45:13.643186,1,gigantic,2018-03-19 08:44:36.595038,None,,0,childTURN,novice,2018-03-19 08:44:36.594945,None,,0,0,0,0,0,1,0,0,1,0,0,NONTARGET_OBJECT_COLLECTED,childTURN,pronunciationRESULT,,,,False,bathtub,0,False,,,,,,
21,1521463514,146621465,0:00:37.560934,2018-05-22 20:32:02.523775,2018-03-19 08:45:14.152214,1,gigantic,2018-03-19 08:44:36.595038,None,,0,childTURN,novice,2018-03-19 08:44:36.594945,None,,0,0,0,0,0,1,0,0,1,0,0,NONTARGET_OBJECT_COLLECTED,childTURN,pronunciationRESULT,ROBOT_CUSTOM_SPEECH,,,False,,0,False,,,,,,
22,1521463519,538594722,0:00:42.945069,2018-05-22 20:32:07.908003,2018-03-19 08:45:19.536405,1,gigantic,2018-03-19 08:44:36.595038,None,,0,childTURN,novice,2018-03-19 08:44:36.594945,None,,0,0,0,0,0,1,0,0,1,0,0,NONTARGET_OBJECT_COLLECTED,childTURN,pronunciationRESULT,LOOK_CENTER,,,False,,0,False,,,,,,
23,1521463519,539247512,0:00:42.945825,2018-05-22 20:32:07.908670,2018-03-19 08:45:19.537107,1,gigantic,2018-03-19 08:44:36.595038,None,,0,childTURN,novice,2018-03-19 08:44:36.594945,None,,0,0,1,1,0,1,0,0,1,0,0,NONTARGET_OBJECT_COLLECTED,childTURN,pronunciationRESULT,,,,False,,0,False,,,,,,
24,1521463519,539704084,0:00:42.946092,2018-05-22 20:32:07.908903,2018-03-19 08:45:19.537346,1,gigantic,2018-03-19 08:44:36.595038,None,,0,childTURN,novice,2018-03-19 08:44:36.594945,2018-03-19 08:45:19.539659,0:00:42.944714,0,0,1,1,0,1,0,0,1,0,0,NONTARGET_OBJECT_COLLECTED,childTURN,pronunciationRESULT,,,,False,,0,False,,,,,,
25,1521463519,541134595,0:00:42.947615,2018-05-22 20:32:07.910465,2018-03-19 08:45:19.538902,1,gigantic,2018-03-19 08:44:36.595038,None,,1,robotTURN,novice,2018-03-19 08:45:19.541077,None,,0,0,1,1,0,1,0,0,1,0,0,NONTARGET_OBJECT_COLLECTED,robotTURN,pronunciationRESULT,,,,False,,0,False,,,,,,
26,1521463520,144380331,0:00:43.551328,2018-05-22 20:32:08.514161,2018-03-19 08:45:20.142598,1,gigantic,2018-03-19 08:44:36.595038,None,,1,robotTURN,NOVICE,2018-03-19 08:45:19.541077,None,,0,0,1,1,0,1,0,0,1,0,0,NONTARGET_OBJECT_COLLECTED,robotTURN,pronunciationRESULT,ROBOT_SILENT_EXCITED,,,False,,0,False,,,,,,
27,1521463523,148659706,0:00:46.558249,2018-05-22 20:32:11.521328,2018-03-19 08:45:23.149761,1,gigantic,2018-03-19 08:44:36.595038,None,,1,robotTURN,NOVICE,2018-03-19 08:45:19.541077,None,,0,0,1,1,0,1,0,0,1,0,0,NONTARGET_OBJECT_COLLECTED,robotTURN,pronunciationRESULT,,VIRTUALLY_EXPLORE,,False,,0,False,,,,,,
28,1521463527,499784469,0:00:50.906798,2018-05-22 20:32:15.872149,2018-03-19 08:45:27.500544,1,gigantic,2018-03-19 08:44:36.595038,None,,1,robotTURN,NOVICE,2018-03-19 08:45:19.541077,None,,0,0,1,1,0,1,0,0,1,0,0,SCREEN_MOVED,robotTURN,missionMODE,,VIRTUALLY_CLICK_WRONG_OBJ,,False,bathtub,0,False,,,,,,
29,1521463528,1100540,0:00:51.408208,2018-05-22 20:32:16.371038,2018-03-19 08:45:27.999476,1,gigantic,2018-03-19 08:44:36.595038,None,,1,robotTURN,NOVICE,2018-03-19 08:45:19.541077,None,,0,0,1,1,0,1,0,0,1,0,0,SCREEN_MOVED,robotTURN,missionMODE,LOOK_AT_TABLET,VIRTUALLY_CLICK_WRONG_OBJ,,False,,0,False,,,,,,
30,1521463528,1800537,0:00:51.408296,2018-05-22 20:32:16.371080,2018-03-19 08:45:27.999527,1,gigantic,2018-03-19 08:44:36.595038,None,,1,robotTURN,NOVICE,2018-03-19 08:45:19.541077,None,,0,0,1,1,0,1,0,0,1,0,0,SCREEN_MOVED,robotTURN,missionMODE,Q_ROBOT_ASK_HELP,VIRTUALLY_CLICK_WRONG_OBJ,,False,,0,False,,,,,,
31,1521463528,8218050,0:00:51.414116,2018-05-22 20:32:16.376936,2018-03-19 08:45:28.005376,1,gigantic,2018-03-19 08:44:36.595038,None,,1,robotTURN_listenChildSpeechResponse,NOVICE,2018-03-19 08:45:19.541077,None,,0,0,1,1,0,2,0,0,1,0,0,SCREEN_MOVED,robotTURN_listenChildSpeechResponse,missionMODE,,VIRTUALLY_CLICK_WRONG_OBJ,,False,,0,False,,,,,,
32,1521463531,279139280,0:00:54.686871,2018-05-22 20:32:19.649919,2018-03-19 08:45:31.278345,1,gigantic,2018-03-19 08:44:36.595038,None,,1,robotTURN_listenChildSpeechResponse,NOVICE,2018-03-19 08:45:19.541077,None,,0,0,1,1,0,2,0,0,1,0,0,SCREEN_MOVED,robotTURN_listenChildSpeechResponse,missionMODE,,VIRTUALLY_CLICK_WRONG_OBJ,,False,,0,False,,,,,,
33,1521463535,917777299,0:00:59.323442,2018-05-22 20:32:24.286555,2018-03-19 08:45:35.914966,1,gigantic,2018-03-19 08:44:36.595038,None,,1,robotTURN_parseChildSpeechResponse,NOVICE,2018-03-19 08:45:19.541077,None,,0,0,1,1,0,2,0,0,1,0,0,SCREEN_MOVED,robotTURN_parseChildSpeechResponse,missionMODE,,VIRTUALLY_CLICK_WRONG_OBJ,,False,,0,False,,,,,,
35,1521463536,532105922,0:00:59.940418,2018-05-22 20:32:24.903800,2018-03-19 08:45:36.532227,1,gigantic,2018-03-19 08:44:36.595038,None,,1,robotTURN,NOVICE,2018-03-19 08:45:19.541077,None,,0,0,1,1,0,2,0,0,2,0,0,SCREEN_MOVED,robotTURN,missionMODE,,VIRTUALLY_CLICK_WRONG_OBJ,,False,,0,False,,,,,,
36,1521463545,740929126,0:01:09.147980,2018-05-22 20:32:34.110965,2018-03-19 08:45:45.739253,1,gigantic,2018-03-19 08:44:36.595038,None,,1,robotTURN,NOVICE,2018-03-19 08:45:19.541077,None,,0,0,1,1,0,2,0,0,2,0,0,OBJECT_CLICKED,robotTURN,missionMODE,,VIRTUALLY_CLICK_WRONG_OBJ,window,False,bathtub,0,False,,,,,,
