header seq inter ros topic,header secs inter ros topic,header nsecs inter ros topic,elapsedTimeFromGameStart,currentLocalTime,orig_local_time2,gameTask,vocab,taskStartTime,taskEndTime,taskDuration,taskTurnIndex,whoseTurn,robotRole,turnStartTime,turnEndTime,turnDuration,numCollectedObjectsForTask,numChildCollectedObjectsForTask,numTotalAttemptsForTask,numChildTotalAttemptsForTask,numChildClickCancelForTurn,numHintButtonPressedForTask,numQsAskeddForTask,numPositiveAnswerForTask,numNegativeAnswerForTask,numOtherAnswerForTask,numNoAnswerAttempt1ForTask,gameStateTrigger,currentInteractionState,currentGameState,robotPhysicalBehavior,robotVirtualBehavior,robotClickedObj,clickedRightObject,clickedObjName,numTouchAbsenceAlertPerTask,objectWordPronounced,isDraggin,pointerClick,onPinch,isScalingUp,isScalingDown,maxElapsedTimeReached
1,1522258470,664536237,,2018-05-19 18:29:24.541182,,0,,None,None,,0,childTURN,novice,None,None,,0,0,0,0,0,0,0,0,0,0,0,CONNECT_BUTTON_PRESSED,childTURN,gameSTART,,,,,,0,False,,,,,,
2,1522258471,873516559,,2018-05-19 18:29:25.749427,,0,,None,None,,0,childTURN,novice,None,None,,0,0,0,0,0,0,0,0,0,0,0,START_BUTTON_PRESSED,childTURN,gameSTART,,,,,,0,False,,,,,,
3,1522258496,866725206,0:00:01.005685,2018-05-19 18:29:50.740939,2018-03-28 13:34:56.867255,1,gigantic,2018-03-28 13:34:55.860473,None,,0,childTURN,novice,2018-03-28 13:34:55.860377,None,,0,0,0,0,0,0,0,0,0,0,0,START_BUTTON_PRESSED,childTURN,explorationMODE,ROBOT_EXCITED,,,,,0,False,,,,,,
4,1522258504,185657262,0:00:08.335083,2018-05-19 18:29:58.070329,2018-03-28 13:35:04.196642,1,gigantic,2018-03-28 13:34:55.860473,None,,0,childTURN,novice,2018-03-28 13:34:55.860377,None,,0,0,0,0,0,0,0,0,0,0,0,SCREEN_MOVED,childTURN,missionMODE,Q_ROBOT_INDUCE_SPEECH,,,,,0,False,,,,,,
5,1522258504,249051332,0:00:08.387996,2018-05-19 18:29:58.123226,2018-03-28 13:35:04.249542,1,gigantic,2018-03-28 13:34:55.860473,None,,0,childTURN_listenChildSpeechResponse,novice,2018-03-28 13:34:55.860377,None,,0,0,0,0,0,1,0,0,0,0,0,SCREEN_MOVED,childTURN_listenChildSpeechResponse,missionMODE,,,,,,0,False,,,,,,
6,1522258504,299414634,0:00:08.444002,2018-05-19 18:29:58.179244,2018-03-28 13:35:04.305559,1,gigantic,2018-03-28 13:34:55.860473,None,,0,childTURN_listenChildSpeechResponse,novice,2018-03-28 13:34:55.860377,None,,0,0,0,0,0,1,0,0,0,0,0,SCREEN_MOVED,childTURN_listenChildSpeechResponse,missionMODE,,,,,,0,False,True,False,False,False,False,
7,1522258504,835934638,0:00:08.983099,2018-05-19 18:29:58.718391,2018-03-28 13:35:04.844701,1,gigantic,2018-03-28 13:34:55.860473,None,,0,childTURN_listenChildSpeechResponse,novice,2018-03-28 13:34:55.860377,None,,0,0,0,0,0,1,0,0,0,0,0,SCREEN_MOVED,childTURN_listenChildSpeechResponse,missionMODE,,,,,,0,False,False,True,False,False,False,
8,1522258505,183416604,0:00:09.330754,2018-05-19 18:29:59.066035,2018-03-28 13:35:05.192343,1,gigantic,2018-03-28 13:34:55.860473,None,,0,childTURN_listenChildSpeechResponse,novice,2018-03-28 13:34:55.860377,None,,0,0,0,0,0,1,0,0,0,0,0,SCREEN_MOVED,childTURN_listenChildSpeechResponse,missionMODE,,,,,,0,False,True,False,False,False,False,
9,1522258506,505332469,0:00:10.643991,2018-05-19 18:30:00.379306,2018-03-28 13:35:06.505620,1,gigantic,2018-03-28 13:34:55.860473,None,,0,childTURN_listenChildSpeechResponse,novice,2018-03-28 13:34:55.860377,None,,0,0,0,0,0,1,0,0,0,0,0,SCREEN_MOVED,childTURN_listenChildSpeechResponse,missionMODE,,,,,,0,False,False,True,False,False,False,
10,1522258506,911587953,0:00:11.049994,2018-05-19 18:30:00.785387,2018-03-28 13:35:06.911689,1,gigantic,2018-03-28 13:34:55.860473,None,,0,childTURN_listenChildSpeechResponse,novice,2018-03-28 13:34:55.860377,None,,0,0,0,0,0,1,0,0,0,0,0,SCREEN_MOVED,childTURN_listenChildSpeechResponse,missionMODE,,,,,,0,False,True,False,False,False,False,
