header seq inter ros topic,header secs inter ros topic,header nsecs inter ros topic,elapsedTimeFromGameStart,currentLocalTime,orig_local_time2,gameTask,vocab,taskStartTime,taskEndTime,taskDuration,taskTurnIndex,whoseTurn,robotRole,turnStartTime,turnEndTime,turnDuration,numCollectedObjectsForTask,numChildCollectedObjectsForTask,numTotalAttemptsForTask,numChildTotalAttemptsForTask,numChildClickCancelForTurn,numHintButtonPressedForTask,numQsAskeddForTask,numPositiveAnswerForTask,numNegativeAnswerForTask,numOtherAnswerForTask,numNoAnswerAttempt1ForTask,gameStateTrigger,currentInteractionState,currentGameState,robotPhysicalBehavior,robotVirtualBehavior,robotClickedObj,clickedRightObject,clickedObjName,numTouchAbsenceAlertPerTask,objectWordPronounced,isDraggin,pointerClick,onPinch,isScalingUp,isScalingDown,maxElapsedTimeReached
1,1522684631,178699016,,2018-05-19 17:16:58.040218,,0,,None,None,,0,childTURN,novice,None,None,,0,0,0,0,0,0,0,0,0,0,0,CONNECT_BUTTON_PRESSED,childTURN,gameSTART,,,,,,0,False,,,,,,
2,1522684636,187246084,,2018-05-19 17:17:03.046787,,0,,None,None,,0,childTURN,novice,None,None,,0,0,0,0,0,0,0,0,0,0,0,START_BUTTON_PRESSED,childTURN,gameSTART,,,,,,0,False,,,,,,
3,1522684658,727574825,0:00:01.006337,2018-05-19 17:17:25.585508,2018-04-02 11:57:38.728513,1,gigantic,2018-04-02 11:57:37.722806,None,,0,childTURN,novice,2018-04-02 11:57:37.722719,None,,0,0,0,0,0,0,0,0,0,0,0,START_BUTTON_PRESSED,childTURN,explorationMODE,ROBOT_EXCITED,,,,,0,False,,,,,,
4,1522684665,218492269,0:00:07.497923,2018-05-19 17:17:32.077092,2018-04-02 11:57:45.220096,1,gigantic,2018-04-02 11:57:37.722806,None,,0,childTURN,novice,2018-04-02 11:57:37.722719,None,,0,0,0,0,0,0,0,0,0,0,0,SCREEN_MOVED,childTURN,missionMODE,,,,,,0,False,True,False,False,False,False,
6,1522684665,510380268,0:00:07.808058,2018-05-19 17:17:32.387273,2018-04-02 11:57:45.530270,1,gigantic,2018-04-02 11:57:37.722806,None,,0,childTURN,novice,2018-04-02 11:57:37.722719,None,,0,0,0,0,0,0,0,0,0,0,0,SCREEN_MOVED,childTURN,missionMODE,Q_ROBOT_INDUCE_SPEECH,,,,,0,False,,,,,,
7,1522684665,552534580,0:00:07.830683,2018-05-19 17:17:32.409870,2018-04-02 11:57:45.552871,1,gigantic,2018-04-02 11:57:37.722806,None,,0,childTURN_listenChildSpeechResponse,novice,2018-04-02 11:57:37.722719,None,,0,0,0,0,0,1,0,0,0,0,0,SCREEN_MOVED,childTURN_listenChildSpeechResponse,missionMODE,,,,,,0,False,,,,,,
8,1522684667,452019929,0:00:09.756071,2018-05-19 17:17:34.335244,2018-04-02 11:57:47.478247,1,gigantic,2018-04-02 11:57:37.722806,None,,0,childTURN_listenChildSpeechResponse,novice,2018-04-02 11:57:37.722719,None,,0,0,0,0,0,1,0,0,0,0,0,SCREEN_MOVED,childTURN_listenChildSpeechResponse,missionMODE,,,,,,0,False,True,False,False,False,False,
9,1522684668,23791790,0:00:10.301885,2018-05-19 17:17:34.881095,2018-04-02 11:57:48.024092,1,gigantic,2018-04-02 11:57:37.722806,None,,0,childTURN_listenChildSpeechResponse,novice,2018-04-02 11:57:37.722719,None,,0,0,0,0,0,1,0,0,0,0,0,SCREEN_MOVED,childTURN_listenChildSpeechResponse,missionMODE,,,,,,0,False,False,True,False,False,False,
10,1522684668,126906394,0:00:10.404892,2018-05-19 17:17:34.984061,2018-04-02 11:57:48.127062,1,gigantic,2018-04-02 11:57:37.722806,None,,0,childTURN_listenChildSpeechResponse,novice,2018-04-02 11:57:37.722719,None,,0,0,0,0,0,1,0,0,0,0,0,SCREEN_MOVED,childTURN_listenChildSpeechResponse,missionMODE,,,,,,0,False,False,False,False,False,False,
15,1522684669,496516466,0:00:11.777781,2018-05-19 17:17:36.357024,2018-04-02 11:57:49.499938,1,gigantic,2018-04-02 11:57:37.722806,None,,0,childTURN_listenChildSpeechResponse,novice,2018-04-02 11:57:37.722719,None,,0,0,0,0,0,1,0,0,0,0,0,PRONUNCIATION_PANEL_CLOSED,childTURN_listenChildSpeechResponse,pronunciationPANEL,,,,False,,0,False,,,,,,
16,1522684670,593816995,0:00:12.871883,2018-05-19 17:17:37.451144,2018-04-02 11:57:50.594149,1,gigantic,2018-04-02 11:57:37.722806,None,,0,childTURN_listenChildSpeechResponse,novice,2018-04-02 11:57:37.722719,None,,0,0,0,0,0,1,0,0,0,0,0,PRONUNCIATION_PANEL_CLOSED,childTURN_listenChildSpeechResponse,missionMODE,,,,False,,0,False,True,False,False,False,False,
17,1522684671,111473083,0:00:13.389514,2018-05-19 17:17:37.968893,2018-04-02 11:57:51.111890,1,gigantic,2018-04-02 11:57:37.722806,None,,0,childTURN_listenChildSpeechResponse,novice,2018-04-02 11:57:37.722719,None,,0,0,0,0,0,1,0,0,0,0,0,PRONUNCIATION_PANEL_CLOSED,childTURN_listenChildSpeechResponse,missionMODE,,,,False,,0,False,False,True,False,False,False,
18,1522684671,895179033,0:00:14.173821,2018-05-19 17:17:38.753283,2018-04-02 11:57:51.896265,1,gigantic,2018-04-02 11:57:37.722806,None,,0,childTURN_listenChildSpeechResponse,novice,2018-04-02 11:57:37.722719,None,,0,0,0,0,0,1,0,0,0,0,0,HINT_BUTTON_PRESSED,childTURN_listenChildSpeechResponse,missionMODE,,,,False,pillow,0,False,,,,,,
19,1522684671,895573377,0:00:14.174330,2018-05-19 17:17:38.753646,2018-04-02 11:57:51.896650,1,gigantic,2018-04-02 11:57:37.722806,None,,0,childTURN_listenChildSpeechResponse,novice,2018-04-02 11:57:37.722719,None,,0,0,0,0,0,1,0,0,0,0,0,HINT_BUTTON_PRESSED,childTURN_listenChildSpeechResponse,missionMODE,,,,False,,0,False,,,,,,
20,1522684674,144518613,0:00:16.423277,2018-05-19 17:17:41.002455,2018-04-02 11:57:54.145455,1,gigantic,2018-04-02 11:57:37.722806,None,,0,childTURN_parseChildSpeechResponse,novice,2018-04-02 11:57:37.722719,None,,0,0,0,0,0,1,0,0,0,0,0,HINT_BUTTON_PRESSED,childTURN_parseChildSpeechResponse,missionMODE,,,,False,,0,False,,,,,,
21,1522684675,847722291,0:00:18.126148,2018-05-19 17:17:42.705328,2018-04-02 11:57:55.848322,1,gigantic,2018-04-02 11:57:37.722806,None,,0,childTURN,novice,2018-04-02 11:57:37.722719,None,,0,0,0,0,0,1,0,0,1,0,0,HINT_BUTTON_PRESSED,childTURN,missionMODE,,,,False,,0,False,,,,,,
22,1522684679,3376960,0:00:21.281531,2018-05-19 17:17:45.860775,2018-04-02 11:57:59.003779,1,gigantic,2018-04-02 11:57:37.722806,None,,0,childTURN,novice,2018-04-02 11:57:37.722719,None,,0,0,0,0,0,1,0,0,1,0,0,HINT_BUTTON_PRESSED,childTURN,missionMODE,,,,False,,0,False,True,False,False,False,False,
23,1522684679,104372978,0:00:21.385333,2018-05-19 17:17:45.964652,2018-04-02 11:57:59.107504,1,gigantic,2018-04-02 11:57:37.722806,None,,0,childTURN,novice,2018-04-02 11:57:37.722719,None,,0,0,0,0,0,1,0,0,1,0,0,HINT_BUTTON_PRESSED,childTURN,missionMODE,,,,False,,0,False,False,True,False,False,False,
24,1522684679,520821571,0:00:21.799852,2018-05-19 17:17:46.379034,2018-04-02 11:57:59.522035,1,gigantic,2018-04-02 11:57:37.722806,None,,0,childTURN,novice,2018-04-02 11:57:37.722719,None,,0,0,0,0,0,1,0,0,1,0,0,HINT_BUTTON_PRESSED,childTURN,missionMODE,,,,False,,0,False,True,False,False,False,False,
25,1522684679,621720314,0:00:21.900167,2018-05-19 17:17:46.479345,2018-04-02 11:57:59.622346,1,gigantic,2018-04-02 11:57:37.722806,None,,0,childTURN,novice,2018-04-02 11:57:37.722719,None,,0,0,0,0,0,1,0,0,1,0,0,HINT_BUTTON_PRESSED,childTURN,missionMODE,,,,False,,0,False,False,True,False,False,False,
26,1522684680,273892641,0:00:22.551977,2018-05-19 17:17:47.131147,2018-04-02 11:58:00.274151,1,gigantic,2018-04-02 11:57:37.722806,None,,0,childTURN,novice,2018-04-02 11:57:37.722719,None,,0,0,0,0,0,1,0,0,1,0,0,HINT_BUTTON_PRESSED,childTURN,missionMODE,,,,False,,0,False,True,False,False,False,False,
27,1522684680,721173286,0:00:22.999215,2018-05-19 17:17:47.578369,2018-04-02 11:58:00.721378,1,gigantic,2018-04-02 11:57:37.722806,None,,0,childTURN,novice,2018-04-02 11:57:37.722719,None,,0,0,0,0,0,1,0,0,1,0,0,HINT_BUTTON_PRESSED,childTURN,missionMODE,,,,False,,0,False,False,True,False,False,False,
28,1522684681,413607835,0:00:23.700723,2018-05-19 17:17:48.279899,2018-04-02 11:58:01.422902,1,gigantic,2018-04-02 11:57:37.722806,None,,0,childTURN,novice,2018-04-02 11:57:37.722719,None,,0,0,0,0,0,1,0,0,1,0,0,HINT_BUTTON_PRESSED,childTURN,missionMODE,,,,False,,0,False,False,True,False,False,False,
29,1522684682,150227546,0:00:24.428293,2018-05-19 17:17:49.007465,2018-04-02 11:58:02.150466,1,gigantic,2018-04-02 11:57:37.722806,None,,0,childTURN,novice,2018-04-02 11:57:37.722719,None,,0,0,0,0,0,1,0,0,1,0,0,HINT_BUTTON_PRESSED,childTURN,missionMODE,,,,False,,0,False,False,True,False,False,False,
30,1522684682,350340604,0:00:24.628499,2018-05-19 17:17:49.207673,2018-04-02 11:58:02.350674,1,gigantic,2018-04-02 11:57:37.722806,None,,0,childTURN,novice,2018-04-02 11:57:37.722719,None,,0,0,0,0,0,1,0,0,1,0,0,HINT_BUTTON_PRESSED,childTURN,missionMODE,,,,False,,0,False,True,False,False,False,False,
31,1522684682,463941335,0:00:24.742430,2018-05-19 17:17:49.321606,2018-04-02 11:58:02.464612,1,gigantic,2018-04-02 11:57:37.722806,None,,0,childTURN,novice,2018-04-02 11:57:37.722719,None,,0,0,0,0,0,1,0,0,1,0,0,HINT_BUTTON_PRESSED,childTURN,missionMODE,,,,False,,0,False,False,True,False,False,False,
32,1522684682,695745706,0:00:24.974286,2018-05-19 17:17:49.553587,2018-04-02 11:58:02.696589,1,gigantic,2018-04-02 11:57:37.722806,None,,0,childTURN,novice,2018-04-02 11:57:37.722719,None,,0,0,0,0,0,1,0,0,1,0,0,HINT_BUTTON_PRESSED,childTURN,missionMODE,,,,False,,0,False,True,False,False,False,False,
33,1522684682,796826362,0:00:25.076519,2018-05-19 17:17:49.656523,2018-04-02 11:58:02.799522,1,gigantic,2018-04-02 11:57:37.722806,None,,0,childTURN,novice,2018-04-02 11:57:37.722719,None,,0,0,0,0,0,1,0,0,1,0,0,HINT_BUTTON_PRESSED,childTURN,missionMODE,,,,False,,0,False,False,True,False,False,False,
34,1522684683,414435148,0:00:25.692801,2018-05-19 17:17:50.271973,2018-04-02 11:58:03.414975,1,gigantic,2018-04-02 11:57:37.722806,None,,0,childTURN,novice,2018-04-02 11:57:37.722719,None,,0,0,0,0,0,1,0,0,1,0,0,HINT_BUTTON_PRESSED,childTURN,missionMODE,,,,False,,0,False,True,False,False,False,False,
35,1522684683,515678167,0:00:25.799530,2018-05-19 17:17:50.378706,2018-04-02 11:58:03.521709,1,gigantic,2018-04-02 11:57:37.722806,None,,0,childTURN,novice,2018-04-02 11:57:37.722719,None,,0,0,0,0,0,1,0,0,1,0,0,HINT_BUTTON_PRESSED,childTURN,missionMODE,,,,False,,0,False,False,True,False,False,False,
36,1522684683,964373111,0:00:26.243871,2018-05-19 17:17:50.823047,2018-04-02 11:58:03.966050,1,gigantic,2018-04-02 11:57:37.722806,None,,0,childTURN,novice,2018-04-02 11:57:37.722719,None,,0,0,0,0,0,1,0,0,1,0,0,HINT_BUTTON_PRESSED,childTURN,missionMODE,,,,False,,0,False,True,False,False,False,False,
37,1522684684,65303802,0:00:26.344378,2018-05-19 17:17:50.923740,2018-04-02 11:58:04.066735,1,gigantic,2018-04-02 11:57:37.722806,None,,0,childTURN,novice,2018-04-02 11:57:37.722719,None,,0,0,0,0,0,1,0,0,1,0,0,HINT_BUTTON_PRESSED,childTURN,missionMODE,,,,False,,0,False,False,True,False,False,False,
