header seq inter ros topic,header secs inter ros topic,header nsecs inter ros topic,elapsedTimeFromGameStart,currentLocalTime,orig_local_time2,gameTask,vocab,taskStartTime,taskEndTime,taskDuration,taskTurnIndex,whoseTurn,robotRole,turnStartTime,turnEndTime,turnDuration,numCollectedObjectsForTask,numChildCollectedObjectsForTask,numTotalAttemptsForTask,numChildTotalAttemptsForTask,numChildClickCancelForTurn,numHintButtonPressedForTask,numQsAskeddForTask,numPositiveAnswerForTask,numNegativeAnswerForTask,numOtherAnswerForTask,numNoAnswerAttempt1ForTask,gameStateTrigger,currentInteractionState,currentGameState,robotPhysicalBehavior,robotVirtualBehavior,robotClickedObj,clickedRightObject,clickedObjName,numTouchAbsenceAlertPerTask,objectWordPronounced,isDraggin,pointerClick,onPinch,isScalingUp,isScalingDown,maxElapsedTimeReached
1,1522170307,639647722,,2018-05-25 12:02:20.143736,,0,,None,None,,0,childTURN,novice,None,None,,0,0,0,0,0,0,0,0,0,0,0,CONNECT_BUTTON_PRESSED,childTURN,gameSTART,,,,,,0,False,,,,,,
2,1522170308,848341226,,2018-05-25 12:02:21.352943,,0,,None,None,,0,childTURN,novice,None,None,,0,0,0,0,0,0,0,0,0,0,0,START_BUTTON_PRESSED,childTURN,gameSTART,,,,,,0,False,,,,,,
3,1522170311,828799962,0:00:01.003460,2018-05-25 12:02:24.333767,2018-03-27 13:05:11.827325,1,gigantic,2018-03-27 13:05:10.823571,None,,0,childTURN,novice,2018-03-27 13:05:10.823522,None,,0,0,0,0,0,0,0,0,0,0,0,START_BUTTON_PRESSED,childTURN,explorationMODE,ROBOT_EXCITED,,,,,0,False,,,,,,
4,1522170319,431101560,0:00:08.605200,2018-05-25 12:02:31.935493,2018-03-27 13:05:19.429057,1,gigantic,2018-03-27 13:05:10.823571,None,,0,childTURN,novice,2018-03-27 13:05:10.823522,None,,0,0,0,0,0,0,0,0,0,0,0,SCREEN_MOVED,childTURN,missionMODE,,,,,,0,False,True,False,False,False,False,
5,1522170319,700619697,0:00:08.876513,2018-05-25 12:02:32.206825,2018-03-27 13:05:19.700384,1,gigantic,2018-03-27 13:05:10.823571,None,,0,childTURN,novice,2018-03-27 13:05:10.823522,None,,0,0,0,0,0,0,0,0,0,0,0,SCREEN_MOVED,childTURN,missionMODE,,,,,,0,False,False,True,False,False,False,
6,1522170319,719331979,0:00:08.893985,2018-05-25 12:02:32.224289,2018-03-27 13:05:19.717848,1,gigantic,2018-03-27 13:05:10.823571,None,,0,childTURN,novice,2018-03-27 13:05:10.823522,None,,0,0,0,0,0,0,0,0,0,0,0,SCREEN_MOVED,childTURN,missionMODE,LOOK_CENTER,,,,,0,False,,,,,,
8,1522170320,226791381,0:00:09.402321,2018-05-25 12:02:32.732666,2018-03-27 13:05:20.226221,1,gigantic,2018-03-27 13:05:10.823571,None,,0,childTURN,novice,2018-03-27 13:05:10.823522,None,,0,0,0,0,0,0,0,0,0,0,0,SCREEN_MOVED,childTURN,missionMODE,,,,,,0,False,,,,,,
9,1522170324,313856601,0:00:13.488760,2018-05-25 12:02:36.819094,2018-03-27 13:05:24.312647,1,gigantic,2018-03-27 13:05:10.823571,None,,0,childTURN,novice,2018-03-27 13:05:10.823522,None,,0,0,0,0,0,0,0,0,0,0,0,SCREEN_MOVED,childTURN,missionMODE,,,,,,0,False,True,False,False,False,False,
10,1522170324,829054355,0:00:14.003945,2018-05-25 12:02:37.334237,2018-03-27 13:05:24.827803,1,gigantic,2018-03-27 13:05:10.823571,None,,0,childTURN,novice,2018-03-27 13:05:10.823522,None,,0,0,0,0,0,0,0,0,0,0,0,SCREEN_MOVED,childTURN,missionMODE,,,,,,0,False,False,True,False,False,False,
11,1522170326,92204332,0:00:15.266341,2018-05-25 12:02:38.596670,2018-03-27 13:05:26.090227,1,gigantic,2018-03-27 13:05:10.823571,None,,0,childTURN,novice,2018-03-27 13:05:10.823522,None,,0,0,0,0,0,0,0,0,0,0,0,SCREEN_MOVED,childTURN,missionMODE,,,,,,0,False,True,False,False,False,False,
12,1522170326,711264610,0:00:15.886349,2018-05-25 12:02:39.216672,2018-03-27 13:05:26.710229,1,gigantic,2018-03-27 13:05:10.823571,None,,0,childTURN,novice,2018-03-27 13:05:10.823522,None,,0,0,0,0,0,0,0,0,0,0,0,SCREEN_MOVED,childTURN,missionMODE,,,,,,0,False,False,True,False,False,False,
13,1522170327,274334907,0:00:16.448584,2018-05-25 12:02:39.778877,2018-03-27 13:05:27.272439,1,gigantic,2018-03-27 13:05:10.823571,None,,0,childTURN,novice,2018-03-27 13:05:10.823522,None,,0,0,0,0,0,0,0,0,0,0,0,OBJECT_CLICKED,childTURN,missionMODE,,,,,,0,False,,,,,,
14,1522170327,323701858,0:00:16.498015,2018-05-25 12:02:39.828315,2018-03-27 13:05:27.321876,1,gigantic,2018-03-27 13:05:10.823571,None,,0,childTURN,novice,2018-03-27 13:05:10.823522,None,,0,0,0,0,0,0,0,0,0,0,0,OBJECT_CLICKED,childTURN,pronunciationPANEL,,,,,,0,False,False,True,False,False,False,
15,1522170327,424510717,0:00:16.598643,2018-05-25 12:02:39.928939,2018-03-27 13:05:27.422500,1,gigantic,2018-03-27 13:05:10.823571,None,,0,childTURN,novice,2018-03-27 13:05:10.823522,None,,0,0,0,0,0,0,0,0,0,0,0,OBJECT_CLICKED,childTURN,pronunciationPANEL,,,,,,0,False,False,False,False,False,False,
16,1522170330,164172410,0:00:19.338742,2018-05-25 12:02:42.669040,2018-03-27 13:05:30.162601,1,gigantic,2018-03-27 13:05:10.823571,None,,0,childTURN,novice,2018-03-27 13:05:10.823522,None,,0,0,0,0,0,0,0,0,0,0,0,SAY_BUTTON_PRESSED,childTURN,pronunciationPANEL,,,,False,window,0,False,,,,,,
18,1522170330,666867494,0:00:19.842114,2018-05-25 12:02:43.172408,2018-03-27 13:05:30.665968,1,gigantic,2018-03-27 13:05:10.823571,None,,0,childTURN,novice,2018-03-27 13:05:10.823522,None,,0,0,0,0,0,0,0,0,0,0,0,SAY_BUTTON_PRESSED,childTURN,pronunciationPANEL,,,,False,,0,False,,,,,,
19,1522170335,815820693,0:00:24.990452,2018-05-25 12:02:48.320951,2018-03-27 13:05:35.814381,1,gigantic,2018-03-27 13:05:10.823571,None,,0,childTURN,novice,2018-03-27 13:05:10.823522,None,,0,0,0,0,0,0,0,0,0,0,0,SAY_BUTTON_PRESSED,childTURN,pronunciationRESULT,,,,False,,0,False,False,False,False,False,False,
