header seq inter ros topic,header secs inter ros topic,header nsecs inter ros topic,elapsedTimeFromGameStart,currentLocalTime,orig_local_time2,gameTask,vocab,taskStartTime,taskEndTime,taskDuration,taskTurnIndex,whoseTurn,robotRole,turnStartTime,turnEndTime,turnDuration,numCollectedObjectsForTask,numChildCollectedObjectsForTask,numTotalAttemptsForTask,numChildTotalAttemptsForTask,numChildClickCancelForTurn,numHintButtonPressedForTask,numQsAskeddForTask,numPositiveAnswerForTask,numNegativeAnswerForTask,numOtherAnswerForTask,numNoAnswerAttempt1ForTask,gameStateTrigger,currentInteractionState,currentGameState,robotPhysicalBehavior,robotVirtualBehavior,robotClickedObj,clickedRightObject,clickedObjName,numTouchAbsenceAlertPerTask,objectWordPronounced,isDraggin,pointerClick,onPinch,isScalingUp,isScalingDown,maxElapsedTimeReached
1,1521808471,850261449,,2018-05-23 00:53:35.590492,,0,,None,None,,0,childTURN,novice,None,None,,0,0,0,0,0,0,0,0,0,0,0,CONNECT_BUTTON_PRESSED,childTURN,gameSTART,,,,,,0,False,,,,,,
2,1521808473,558904170,,2018-05-23 00:53:37.300922,,0,,None,None,,0,childTURN,novice,None,None,,0,0,0,0,0,0,0,0,0,0,0,START_BUTTON_PRESSED,childTURN,gameSTART,,,,,,0,False,,,,,,
3,1521808479,973620653,0:00:04.801149,2018-05-23 00:53:43.715947,2018-03-23 08:34:39.976119,1,vehicle,2018-03-23 08:34:35.174702,None,,0,childTURN,novice,2018-03-23 08:34:35.174651,None,,0,0,0,0,0,0,0,0,0,0,0,SCREEN_MOVED,childTURN,missionMODE,Q_ROBOT_INDUCE_SPEECH,,,,,0,False,,,,,,
4,1521808480,8918762,0:00:04.835127,2018-05-23 00:53:43.750763,2018-03-23 08:34:40.010918,1,vehicle,2018-03-23 08:34:35.174702,None,,0,childTURN_listenChildSpeechResponse,novice,2018-03-23 08:34:35.174651,None,,0,0,0,0,0,1,0,0,0,0,0,SCREEN_MOVED,childTURN_listenChildSpeechResponse,missionMODE,,,,,,0,False,,,,,,
5,1521808480,124746561,0:00:04.966113,2018-05-23 00:53:43.880834,2018-03-23 08:34:40.141007,1,vehicle,2018-03-23 08:34:35.174702,None,,0,childTURN_listenChildSpeechResponse,novice,2018-03-23 08:34:35.174651,None,,0,0,0,0,0,1,0,0,0,0,0,SCREEN_MOVED,childTURN_listenChildSpeechResponse,missionMODE,,,,,,0,False,True,False,False,False,False,
6,1521808484,169367074,0:00:08.995538,2018-05-23 00:53:47.910472,2018-03-23 08:34:44.170431,1,vehicle,2018-03-23 08:34:35.174702,None,,0,childTURN_listenChildSpeechResponse,novice,2018-03-23 08:34:35.174651,None,,0,0,0,0,0,1,0,0,0,0,0,SCREEN_MOVED,childTURN_listenChildSpeechResponse,missionMODE,,,,,,0,False,True,False,False,False,False,
7,1521808484,281612396,0:00:09.113187,2018-05-23 00:53:48.027917,2018-03-23 08:34:44.288087,1,vehicle,2018-03-23 08:34:35.174702,None,,0,childTURN_listenChildSpeechResponse,novice,2018-03-23 08:34:35.174651,None,,0,0,0,0,0,1,0,0,0,0,0,SCREEN_MOVED,childTURN_listenChildSpeechResponse,missionMODE,,,,,,0,False,,,,,,
8,1521808485,193691492,0:00:10.024882,2018-05-23 00:53:48.939827,2018-03-23 08:34:45.199997,1,vehicle,2018-03-23 08:34:35.174702,None,,0,childTURN_listenChildSpeechResponse,novice,2018-03-23 08:34:35.174651,None,,0,0,0,0,0,1,0,0,0,0,0,SCREEN_MOVED,childTURN_listenChildSpeechResponse,missionMODE,,,,,,0,False,False,True,False,False,False,
9,1521808486,494238376,0:00:11.325842,2018-05-23 00:53:50.240802,2018-03-23 08:34:46.500970,1,vehicle,2018-03-23 08:34:35.174702,None,,0,childTURN_listenChildSpeechResponse,novice,2018-03-23 08:34:35.174651,None,,0,0,0,0,0,1,0,0,0,0,0,SCREEN_MOVED,childTURN_listenChildSpeechResponse,missionMODE,,,,,,0,False,False,True,False,False,False,
10,1521808486,600723743,0:00:11.434328,2018-05-23 00:53:50.349362,2018-03-23 08:34:46.609528,1,vehicle,2018-03-23 08:34:35.174702,None,,0,childTURN_listenChildSpeechResponse,novice,2018-03-23 08:34:35.174651,None,,0,0,0,0,0,1,0,0,0,0,0,SCREEN_MOVED,childTURN_listenChildSpeechResponse,missionMODE,,,,,,0,False,False,False,False,False,False,
11,1521808489,26587009,0:00:13.852713,2018-05-23 00:53:52.767464,2018-03-23 08:34:49.027633,1,vehicle,2018-03-23 08:34:35.174702,None,,0,childTURN_parseChildSpeechResponse,novice,2018-03-23 08:34:35.174651,None,,0,0,0,0,0,1,0,0,0,0,0,SCREEN_MOVED,childTURN_parseChildSpeechResponse,missionMODE,,,,,,0,False,,,,,,
12,1521808493,120974063,0:00:17.971601,2018-05-23 00:53:56.886372,2018-03-23 08:34:53.146546,1,vehicle,2018-03-23 08:34:35.174702,None,,0,childTURN_parseChildSpeechResponse,novice,2018-03-23 08:34:35.174651,None,,0,0,0,0,0,1,0,1,0,0,0,SCREEN_MOVED,childTURN_parseChildSpeechResponse,missionMODE,,,,,,0,False,False,False,False,False,False,
13,1521808493,346581459,0:00:18.184872,2018-05-23 00:53:57.099582,2018-03-23 08:34:53.359760,1,vehicle,2018-03-23 08:34:35.174702,None,,0,childTURN_parseChildSpeechResponse,novice,2018-03-23 08:34:35.174651,None,,1,0,0,0,0,1,0,1,0,0,0,SCREEN_MOVED,childTURN_parseChildSpeechResponse,missionMODE,,,,,,0,False,False,False,False,False,False,
14,1521808496,988489389,0:00:21.815231,2018-05-23 00:54:00.730012,2018-03-23 08:34:56.990179,1,vehicle,2018-03-23 08:34:35.174702,None,,0,childTURN,novice,2018-03-23 08:34:35.174651,None,,1,0,0,0,0,1,0,1,0,0,0,SCREEN_MOVED,childTURN,missionMODE,LOOK_CENTER,,,,,0,False,,,,,,
15,1521808497,489616394,0:00:22.316218,2018-05-23 00:54:01.231575,2018-03-23 08:34:57.491744,1,vehicle,2018-03-23 08:34:35.174702,None,,0,childTURN,novice,2018-03-23 08:34:35.174651,None,,1,0,0,0,0,1,0,1,0,0,0,SCREEN_MOVED,childTURN,missionMODE,ROBOT_ENCOURAGING,,,,,0,False,,,,,,
16,1521808497,489843368,0:00:22.316966,2018-05-23 00:54:01.231629,2018-03-23 08:34:57.491816,1,vehicle,2018-03-23 08:34:35.174702,None,,0,childTURN,novice,2018-03-23 08:34:35.174651,None,,1,0,0,0,0,1,0,1,0,0,0,SCREEN_MOVED,childTURN,missionMODE,,,,,,0,False,,,,,,
17,1521808497,490555524,0:00:22.317008,2018-05-23 00:54:01.231666,2018-03-23 08:34:57.491853,1,vehicle,2018-03-23 08:34:35.174702,None,,0,childTURN,novice,2018-03-23 08:34:35.174651,None,,1,0,0,0,0,1,0,1,0,0,0,OBJECT_CLICKED,childTURN,missionMODE,,,,,,0,False,,,,,,
18,1521808497,589050531,0:00:22.414651,2018-05-23 00:54:01.329356,2018-03-23 08:34:57.589535,1,vehicle,2018-03-23 08:34:35.174702,None,,0,childTURN,novice,2018-03-23 08:34:35.174651,None,,1,0,0,0,0,1,0,1,0,0,0,SAY_BUTTON_PRESSED,childTURN,pronunciationPANEL,,,,,,0,False,,,,,,
19,1521808497,996729373,0:00:22.823364,2018-05-23 00:54:01.738113,2018-03-23 08:34:57.998284,1,vehicle,2018-03-23 08:34:35.174702,None,,0,childTURN,novice,2018-03-23 08:34:35.174651,None,,1,0,0,0,0,1,0,1,0,0,0,SAY_BUTTON_PRESSED,childTURN,pronunciationPANEL,LOOK_CENTER,,,,,0,False,,,,,,
20,1521808497,997008562,0:00:22.823592,2018-05-23 00:54:01.738272,2018-03-23 08:34:57.998453,1,vehicle,2018-03-23 08:34:35.174702,None,,0,childTURN,novice,2018-03-23 08:34:35.174651,None,,1,0,0,0,0,1,0,1,0,0,0,SAY_BUTTON_PRESSED,childTURN,pronunciationPANEL,,,,,,0,False,,,,,,
21,1521808500,638176441,0:00:25.463893,2018-05-23 00:54:04.378613,2018-03-23 08:35:00.638785,1,vehicle,2018-03-23 08:34:35.174702,None,,0,childTURN,novice,2018-03-23 08:34:35.174651,None,,1,0,0,0,0,1,0,1,0,0,0,TARGET_OBJECT_COLLECTED,childTURN,pronunciationRESULT,ROBOT_SILENT_HAPPY_DANCE,,,,,0,False,,,,,,
22,1521808501,139755964,0:00:25.965099,2018-05-23 00:54:04.879836,2018-03-23 08:35:01.140007,1,vehicle,2018-03-23 08:34:35.174702,None,,0,childTURN,novice,2018-03-23 08:34:35.174651,None,,1,0,0,0,0,1,0,1,0,0,0,TARGET_OBJECT_COLLECTED,childTURN,pronunciationRESULT,ROBOT_CUSTOM_SPEECH,,,,,0,False,,,,,,
23,1521808501,641591072,0:00:26.467219,2018-05-23 00:54:05.381918,2018-03-23 08:35:01.642097,1,vehicle,2018-03-23 08:34:35.174702,None,,0,childTURN,novice,2018-03-23 08:34:35.174651,None,,1,0,0,0,0,1,0,1,0,0,0,TARGET_OBJECT_COLLECTED,childTURN,pronunciationRESULT,LOOK_CENTER,,,,,0,False,,,,,,
24,1521808501,742500543,0:00:26.570561,2018-05-23 00:54:05.485277,2018-03-23 08:35:01.745450,1,vehicle,2018-03-23 08:34:35.174702,None,,0,childTURN,novice,2018-03-23 08:34:35.174651,None,,1,1,1,1,0,1,0,1,0,0,0,TARGET_OBJECT_COLLECTED,childTURN,pronunciationRESULT,,,,,,0,False,,,,,,
25,1521808501,743090867,0:00:26.570768,2018-05-23 00:54:05.485444,2018-03-23 08:35:01.745624,1,vehicle,2018-03-23 08:34:35.174702,None,,0,childTURN,novice,2018-03-23 08:34:35.174651,2018-03-23 08:35:01.743068,0:00:26.568417,1,1,1,1,0,1,0,1,0,0,0,TARGET_OBJECT_COLLECTED,childTURN,pronunciationRESULT,,,,,,0,False,,,,,,
26,1521808501,743863582,0:00:26.570890,2018-05-23 00:54:05.485558,2018-03-23 08:35:01.745739,1,vehicle,2018-03-23 08:34:35.174702,None,,1,robotTURN,novice,2018-03-23 08:35:01.743835,None,,1,1,1,1,0,1,0,1,0,0,0,TARGET_OBJECT_COLLECTED,robotTURN,pronunciationRESULT,,,,,,0,False,,,,,,
27,1521808502,346692562,0:00:27.172149,2018-05-23 00:54:06.086888,2018-03-23 08:35:02.347058,1,vehicle,2018-03-23 08:34:35.174702,None,,1,robotTURN,NOVICE,2018-03-23 08:35:01.743835,None,,1,1,1,1,0,1,0,1,0,0,0,TARGET_OBJECT_COLLECTED,robotTURN,pronunciationRESULT,ROBOT_SILENT_EXCITED,,,,,0,False,,,,,,
28,1521808503,480840444,0:00:28.306647,2018-05-23 00:54:07.221335,2018-03-23 08:35:03.481517,1,vehicle,2018-03-23 08:34:35.174702,None,,1,robotTURN,NOVICE,2018-03-23 08:35:01.743835,None,,1,1,1,1,0,1,0,1,0,0,0,TARGET_OBJECT_COLLECTED,robotTURN,pronunciationRESULT,,VIRTUALLY_EXPLORE,,,,0,False,True,False,False,False,False,
29,1521808505,347913980,0:00:30.175565,2018-05-23 00:54:09.091889,2018-03-23 08:35:05.352051,1,vehicle,2018-03-23 08:34:35.174702,None,,1,robotTURN,NOVICE,2018-03-23 08:35:01.743835,None,,1,1,1,1,0,1,0,1,0,0,0,TARGET_OBJECT_COLLECTED,robotTURN,pronunciationRESULT,,VIRTUALLY_EXPLORE,,,,0,False,,,,,,
30,1521808510,333320617,0:00:35.162800,2018-05-23 00:54:14.077545,2018-03-23 08:35:10.337720,1,vehicle,2018-03-23 08:34:35.174702,None,,1,robotTURN,NOVICE,2018-03-23 08:35:01.743835,None,,1,1,1,1,0,1,0,1,0,0,0,SCREEN_MOVED,robotTURN,missionMODE,Q_ROBOT_ASK_HELP,VIRTUALLY_CLICK_CORRECT_OBJ,,,,0,False,,,,,,
31,1521808510,340662002,0:00:35.166655,2018-05-23 00:54:14.081347,2018-03-23 08:35:10.341525,1,vehicle,2018-03-23 08:34:35.174702,None,,1,robotTURN_listenChildSpeechResponse,NOVICE,2018-03-23 08:35:01.743835,None,,1,1,1,1,0,2,0,1,0,0,0,SCREEN_MOVED,robotTURN_listenChildSpeechResponse,missionMODE,,VIRTUALLY_CLICK_CORRECT_OBJ,,,,0,False,,,,,,
32,1521808516,193546772,0:00:41.020636,2018-05-23 00:54:19.935343,2018-03-23 08:35:16.195522,1,vehicle,2018-03-23 08:34:35.174702,None,,1,robotTURN_listenChildSpeechResponse,NOVICE,2018-03-23 08:35:01.743835,None,,1,1,1,1,0,2,0,1,0,0,0,SCREEN_MOVED,robotTURN_listenChildSpeechResponse,missionMODE,,VIRTUALLY_CLICK_CORRECT_OBJ,,,,0,False,,,,,,
33,1521808520,271202087,0:00:45.096670,2018-05-23 00:54:24.012075,2018-03-23 08:35:20.272208,1,vehicle,2018-03-23 08:34:35.174702,None,,1,robotTURN_parseChildSpeechResponse,NOVICE,2018-03-23 08:35:01.743835,None,,1,1,1,1,0,2,0,1,0,0,0,SCREEN_MOVED,robotTURN_parseChildSpeechResponse,missionMODE,,VIRTUALLY_CLICK_CORRECT_OBJ,,,,0,False,,,,,,
35,1521808522,360999584,0:00:47.186353,2018-05-23 00:54:26.101080,2018-03-23 08:35:22.361245,1,vehicle,2018-03-23 08:34:35.174702,None,,1,robotTURN_childHelp,NOVICE,2018-03-23 08:35:01.743835,None,,1,1,1,1,0,2,1,1,0,0,0,SCREEN_MOVED,robotTURN_childHelp,missionMODE,,VIRTUALLY_EXPLORE,,,,0,False,,,,,,
36,1521808530,583645105,0:00:55.414406,2018-05-23 00:54:34.329321,2018-03-23 08:35:30.589495,1,vehicle,2018-03-23 08:34:35.174702,None,,1,robotTURN_childHelp,NOVICE,2018-03-23 08:35:01.743835,None,,1,1,1,1,0,2,1,1,0,0,0,SCREEN_MOVED,robotTURN_childHelp,missionMODE,,VIRTUALLY_EXPLORE,,,,0,False,True,False,False,False,False,
