header seq inter ros topic,header secs inter ros topic,header nsecs inter ros topic,elapsedTimeFromGameStart,currentLocalTime,orig_local_time2,gameTask,vocab,taskStartTime,taskEndTime,taskDuration,taskTurnIndex,whoseTurn,robotRole,turnStartTime,turnEndTime,turnDuration,numCollectedObjectsForTask,numChildCollectedObjectsForTask,numTotalAttemptsForTask,numChildTotalAttemptsForTask,numChildClickCancelForTurn,numHintButtonPressedForTask,numQsAskeddForTask,numPositiveAnswerForTask,numNegativeAnswerForTask,numOtherAnswerForTask,numNoAnswerAttempt1ForTask,gameStateTrigger,currentInteractionState,currentGameState,robotPhysicalBehavior,robotVirtualBehavior,robotClickedObj,clickedRightObject,clickedObjName,numTouchAbsenceAlertPerTask,objectWordPronounced,isDraggin,pointerClick,onPinch,isScalingUp,isScalingDown,maxElapsedTimeReached
1,1522771496,51500082,,2018-05-27 19:20:04.173328,,0,,None,None,,0,childTURN,novice,None,None,,0,0,0,0,0,0,0,0,0,0,0,CONNECT_BUTTON_PRESSED,childTURN,gameSTART,,,,,,0,False,,,,,,
2,1522771497,262992382,,2018-05-27 19:20:05.384009,,0,,None,None,,0,childTURN,novice,None,None,,0,0,0,0,0,0,0,0,0,0,0,START_BUTTON_PRESSED,childTURN,gameSTART,,,,,,0,False,,,,,,
3,1522771504,796622276,0:00:01.005335,2018-05-27 19:20:12.915224,2018-04-03 12:05:04.796317,1,vehicle,2018-04-03 12:05:03.791780,None,,0,childTURN,novice,2018-04-03 12:05:03.791736,None,,0,0,0,0,0,0,0,0,0,0,0,START_BUTTON_PRESSED,childTURN,explorationMODE,ROBOT_EXCITED,,,,,0,False,,,,,,
4,1522771508,938154458,0:00:05.147622,2018-05-27 19:20:17.057518,2018-04-03 12:05:08.938613,1,vehicle,2018-04-03 12:05:03.791780,None,,0,childTURN,novice,2018-04-03 12:05:03.791736,None,,0,0,0,0,0,0,0,0,0,0,0,SCREEN_MOVED,childTURN,missionMODE,,,,,,0,False,True,False,False,False,False,
5,1522771509,280488014,0:00:05.489842,2018-05-27 19:20:17.399739,2018-04-03 12:05:09.280832,1,vehicle,2018-04-03 12:05:03.791780,None,,0,childTURN,novice,2018-04-03 12:05:03.791736,None,,0,0,0,0,0,0,0,0,0,0,0,SCREEN_MOVED,childTURN,missionMODE,ROBOT_ENCOURAGING,,,,,0,False,,,,,,
6,1522771509,281204938,0:00:05.490867,2018-05-27 19:20:17.400746,2018-04-03 12:05:09.281841,1,vehicle,2018-04-03 12:05:03.791780,None,,0,childTURN,novice,2018-04-03 12:05:03.791736,None,,0,0,0,0,0,0,0,0,0,0,0,SCREEN_MOVED,childTURN,missionMODE,Q_ROBOT_INDUCE_SPEECH,,,,,0,False,,,,,,
7,1522771509,294528484,0:00:05.503911,2018-05-27 19:20:17.413808,2018-04-03 12:05:09.294899,1,vehicle,2018-04-03 12:05:03.791780,None,,0,childTURN_listenChildSpeechResponse,novice,2018-04-03 12:05:03.791736,None,,0,0,0,0,0,1,0,0,0,0,0,SCREEN_MOVED,childTURN_listenChildSpeechResponse,missionMODE,,,,,,0,False,,,,,,
8,1522771512,545570850,0:00:08.754565,2018-05-27 19:20:20.664603,2018-04-03 12:05:12.545670,1,vehicle,2018-04-03 12:05:03.791780,None,,0,childTURN_listenChildSpeechResponse,novice,2018-04-03 12:05:03.791736,None,,0,0,0,0,0,1,0,0,0,0,0,SCREEN_MOVED,childTURN_listenChildSpeechResponse,missionMODE,,,,,,0,False,,,,,,
9,1522771515,281610488,0:00:11.491402,2018-05-27 19:20:23.401609,2018-04-03 12:05:15.282682,1,vehicle,2018-04-03 12:05:03.791780,None,,0,childTURN_listenChildSpeechResponse,novice,2018-04-03 12:05:03.791736,None,,0,0,0,0,0,1,0,0,0,0,0,SCREEN_MOVED,childTURN_listenChildSpeechResponse,missionMODE,,,,,,0,False,True,False,False,False,False,
10,1522771515,449663639,0:00:11.662751,2018-05-27 19:20:23.572659,2018-04-03 12:05:15.453746,1,vehicle,2018-04-03 12:05:03.791780,None,,0,childTURN_listenChildSpeechResponse,novice,2018-04-03 12:05:03.791736,None,,0,0,0,0,0,1,0,0,0,0,0,SCREEN_MOVED,childTURN_listenChildSpeechResponse,missionMODE,,,,,,0,False,False,True,False,False,False,
