header seq inter ros topic,header secs inter ros topic,header nsecs inter ros topic,elapsedTimeFromGameStart,currentLocalTime,orig_local_time2,gameTask,vocab,taskStartTime,taskEndTime,taskDuration,taskTurnIndex,whoseTurn,robotRole,turnStartTime,turnEndTime,turnDuration,numCollectedObjectsForTask,numChildCollectedObjectsForTask,numTotalAttemptsForTask,numChildTotalAttemptsForTask,numChildClickCancelForTurn,numHintButtonPressedForTask,numQsAskeddForTask,numPositiveAnswerForTask,numNegativeAnswerForTask,numOtherAnswerForTask,numNoAnswerAttempt1ForTask,gameStateTrigger,currentInteractionState,currentGameState,robotPhysicalBehavior,robotVirtualBehavior,robotClickedObj,clickedRightObject,clickedObjName,numTouchAbsenceAlertPerTask,objectWordPronounced,isDraggin,pointerClick,onPinch,isScalingUp,isScalingDown,maxElapsedTimeReached
1,1521467484,961157321,,2018-05-19 23:15:48.526567,,0,,None,None,,0,childTURN,novice,None,None,,0,0,0,0,0,0,0,0,0,0,0,CONNECT_BUTTON_PRESSED,childTURN,gameSTART,,,,,,0,False,,,,,,
2,1521467486,169376373,,2018-05-19 23:15:49.733679,,0,,None,None,,0,childTURN,novice,None,None,,0,0,0,0,0,0,0,0,0,0,0,START_BUTTON_PRESSED,childTURN,gameSTART,,,,,,0,False,,,,,,
3,1521467501,550171852,0:00:00.999495,2018-05-19 23:16:05.114376,2018-03-19 09:51:41.548939,1,gigantic,2018-03-19 09:51:40.548726,None,,0,childTURN,novice,2018-03-19 09:51:40.548676,None,,0,0,0,0,0,0,0,0,0,0,0,START_BUTTON_PRESSED,childTURN,explorationMODE,ROBOT_EXCITED,,,,,0,False,,,,,,
4,1521467508,529518604,0:00:07.978652,2018-05-19 23:16:12.092962,2018-03-19 09:51:48.527533,1,gigantic,2018-03-19 09:51:40.548726,None,,0,childTURN,novice,2018-03-19 09:51:40.548676,None,,0,0,0,0,0,0,0,0,0,0,0,SCREEN_MOVED,childTURN,missionMODE,Q_ROBOT_INDUCE_SPEECH,,,,,0,False,,,,,,
5,1521467508,538473844,0:00:07.987149,2018-05-19 23:16:12.101470,2018-03-19 09:51:48.536041,1,gigantic,2018-03-19 09:51:40.548726,None,,0,childTURN_listenChildSpeechResponse,novice,2018-03-19 09:51:40.548676,None,,0,0,0,0,0,1,0,0,0,0,0,SCREEN_MOVED,childTURN_listenChildSpeechResponse,missionMODE,,,,,,0,False,,,,,,
6,1521467508,735687494,0:00:08.204197,2018-05-19 23:16:12.318830,2018-03-19 09:51:48.753273,1,gigantic,2018-03-19 09:51:40.548726,None,,0,childTURN_listenChildSpeechResponse,novice,2018-03-19 09:51:40.548676,None,,0,0,0,0,0,1,0,0,0,0,0,SCREEN_MOVED,childTURN_listenChildSpeechResponse,missionMODE,,,,,,0,False,True,False,False,False,False,
7,1521467510,648358106,0:00:10.114145,2018-05-19 23:16:14.228446,2018-03-19 09:51:50.663018,1,gigantic,2018-03-19 09:51:40.548726,None,,0,childTURN_listenChildSpeechResponse,novice,2018-03-19 09:51:40.548676,None,,0,0,0,0,0,1,0,0,0,0,0,SCREEN_MOVED,childTURN_listenChildSpeechResponse,missionMODE,,,,,,0,False,False,True,False,False,False,
8,1521467511,110441446,0:00:10.560675,2018-05-19 23:16:14.674997,2018-03-19 09:51:51.109573,1,gigantic,2018-03-19 09:51:40.548726,None,,0,childTURN_listenChildSpeechResponse,novice,2018-03-19 09:51:40.548676,None,,0,0,0,0,0,1,0,0,0,0,0,SCREEN_MOVED,childTURN_listenChildSpeechResponse,missionMODE,,,,,,0,False,False,True,False,False,False,
9,1521467512,701134443,0:00:12.150336,2018-05-19 23:16:16.264885,2018-03-19 09:51:52.699453,1,gigantic,2018-03-19 09:51:40.548726,None,,0,childTURN_listenChildSpeechResponse,novice,2018-03-19 09:51:40.548676,None,,0,0,0,0,0,1,0,0,0,0,0,SCREEN_MOVED,childTURN_listenChildSpeechResponse,missionMODE,,,,,,0,False,,,,,,
10,1521467513,37020206,0:00:12.486156,2018-05-19 23:16:16.610939,2018-03-19 09:51:53.036813,1,gigantic,2018-03-19 09:51:40.548726,None,,0,childTURN_listenChildSpeechResponse,novice,2018-03-19 09:51:40.548676,None,,0,0,0,0,0,1,0,0,0,0,0,SCREEN_MOVED,childTURN_listenChildSpeechResponse,missionMODE,,,,,,0,False,False,True,False,False,False,
