frame_number, elapsed_time (sec), localtime,emotion-1,emotion-2,emotion-3,emotion-4,emotion-5,emotion-6,emotion-7,emotion-8,emotion-9,expression-1,expression-2,expression-3,expression-4,expression-5,expression-6,expression-7,expression-8,expression-9,expression-10,expression-11,expression-12,expression-13,expression-14,expression-15,expression-16,expression-17,expression-18,expression-19,expression-20,expression-21,measurement-1,measurement-2,measurement-3,measurement-4
1,6.914138793945312e-05,2018-1-20-11-25-23-5-20-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.6662986278533936,2018-1-20-11-25-23-5-20-0,0.0018311555031687021,0.004473838023841381,0.4374161958694458,0.19300109148025513,0.6165674924850464,0.06578313559293747,0.0017136981477960944,1.4204849004745483,-0.405426025390625,92.44522094726562,3.5972638556813763e-07,1.4732000636286102e-05,1.4201563089955016e-06,99.99959564208984,0.34006935358047485,5.906198863314671e-10,8.452059319097316e-07,7.507087866542861e-05,0.00016643914568703622,79.8952407836914,0.003234033938497305,0.0062255035154521465,0.02041476033627987,0.6165674924850464,3.061910629272461,1.6037722616601968e-06,4.3293067047978084e-11,0.0007852595299482346,1.4953204896528405e-08,0.0004320782027207315,58.80031967163086,-9.477816581726074,7.130374431610107,-22.69927406311035
3,1.2491178512573242,2018-1-20-11-25-24-5-20-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1.8807625770568848,2018-1-20-11-25-25-5-20-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
