frame_number, elapsed_time (sec), localtime,emotion-1,emotion-2,emotion-3,emotion-4,emotion-5,emotion-6,emotion-7,emotion-8,emotion-9,expression-1,expression-2,expression-3,expression-4,expression-5,expression-6,expression-7,expression-8,expression-9,expression-10,expression-11,expression-12,expression-13,expression-14,expression-15,expression-16,expression-17,expression-18,expression-19,expression-20,expression-21,measurement-1,measurement-2,measurement-3,measurement-4
18,4.841818809509277,2018-1-20-9-13-40-5-20-0,0.0018234254093840718,0.004661755170673132,1.4838616847991943,0.19283436238765717,0.06855958700180054,0.00456768786534667,0.02402755804359913,0.19253268837928772,-5.8899993896484375,78.30751037597656,0.042634785175323486,2.2164550728120958e-07,4.329648017883301,24.93231773376465,6.147516978671774e-05,3.2360002677478406e-08,3.3755674166968674e-07,0.002711040433496237,0.0040846094489097595,0.09850965440273285,9.085875511169434,7.508851012971718e-06,0.00035157293314114213,0.06855958700180054,0.4823159873485565,1.554814610393862e-10,2.8936419482761266e-08,0.00035108713200315833,2.0111518097110093e-05,4.344779014587402,57.765438079833984,-15.581613540649414,-9.283526420593262,-17.670814514160156
19,5.188056945800781,2018-1-20-9-13-41-5-20-0,0.001725240726955235,0.004877282306551933,2.977926731109619,0.1958235651254654,0.8062509894371033,0.004790168721228838,0.02549806423485279,0.18138930201530457,-0.42183685302734375,97.35064697265625,0.8062509894371033,9.36243527149827e-10,2.5962446414951046e-08,0.1921960562467575,4.50537709184573e-06,6.787414380537982e-12,0.00033422853448428214,3.2733050829847343e-06,0.06747828423976898,0.00017907079018186778,0.3212875425815582,0.0010236954549327493,0.011370898224413395,2.6769791361402895e-07,0.0048682535998523235,2.6230381422465143e-08,2.293483021276188e-07,2.5735630515555386e-06,3.295366752809059e-07,98.1790542602539,52.9273681640625,-3.979984998703003,-0.7071895599365234,-24.402053833007812
20,5.521931171417236,2018-1-20-9-13-41-5-20-0,0.0003979983739554882,0.03174600750207901,4.626684665679932,0.2852276563644409,20.970651626586914,0.018371518701314926,0.1157141849398613,0.04003436490893364,-7.86175537109375,96.32456970214844,20.970651626586914,2.6905039307578704e-10,0.0001352018880425021,0.01946408487856388,1.7448863218305632e-05,4.259791686056502e-10,0.0003826144675258547,0.012937188148498535,0.005377159919589758,0.0004693129158113152,3.1375770568847656,4.679294249854138e-07,0.0001783537882147357,3.365931434018421e-06,0.010326742194592953,1.422196618250382e-07,3.87256750400411e-06,1.8513293980504386e-05,1.136865193984704e-06,97.49617767333984,50.98828125,-5.669738292694092,4.038910865783691,-17.98900604248047
21,5.753055572509766,2018-1-20-9-13-41-5-20-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,6.121453762054443,2018-1-20-9-13-42-5-20-0,0.0004958874196745455,0.02192176692187786,4.067483901977539,0.26955699920654297,17.946996688842773,0.015699658542871475,0.10082407295703888,0.05279006436467171,-8.244255065917969,50.73611068725586,17.946996688842773,2.888552508295561e-08,0.0012783340644091368,5.215239698430629e-12,1.3317376375198364,3.3607233490329236e-05,8.778598044045793e-07,0.0014116154052317142,4.6598051994806156e-05,0.0004082705418113619,4.983246803283691,1.1186527899553766e-06,0.00044595368672162294,8.706383596290834e-06,0.0006535362335853279,2.6409477413835702e-06,2.7111409508506767e-06,0.07853496819734573,3.4217541156067455e-07,0.8743470311164856,44.538818359375,-21.852767944335938,5.279112815856934,-5.826778888702393
23,6.486803770065308,2018-1-20-9-13-42-5-20-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,6.753607511520386,2018-1-20-9-13-42-5-20-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,6.987541437149048,2018-1-20-9-13-42-5-20-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,7.203606128692627,2018-1-20-9-13-43-5-20-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,7.4812400341033936,2018-1-20-9-13-43-5-20-0,1.449114552087849e-05,1.8062835931777954,44.4398078918457,0.6692540645599365,66.52351379394531,0.3819276988506317,3.413823127746582,0.001316466717980802,-31.610824584960938,36.88441467285156,66.52351379394531,3.449661534205006e-08,1.0904970169067383,4.931502428640044e-10,0.02977897785604,8.612487363279797e-06,0.007138184271752834,0.02930253930389881,0.008701431564986706,0.007413461804389954,23.617311477661133,0.00012434458767529577,0.024912245571613312,2.2493866708828136e-05,0.004118076991289854,0.0001085458425222896,0.040456075221300125,1.2390307188034058,2.0047057205374585e-06,0.2138478010892868,44.80176544189453,-24.68589210510254,-1.3280956745147705,-2.254506826400757
