frame_number, elapsed_time (sec), localtime,emotion-1,emotion-2,emotion-3,emotion-4,emotion-5,emotion-6,emotion-7,emotion-8,emotion-9,expression-1,expression-2,expression-3,expression-4,expression-5,expression-6,expression-7,expression-8,expression-9,expression-10,expression-11,expression-12,expression-13,expression-14,expression-15,expression-16,expression-17,expression-18,expression-19,expression-20,expression-21,measurement-1,measurement-2,measurement-3,measurement-4
1,3.0040740966796875e-05,2018-1-20-16-20-25-5-20-0,99.9301528930664,6.889756605232833e-07,0.0002984354505315423,0.00010746227781055495,99.96240997314453,3.18064667226281e-05,0.0009246226982213557,1.294562578201294,84.6656723022461,96.82603454589844,1.1068692629123689e-06,1.1942951459786855e-05,0.00017743952048476785,6.595316517632455e-05,51.09360122680664,2.9671129997410617e-09,5.632489774143323e-05,1.8398501197225414e-05,1.8010819985647686e-05,0.0008867252035997808,0.011893350630998611,99.96240997314453,0.034265439957380295,0.00044073464232496917,0.05862732231616974,5.881682395935059,0.0008764205849729478,0.4165729880332947,7.738374551991001e-05,7.333029270172119,44.3602409362793,4.910323143005371,9.2156982421875,2.5111141204833984
2,0.4014277458190918,2018-1-20-16-20-25-5-20-0,99.92232513427734,4.064324912178563e-07,0.0003112377889920026,0.00011568514310056344,99.37789154052734,5.2040872105862945e-05,0.0023806302342563868,2.1375489234924316,80.02606964111328,98.58094024658203,2.048675924015697e-05,3.480357918306254e-05,1.8375985746388324e-05,0.0006328006274998188,64.6952896118164,3.932190040245587e-08,8.180368240573443e-07,3.33664934260014e-06,2.734782128754887e-06,0.0009055361151695251,0.013490372337400913,99.37789154052734,0.31562063097953796,0.00019686311134137213,0.11847832053899765,0.011971746571362019,1.4831836779194418e-05,0.15904541313648224,0.00044875231105834246,0.8291825652122498,44.59537887573242,0.7955856919288635,2.3736603260040283,1.3947030305862427
3,1.078787088394165,2018-1-20-16-20-26-5-20-0,99.92520141601562,2.3782008611306082e-06,0.0003070542879868299,0.00011019242083420977,99.58605194091797,1.2352216799627058e-05,0.00013588997535407543,0.43798303604125977,92.98974609375,98.51727294921875,1.869104494289786e-06,7.979009751579724e-06,1.6539935359105584e-06,2.2448582967626862e-05,21.95795440673828,3.927413505522281e-09,1.2218764595672837e-06,7.58086025598459e-05,2.7705948014045134e-05,0.008813097141683102,0.023448433727025986,99.58605194091797,0.004731327760964632,0.00011134544911328703,9.711919784545898,0.037608157843351364,1.0390960596851073e-05,0.007171397563070059,3.656766421045177e-05,0.02185237593948841,43.93458557128906,-1.0182604789733887,-18.74703025817871,-6.281919002532959
4,1.7322354316711426,2018-1-20-16-20-26-5-20-0,99.93048095703125,5.641822554025566e-06,0.0002972838992718607,0.0001070001526386477,99.98806762695312,5.911429070692975e-06,3.184267188771628e-05,0.19743219017982483,99.76713562011719,88.6695327758789,2.70534911805953e-07,1.3657384442922194e-05,1.0043891052191611e-05,0.005115491338074207,0.6309502124786377,4.4804240070632495e-13,0.10085780173540115,0.019987469539046288,0.0003251590533182025,0.03137611970305443,0.0005312660941854119,99.98806762695312,0.011819963343441486,0.005048857536166906,0.14790524542331696,0.4345751702785492,0.003173547564074397,0.0037696147337555885,0.0004656931560020894,0.08010833710432053,41.75638961791992,11.71289348602295,2.613039255142212,-2.8416473865509033
5,2.3531839847564697,2018-1-20-16-20-27-5-20-0,0.000631759234238416,0.0008834653999656439,0.42660263180732727,0.1925707906484604,29.27021026611328,0.004103470593690872,0.027445467188954353,1.2165476083755493,16.70411491394043,94.63843536376953,2.682635580689152e-12,29.27021026611328,0.0016124072717502713,0.00033760571386665106,0.6319270730018616,32.91947937011719,1.5567893111786968e-12,6.0417127030476525e-12,7.879511487729474e-10,5.655904897139408e-05,0.01408248022198677,0.007128517609089613,7.109218586265342e-06,5.6309858337044716e-05,0.001955063082277775,2.297538270745747e-10,9.871765627167406e-09,99.84437561035156,1.3717881053310066e-08,4.689231445809128e-06,41.6694450378418,7.64595890045166,3.949483871459961,-0.8718656301498413
6,2.775944471359253,2018-1-20-16-20-28-5-20-0,0.002062733517959714,0.005190571304410696,0.4143489897251129,96.37354278564453,1.0090800523757935,0.0048341634683310986,0.028096135705709457,0.21724870800971985,4.049734592437744,98.5828628540039,3.5465745895635337e-08,0.0004305538022890687,8.599613189697266,9.66230800258927e-05,3.20701003074646,3.539162935339846e-05,0.0008783291559666395,0.21169430017471313,0.8020203709602356,9.183833753922954e-05,0.24200376868247986,0.6612851619720459,90.16068267822266,1.0090800523757935,11.112524032592773,0.00022928470571059734,1.6518250049557537e-05,19.492183685302734,3.916027708328329e-05,0.008376272395253181,40.698638916015625,-0.7887223958969116,12.663862228393555,-5.3211846351623535
7,3.2491698265075684,2018-1-20-16-20-28-5-20-0,0.0024796079378575087,0.0033742212690413,0.4084782302379608,1.190854549407959,1.6736030578613281,0.007568518165498972,0.017843762412667274,0.32417747378349304,-0.2738494873046875,98.23223114013672,3.257726177707809e-07,9.63725324254483e-06,0.00020037288777530193,3.034509973076638e-06,4.365735054016113,4.068951398039644e-09,0.00012674543540924788,8.478818017465528e-06,0.0022068878170102835,14.315886497497559,0.21731352806091309,1.6736030578613281,18.418832778930664,1.142949104309082,98.60332489013672,0.00011127877951366827,0.0001666987081989646,0.10790403187274933,6.93945330567658e-05,0.12690193951129913,40.708797454833984,-1.911932110786438,10.100606918334961,-8.105663299560547
8,3.6748530864715576,2018-1-20-16-20-28-5-20-0,86.6427230834961,3.0034909286769107e-05,0.002668153028935194,0.0014315057778730989,70.28353118896484,7.948112761368975e-05,0.00026011475711129606,0.34369686245918274,67.59101867675781,71.37036895751953,1.1649372311239858e-07,2.936764940386638e-05,0.047828927636146545,0.0012955826241523027,7.997573375701904,5.960540647720336e-07,5.610241714748554e-06,0.0009772852063179016,0.00011422249372117221,11.2146635055542,0.10767248272895813,70.28353118896484,3.454876184463501,0.4500483572483063,4.257509231567383,3.61357451765798e-05,2.1067849957034923e-05,1.339010941592278e-05,0.010322804562747478,0.0022690047044306993,40.14244842529297,-17.432798385620117,6.407616138458252,-4.002689838409424
9,4.104207515716553,2018-1-20-16-20-29-5-20-0,0.0018298202194273472,0.0043327840976417065,0.42581093311309814,0.20713835954666138,0.0022101986687630415,0.004724433179944754,0.025833651423454285,0.20133818686008453,-0.33547210693359375,97.975830078125,2.5780188934731996e-06,3.7542142194979533e-07,2.664423681686401e-10,4.320087555242935e-06,1.1250829696655273,5.539409209109891e-12,3.573897174646845e-06,4.9446034608990885e-06,1.091502888073137e-08,0.075423464179039,0.000308764458168298,0.0022101986687630415,0.6842432618141174,1.5833506040507928e-05,94.16302490234375,6.538258458022028e-05,3.5422434052634344e-07,1.723406785458792e-05,0.010754095390439034,0.020419923588633537,29.600650787353516,-2.6021933555603027,8.772844314575195,-0.5910388231277466
10,4.662290096282959,2018-1-20-16-20-29-5-20-0,99.93061828613281,6.451550234487513e-06,0.0002967734180856496,0.00010677273530745879,99.99987030029297,5.783981578133535e-06,2.7377731385058723e-05,0.19283802807331085,98.01258850097656,98.02886962890625,4.22253432219577e-09,3.35205783130732e-08,4.269472628948279e-05,9.396354805346618e-10,0.0042557804845273495,6.7261370152488405e-15,6.6109514236450195,5.896294624108123e-06,0.00789813045412302,0.027843020856380463,0.0009373793727718294,99.99987030029297,0.00012936115672346205,3.265486769876702e-09,0.0029217100236564875,0.5472068786621094,10.844133377075195,0.0009580164914950728,0.009176618419587612,0.011410965584218502,29.4028263092041,-2.4667139053344727,-1.638521671295166,0.3066418468952179
11,5.022902250289917,2018-1-20-16-20-30-5-20-0,99.93061828613281,7.845813343010377e-06,0.0002866434515453875,0.00010677049431251362,99.99998474121094,5.78554909225204e-06,2.2401405658456497e-05,0.1928684115409851,94.3830795288086,96.60700225830078,2.6891345896729035e-06,5.41656719477146e-10,0.10566943883895874,2.2406472233171826e-09,0.00010412275150883943,2.0886291828003944e-12,18.124067306518555,1.5619724536009016e-06,0.4890812635421753,0.040380384773015976,0.0024910438805818558,99.99998474121094,1.5257007362379227e-05,2.950972799453666e-08,0.012480394914746284,0.06812821328639984,13.794758796691895,0.0033796285279095173,0.0019587993156164885,0.47551482915878296,28.05722427368164,5.25532341003418,4.8206987380981445,-4.120328903198242
12,5.3774025440216064,2018-1-20-16-20-30-5-20-0,99.93061828613281,9.378843060403597e-06,0.0002967125619761646,0.0001067723278538324,99.99989318847656,5.8686146076070145e-06,1.805148713174276e-05,0.19493873417377472,90.495361328125,98.58779907226562,1.0814044799190015e-05,5.92979354507861e-09,0.0018323661061003804,7.110945261956658e-06,0.0010550480801612139,4.397741719397441e-12,29.583696365356445,6.055586254660739e-06,1.1343950033187866,0.466890811920166,0.5766820907592773,99.99989318847656,0.0001068105484591797,1.2690699691120244e-07,0.007769287098199129,0.7071381211280823,0.045028556138277054,0.027028145268559456,1.7751732457327307e-06,0.26504239439964294,28.860294342041016,0.7710053324699402,-7.798774719238281,-6.472436904907227
13,5.7276976108551025,2018-1-20-16-20-30-5-20-0,99.93061828613281,5.952432275080355e-06,0.0002900715626310557,0.00010678760736482218,99.99910736083984,5.804404281661846e-06,2.934989970526658e-05,0.19333095848560333,99.28345489501953,97.72875213623047,7.597240170298392e-08,1.082479550440496e-09,0.04509240388870239,1.3120074471295595e-10,0.0004257926775608212,1.6606917230266305e-10,1.7521268129348755,9.410971870238427e-06,0.46487119793891907,0.13589322566986084,0.0742754191160202,99.99910736083984,0.0008925814181566238,6.101771532485145e-08,0.00694124773144722,0.03382901847362518,0.05511161684989929,0.0005921488627791405,0.00011085467122029513,0.008890839293599129,28.328344345092773,3.190676689147949,-7.140080451965332,-7.309307098388672
14,5.958615064620972,2018-1-20-16-20-31-5-20-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,6.190050363540649,2018-1-20-16-20-31-5-20-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,6.5415074825286865,2018-1-20-16-20-31-5-20-0,99.9302749633789,5.949991191300796e-06,6.862990267109126e-05,0.00010731633665272966,99.97184753417969,5.847296506544808e-06,2.146451333828736e-05,0.19413447380065918,93.54376220703125,98.08961486816406,9.368826567879296e-07,4.05551592308484e-09,0.5766170024871826,5.71189817666351e-10,0.0001989860029425472,4.9126080807482264e-12,0.4279823899269104,2.1782384465041105e-06,20.337297439575195,0.3024557828903198,0.05352509766817093,99.97184753417969,0.02814488857984543,1.2413138961164805e-07,0.003512731520459056,0.021894944831728935,0.16931582987308502,0.0032599237747490406,0.0010419543832540512,0.014186176471412182,27.427888870239258,2.3071229457855225,-7.439645767211914,-4.603329658508301
17,6.9185872077941895,2018-1-20-16-20-32-5-20-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,7.2918736934661865,2018-1-20-16-20-32-5-20-0,99.93061828613281,6.1071914387866855e-06,0.00029336262377910316,0.00010677762475097552,99.99961853027344,5.797854100819677e-06,2.8712282073684037e-05,0.1931716650724411,98.88465118408203,98.73799133300781,6.741551032973803e-07,2.502575480178848e-09,0.06845861673355103,5.417231552229396e-09,5.363346645026468e-05,3.8743346638531184e-13,3.2027111053466797,9.270738701161463e-07,0.3935582935810089,0.10341672599315643,0.03185080736875534,99.99961853027344,0.00038139853859320283,6.305448607690778e-08,0.0009117526933550835,0.036288194358348846,0.0740576907992363,0.15768341720104218,0.0005377397174015641,0.16382789611816406,27.60565185546875,-0.20118644833564758,-5.5066142082214355,-6.114685535430908
