frame_number, elapsed_time (sec), localtime,emotion-1,emotion-2,emotion-3,emotion-4,emotion-5,emotion-6,emotion-7,emotion-8,emotion-9,expression-1,expression-2,expression-3,expression-4,expression-5,expression-6,expression-7,expression-8,expression-9,expression-10,expression-11,expression-12,expression-13,expression-14,expression-15,expression-16,expression-17,expression-18,expression-19,expression-20,expression-21,measurement-1,measurement-2,measurement-3,measurement-4
1,2.4080276489257812e-05,2018-1-20-10-56-13-5-20-0,0.0018290315056219697,0.00398155115544796,0.4296531081199646,94.47362518310547,0.20687563717365265,0.1349448412656784,0.0011137413093820214,2.4969334602355957,-1.0683364868164062,80.33076477050781,3.560513732736581e-06,0.0007982014794833958,6.342448614304885e-05,7.94236291318251e-12,3.2145540714263916,6.485327617156145e-07,4.0565956282989646e-07,0.0010472281137481332,0.001693634781986475,98.58335876464844,3.2478678235747793e-07,9.545554036094472e-08,85.54154205322266,0.20687563717365265,99.93287658691406,6.36860590930155e-07,7.19263989594765e-05,1.3755714789454032e-08,0.08300083130598068,1.2533796507341322e-05,52.299171447753906,14.964517593383789,5.474708557128906,-2.858424663543701
2,0.4869351387023926,2018-1-20-10-56-13-5-20-0,0.0018290732987225056,0.002651070710271597,0.7897459864616394,0.4995669722557068,14.238298416137695,0.05204525589942932,0.008504963479936123,1.4131611585617065,-11.321998596191406,86.31218719482422,2.043729182332754e-05,0.00014940669643692672,0.0002668905653990805,1.6498583979584515e-15,14.008574485778809,1.2206440942463814e-06,1.9935515638280776e-07,1.0837848094524816e-06,0.0006504968041554093,59.1824836730957,2.3645580427000823e-07,4.8832088546391095e-12,8.995990753173828,14.238298416137695,99.72976684570312,2.956369904438816e-08,9.559862519381568e-05,4.173326573209124e-08,1.3725463151931763,5.373789917939575e-06,59.642616271972656,12.79267692565918,7.48199462890625,-3.5743587017059326
3,0.9063420295715332,2018-1-20-10-56-14-5-20-0,0.0018288466380909085,0.00022133486345410347,1.2635642290115356,96.62860870361328,25.123870849609375,0.0910065621137619,1.7540065050125122,4.363254547119141,-34.48344421386719,73.63668060302734,5.7193001339328475e-06,0.0035809832625091076,0.0005047823069617152,9.925018435146676e-14,73.06713104248047,4.696186806540936e-05,4.15283466281835e-07,2.2092178824095754e-06,0.003943548072129488,16.896814346313477,2.7698069970938377e-06,5.992092932949333e-11,90.40515899658203,25.123870849609375,98.88561248779297,1.620591376649827e-07,2.0711531760753132e-05,1.1424597801124037e-07,0.7091991305351257,9.568349014443811e-06,58.182804107666016,16.864152908325195,6.483124732971191,-2.0103516578674316
4,1.3599231243133545,2018-1-20-10-56-14-5-20-0,0.001828006119467318,0.0017151436768472195,6.489095687866211,11.387271881103516,63.879249572753906,0.011276457458734512,0.1354234665632248,0.5288365483283997,-39.87215805053711,74.88361358642578,3.302659763448901e-07,0.016229383647441864,0.02826685644686222,6.837749767438228e-13,26.401376724243164,8.343782246811315e-05,1.4415880968954298e-06,0.001024957513436675,0.0119336461648345,0.8796084523200989,1.359593625238631e-06,1.834951461610057e-12,39.512664794921875,63.879249572753906,86.95826721191406,6.226217124094546e-07,0.0003606448299251497,3.15780859239112e-08,3.7950613498687744,2.2379726942745037e-06,58.261558532714844,16.537927627563477,6.298556327819824,-3.7608413696289062
5,1.7691242694854736,2018-1-20-10-56-15-5-20-0,0.001827912055887282,0.0016205962747335434,0.4236510992050171,5.531096458435059,0.01765945553779602,0.011678718961775303,0.1579051911830902,0.5558502674102783,-8.520797729492188,74.3954086303711,4.361931189578172e-07,0.01765945553779602,0.0004346911155153066,3.1253489379823307e-12,28.30122184753418,7.18731655524607e-07,9.208372648572549e-05,0.00011451502359705046,0.07953020185232162,0.029907897114753723,4.115074148103304e-07,3.3141787092461072e-09,32.1140251159668,0.012822027318179607,4.722521781921387,3.0937108022044413e-06,0.000515241117682308,3.0346126322911005e-07,4.501683235168457,1.6547129462196608e-06,57.658329010009766,16.666887283325195,6.036656856536865,-3.316599130630493
6,2.1864616870880127,2018-1-20-10-56-15-5-20-0,0.0014671667013317347,0.17049278318881989,0.39916959404945374,0.19360458850860596,6.0633955001831055,0.005582883954048157,0.02048066444694996,0.28267884254455566,-5.6685028076171875,45.865379333496094,9.664377387252898e-08,6.0633955001831055,17.322147369384766,1.7674475216722385e-09,0.13688991963863373,5.591440276475623e-05,1.0701927749323659e-05,1.0881142616271973,1.0372477769851685,0.004843581467866898,2.469817627570592e-05,1.4510305457182682e-10,0.04546189680695534,0.2392280548810959,5.997137546539307,2.182420575991273e-05,0.00038092187605798244,0.000115356502647046,99.94554901123047,2.4005254090297967e-05,55.06588363647461,22.82881736755371,6.635013580322266,1.0939421653747559
7,2.593114137649536,2018-1-20-10-56-15-5-20-0,0.0018246012041345239,0.002691778354346752,0.8186101913452148,0.19363167881965637,15.065961837768555,0.00909908302128315,0.09588174521923065,0.4210053086280823,-16.318801879882812,81.72086334228516,3.1110972486203536e-05,0.06744414567947388,8.491589546203613,0.0005253927665762603,20.792692184448242,4.0956376324174926e-05,6.307848707365338e-06,24.16118812561035,0.0008515991503372788,5.673277428286383e-06,0.000623258005362004,1.5586053281335666e-11,0.04677519202232361,15.065961837768555,7.883663654327393,5.744928421336226e-05,0.0004382253682706505,0.00019366652122698724,1.0806927680969238,0.11513634026050568,57.36244201660156,14.51225471496582,8.005989074707031,0.13317598402500153
8,2.98463773727417,2018-1-20-10-56-16-5-20-0,0.0018279870273545384,0.12645021080970764,0.7964895963668823,0.19862878322601318,14.433585166931152,0.004552233032882214,0.024133771657943726,0.19325286149978638,-7.562278747558594,87.31986236572266,0.002423423808068037,0.011683698743581772,1.0835295915603638,1.0111979613022792e-12,0.0655880719423294,7.281740295184136e-07,3.42847197316587e-05,1.241353988647461,6.016672614350682e-06,1.786239408829715e-05,1.6365307601517998e-05,4.68838970467747e-14,0.2866366505622864,14.433585166931152,1.489808201789856,1.0508615559956525e-05,0.001477523474022746,5.556727501243586e-06,98.74810791015625,0.00013358239084482193,57.972476959228516,12.352294921875,7.936600685119629,-3.2212893962860107
9,3.3938708305358887,2018-1-20-10-56-16-5-20-0,0.0018287489656358957,0.06689120829105377,0.4567410349845886,0.19354794919490814,1.61134934425354,0.004605390597134829,0.024724772199988365,0.19575394690036774,-1.994720458984375,92.29902648925781,0.0018790988251566887,0.0013164442498236895,3.5384435653686523,8.19158543080567e-13,0.42532259225845337,8.855388841766398e-06,1.0692338946682867e-05,0.2726709246635437,7.60781813369249e-06,5.456698272610083e-05,8.483249985147268e-06,1.1947443766735164e-14,0.0423719696700573,1.61134934425354,4.765927314758301,2.7804303499578964e-06,0.010029003024101257,0.001673233462497592,77.36051177978516,9.514360135653988e-05,57.09208297729492,9.581564903259277,6.132089614868164,-3.19527530670166
10,3.7702064514160156,2018-1-20-10-56-17-5-20-0,0.0018290175357833505,0.0001701555447652936,0.5230357646942139,0.21441049873828888,4.731584072113037,0.12425297498703003,15.226093292236328,7.404967308044434,-38.605628967285156,92.44810485839844,6.470781954703853e-08,0.0010194233618676662,21.510269165039062,2.1641331782173978e-10,99.27192687988281,2.160854592148098e-06,4.227094177622348e-05,14.13714599609375,0.012453585863113403,0.04617847874760628,0.0030299059581011534,7.767577553385863e-11,1.0081236362457275,4.731584072113037,6.405001163482666,4.433418143889867e-05,0.002095734002068639,0.00021030721836723387,1.912657380104065,0.008470944128930569,55.61897277832031,-9.47575569152832,6.930058479309082,-5.025182723999023
11,4.160362243652344,2018-1-20-10-56-17-5-20-0,0.0018289897125214338,0.008051806129515171,0.4679305851459503,94.90242004394531,2.275949239730835,0.11297076940536499,12.95821475982666,6.705726146697998,-57.78352355957031,91.23169708251953,2.8955742692460262e-08,0.0014437761856243014,92.30074310302734,2.0061273822702397e-11,96.45188903808594,1.9135350157739595e-06,6.2451426856569014e-06,39.548988342285156,0.07155286520719528,0.006673332303762436,0.001481036189943552,1.3330251347198896e-09,86.34431457519531,2.275949239730835,7.510563850402832,1.1529507901286706e-05,0.0002020476822508499,0.006122870370745659,36.2286376953125,0.005892190616577864,53.54682159423828,-10.288704872131348,9.269619941711426,-5.165052890777588
12,4.566726446151733,2018-1-20-10-56-17-5-20-0,0.0018290732987225056,0.00022551890288013965,0.42760762572288513,0.19330814480781555,0.12242233753204346,0.08273416757583618,7.401185512542725,4.817555904388428,-31.327774047851562,98.77110290527344,3.583823126973584e-05,0.00012011983199045062,17.10367774963379,0.03680603206157684,87.10545349121094,7.370901585090905e-05,3.851941801258363e-05,0.0018625813536345959,0.019145049154758453,0.0004665266314987093,0.0008663529297336936,5.250792856070774e-12,0.031002797186374664,0.12242233753204346,93.9740982055664,2.816400046867784e-05,3.6659708712249994e-05,0.006061445455998182,2.3121753400801026e-08,3.0844836235046387,54.77689743041992,0.06655487418174744,8.567092895507812,-0.4631269574165344
13,4.961416959762573,2018-1-20-10-56-18-5-20-0,0.0016460897168144584,0.10830588638782501,0.44686025381088257,98.50287628173828,2.8989341259002686,0.0051454040221869946,0.02162725292146206,0.23590680956840515,-0.9871368408203125,44.538551330566406,3.655865887797205e-10,2.8989341259002686,0.002461471129208803,1.6128968383100073e-08,0.019270004704594612,6.116295935498783e-06,4.518190962699009e-06,0.0001157462756964378,0.37664994597435,0.8386911153793335,6.822869181632996e-06,5.6019494820702675e-08,98.22623443603516,1.7356233596801758,94.57561492919922,1.6482838418596657e-06,0.0036842338740825653,0.0004900294006802142,99.99813842773438,6.680940600745089e-07,48.18198013305664,23.09666633605957,11.563324928283691,-3.085618734359741
