frame_number, orig_local_time, orig_local_time2, local_time, game_elapsed_time, time_diff, inter_data_frame_number,emotion-1,emotion-2,emotion-3,emotion-4,emotion-5,emotion-6,emotion-7,emotion-8,emotion-9,expression-1,expression-2,expression-3,expression-4,expression-5,expression-6,expression-7,expression-8,expression-9,expression-10,expression-11,expression-12,expression-13,expression-14,expression-15,expression-16,expression-17,expression-18,expression-19,expression-20,expression-21,measurement-1,measurement-2,measurement-3,measurement-4
19,,,2018-02-25-15:22:30,,0,0,0.0018313057953491807,0.00450606644153595,0.45413151383399963,0.19264458119869232,0.006709742359817028,0.004537917207926512,0.02401965670287609,0.1926804482936859,-0.22951507568359375,82.95330810546875,2.6092091047758004e-06,0.00018948523211292922,0.00154375028796494,99.99652862548828,0.00017766962992027402,1.8832115529221483e-05,0.0008197416900657117,2.173668622970581,0.00013331271475180984,0.0007148223812691867,0.4707994759082794,0.006709742359817028,0.0033215514849871397,1.0697606356302458e-08,0.0764230489730835,1.3181309377330308e-09,1.5583418644382618e-06,6.051510354154743e-06,1.9510905985953286e-05,0.007162990979850292,59.24245834350586,-14.088390350341797,-4.831441879272461,-21.124584197998047
20,,,2018-02-25-15:22:30,,0,0,0.0018321197712793946,0.003839073935523629,3.756826400756836,0.19238749146461487,0.053669653832912445,0.009762710891664028,0.011151475831866264,0.3426841199398041,-7.986595153808594,67.4033432006836,2.101784080110747e-09,0.053669653832912445,1.0256024324917234e-05,99.93214416503906,0.000332015537424013,1.3555103350881836e-06,1.4875191709506908e-06,78.79803466796875,3.2842759623008533e-09,22.957975387573242,16.012786865234375,0.019852200523018837,5.831057478644652e-06,8.418931543019426e-07,18.6815128326416,3.6164127248383693e-09,8.429245496044402e-11,0.00012025186879327521,2.304731607437134,0.0003329868195578456,54.135032653808594,-18.367576599121094,-5.811659812927246,-15.45641040802002
21,,,2018-02-25-15:22:30,,0,0,0.0017672647954896092,0.004469880368560553,0.43886783719062805,0.19267502427101135,0.9455612897872925,0.1180979311466217,0.0009305647108703852,2.2539918422698975,-0.1103973388671875,93.60200500488281,2.368029938804028e-10,0.9455612897872925,5.935095259701484e-07,99.84391021728516,0.0034397984854876995,5.34001701453235e-05,3.027211192829782e-08,95.62061309814453,3.472608511856379e-08,96.84415435791016,0.21867205202579498,1.1290491102045053e-06,7.924665260361508e-05,7.353342880378477e-06,6.829700469970703,3.44736417190461e-09,4.157484667643985e-08,2.5670183276815806e-06,1.1972970962524414,2.5700490368762985e-05,53.371517181396484,-8.584660530090332,-7.363591194152832,-11.585531234741211
22,,,2018-02-25-15:22:30,,0,0,0.001829045475460589,0.004536376800388098,0.42874670028686523,0.19277527928352356,0.0007858011522330344,0.00929533876478672,0.011737779714167118,0.3293660283088684,-0.0208892822265625,94.29193115234375,1.3586661795628174e-09,0.0007858011522330344,1.921785326430836e-07,99.99720001220703,0.00015729614824522287,1.2107841484976234e-07,1.034253273246577e-06,62.683433532714844,6.705621217406588e-06,21.499530792236328,0.04910546541213989,3.5554923670133576e-05,0.0050047351978719234,7.337798280104835e-08,0.11109843850135803,7.433893500774502e-10,8.81617112646893e-10,0.009185407310724258,0.0011190710356459022,0.0004210319311823696,50.60081481933594,-7.977427959442139,-5.334589958190918,-14.649114608764648
23,,,2018-02-25-15:22:30,,0,0,0.0017082109116017818,0.004078370053321123,0.4574546217918396,0.1926734745502472,1.8802341222763062,0.007454009726643562,0.014889214187860489,0.2996329665184021,-0.4519805908203125,94.298095703125,2.866417389904563e-12,1.8802341222763062,1.071816950570792e-05,99.9560317993164,0.014338546432554722,0.0007763760513626039,3.284863214769729e-10,96.6543960571289,1.134949911829608e-10,12.983256340026855,0.3474627733230591,6.889930318720872e-06,3.243250830564648e-06,0.5469173192977905,0.011627781204879284,7.001448310006708e-10,1.0231717695319276e-09,0.00013620420941151679,0.06106502190232277,0.0005490677431225777,48.930904388427734,-7.971695423126221,-6.734729766845703,-11.91091537475586
24,,,2018-02-25-15:22:31,,0,0,0.0018240183126181364,0.004522610455751419,0.4233611226081848,0.1927528977394104,0.07630378007888794,0.004548045806586742,0.02399294637143612,0.19368413090705872,-0.0608673095703125,98.58644104003906,4.2387920951014735e-10,0.07630378007888794,0.02570289932191372,81.11959075927734,0.012585909105837345,0.03437140956521034,2.464673343638424e-06,9.392679214477539,0.0829269140958786,2.724398837017361e-05,0.0008464729762636125,1.2763579206875875e-06,0.003886482212692499,3.574293077690527e-05,5.054896064393688e-06,0.00010126118286279961,0.0009132164414040744,1.7492682502506796e-07,2.0367731849546544e-05,0.3132389783859253,50.798641204833984,0.7758839130401611,-4.590375900268555,-5.959258556365967
25,,,2018-02-25-15:22:31,,0,0,0.001827443134970963,0.004526990465819836,0.4258608818054199,0.19267401099205017,0.024693770334124565,0.004546584561467171,0.0240962915122509,0.19327400624752045,-0.03006744384765625,97.70394897460938,1.364097584888313e-10,0.024693770334124565,0.007177411112934351,0.0012879780260846019,0.04180886596441269,0.021896447986364365,3.3625049127294915e-06,79.47672271728516,6.792316708015278e-05,0.0002755832392722368,3.879577343468554e-05,5.42651834578578e-09,2.577159284555819e-05,5.080391929368488e-07,0.003093219129368663,3.3329029065498617e-06,0.0008825642871670425,8.121571681840578e-07,0.0004430017143022269,0.34965866804122925,49.60380554199219,3.246244192123413,-6.320091247558594,-1.7702922821044922
26,,,2018-02-25-15:22:31,,0,0,0.0017300811596214771,0.004178531002253294,0.425874263048172,0.19268310070037842,1.5303409099578857,0.0047803302295506,0.02314755693078041,0.21215280890464783,-0.0104217529296875,98.50590515136719,1.0306003273008457e-10,1.5303409099578857,1.4696499420097098e-05,99.21007537841797,0.014770671725273132,0.008346817456185818,5.776556477599115e-08,10.576080322265625,7.543798830056403e-08,0.012206734158098698,0.00010299695713911206,7.205977592406043e-09,0.0004708496853709221,0.00018684436508920044,0.27250486612319946,8.533997970516793e-06,2.8726717573590577e-05,6.412889206330874e-07,0.05585358664393425,0.3878941833972931,49.97743606567383,-1.057016134262085,-12.82989501953125,-1.3779654502868652
27,,,2018-02-25-15:22:31,,0,0,0.0015606489032506943,0.003570576198399067,0.4258865416049957,0.1938081532716751,4.364715099334717,0.00518189650028944,0.021769922226667404,0.2529889941215515,-0.2816925048828125,98.644775390625,5.8975142477879494e-12,4.364715099334717,0.0009222643566317856,74.99222564697266,0.00413278304040432,0.40005403757095337,2.8977083843528817e-07,3.7040092945098877,4.530112107659079e-08,0.00014536270464304835,0.00027054903330281377,1.861003511294257e-07,0.055372364819049835,1.0111898518516682e-05,0.006453716196119785,2.9249724320834503e-05,3.477829523035325e-05,2.4584860511822626e-05,0.0011794088641181588,2.0655875205993652,50.38945770263672,-0.5621923804283142,-19.100170135498047,2.129641056060791
28,,,2018-02-25-15:22:32,,0,0,0.0003004690515808761,0.0002939692640211433,0.42603057622909546,0.19706930220127106,49.67164993286133,0.01918140985071659,0.008273864164948463,4.150344371795654,-4.669342041015625,97.6821517944336,1.1785544762332734e-11,49.67164993286133,0.02035478502511978,1.4598345756530762,0.15816207230091095,6.593632698059082,4.6110095297535736e-08,0.4739949107170105,2.590344934105815e-07,4.904118395643309e-05,0.0006409764173440635,2.06169517014132e-08,0.21272890269756317,4.910473094810186e-08,0.002666766755282879,0.00022316101239994168,5.084300482849358e-06,0.0001648290635785088,0.017748888581991196,3.5463638305664062,49.42499542236328,-3.2946126461029053,-20.011005401611328,2.2225213050842285
